bangla_speech,english_speech,dialect
আমার লগে হেয় আগে দেহা করত,He met me earlier,Mymensingh
আর লগে হিগা আগে দেয়া কইরত,He met me earlier,Noakhali
মোর লগে তাইন আগে দেখা খরতা,He met me earlier,Sylhet
মোরা বেমালা বড় হইয়া গেছি মনে হইতেয়াছে,We seem to have grown up a lot,Barishal 
আর প্রশ্নত জবাব দো,Answer my question,Chittagong
আমার প্রশ্নের জবাব দেন,Answer my question,Mymensingh
আর হশ্নের জবাব দেন,Answer my question,Noakhali
আমার মাত ওর জবাব দেউকা,Answer my question,Sylhet
এহন যদি তুমি গান গাও তয় চাষায় হোনবে,"Now if you sing, the farmer will hear",Barishal 
গানইবা ফুনি চোকঅত ফানি আ গেয়্যুই সত্যি কুব গম লাইজ্ঞে,"Tears came to my eyes after listening to the song, it was really good",Chittagong
গানটা হুইন্না চোক্ষে পানি চইল্লা আইলো সত্যি খুব ভালা লাগসে,"Tears came to my eyes after listening to the song, it was really good",Mymensingh
গানটা শুনে চোকের পানি পরই যায় সত্যি ভালা লাগলো,"Tears came to my eyes after listening to the song, it was really good",Noakhali
গানটা হুনিয়া চকুত পানি আইচ্চে হাছাউ বাক্কা ভালা লাগছে,"Tears came to my eyes after listening to the song, it was really good",Sylhet
মোর পরিবারের অর্থনৈতিক অবস্থা এহন বেমালা খারাপ,My family's economic condition is very bad at present,Barishal 
আম্মা নানার হাসে এক্কান চিঠি লিক্কে,Mother is writing a letter to grandfather,Chittagong
আম্মা নানারে একটা চিঠি লিখসেন,Mother is writing a letter to grandfather,Mymensingh
আম্মা নানারে এককান চিডি লিখছেন,Mother is writing a letter to grandfather,Noakhali
আম্মায় নানারে একটা চিঠি লেখছোইন,Mother is writing a letter to grandfather,Sylhet
"মাথায় রাইক্ষো, বিয়া বাড়ি যাইতেয়াছো","Keep in mind, you are going to get married",Barishal 
আরেকজন ফাইয়েরে নিজেরে বহুত ভাগ্যবতি মনত অইতো,I felt very lucky to have a second one,Chittagong
দ্বিতীয় জনরে পায়া নিজেরে খুব ভাগ্যবতী মনে হইতো,I felt very lucky to have a second one,Mymensingh
দ্বিতীয় জনরে হাই নিজেরে খুব ভাগ্যবতী মনে অইতো,I felt very lucky to have a second one,Noakhali
দুুই নাম্বার জনরে পাইয়া নিজোরে খুব ভাইগ্যবতী মনো অইতো,I felt very lucky to have a second one,Sylhet
তুমি কোম্মে চাকরি করতেয়াছো?,Where do you work?,Barishal 
জিবন অত বউত গান ফুইন্নি তারফরো কেন যানি গান এগুনর নান এত গম ন লাগে,I listen to many songs in my life but I don't know why I don't like these songs,Chittagong
জীবনে অনেক গান হুনি তারফরেও কিল্লেগা জানি না এই গান গুলার মত এত ভালা লাগে না,I listen to many songs in my life but I don't know why I don't like these songs,Mymensingh
জীবনে অনেক গান হুনি তারপর ও কেন জানি না এই গুলার মত আর ভালা লাগে না ,I listen to many songs in my life but I don't know why I don't like these songs,Noakhali
জীবনে বহুত গান হুনি এরবাদেও খেনে জানি না অউ গান গুইন্তর মতো অতো ভালা লাগে না,I listen to many songs in my life but I don't know why I don't like these songs,Sylhet
মোর মায়ের রান্দা একছের মজা,My mother's cooking is very interesting,Barishal 
মাইয়াফোয়ারে ফইত্তে দিয়িলেন,He let his daughter wear it,Chittagong
মাইয়ারে পরতে দিসিলেন,He let his daughter wear it,Mymensingh
মাইয়ারে হইড়তে দিছিলেন,He let his daughter wear it,Noakhali
ফুরিরে পড়তে দিছলা নি?,He let his daughter wear it,Sylhet
মুই বিশ্বাস করতে পারতেয়াছেলাম না মোর বুইন এই কাম করবে,I couldn't believe my sister would do this,Barishal 
নিহেরে দুর্বল ভাবি এইল্লা গরে,He thinks himself weak and does so,Chittagong
নিজেরে হেয় দূর্বল ভাইব্বা এমন করে ,He thinks himself weak and does so,Mymensingh
নিজেরে হেতনে দূর্বল ভাবি ইগিন করে,He thinks himself weak and does so,Noakhali
নিজেরে তাইন দূর্বল ভাবিয়া ওতা করোইন,He thinks himself weak and does so,Sylhet
"ভাল মানু বোলে বেশি দিন বাঁচে না, এইডা হোনার পর বেমালা টেনশনে আছি",I am very tensed after hearing that good people don't live long,Barishal 
বেজ্ঞিন এক্কোফোয়ারে গরা সম্বব নই,It is not possible to do everything together,Chittagong
বেগকিসু একসাথে করন সম্ভব না,It is not possible to do everything together,Mymensingh
বেককিছু একলগে করন সম্ভব না,It is not possible to do everything together,Noakhali
হকলতা একলগে করা যায় না,It is not possible to do everything together,Sylhet
উপহার পাইতে পেরতেকের ভালো লাগে,Everyone likes to receive gifts,Barishal 
বিয়ার এক বছর ফর এক্কান মাইয়াফোয়া অয়,"After 1 year of marriage, they had a daughter",Chittagong
বিয়ার ১ বছরের পরপরই ওরার মাইয়া হয়,"After 1 year of marriage, they had a daughter",Mymensingh
বিয়ার ১ বছরের হরহরই হেতাগো মাইয়া হয়,"After 1 year of marriage, they had a daughter",Noakhali
বিয়ার ১ বৎসর ফরেও তারার ফুড়ি অইছে,"After 1 year of marriage, they had a daughter",Sylhet
হগল কিছু হুইননা বোঝলাম যে এহন আর এইহানে থাইককা কোন লাভ হইবে না,"After hearing everything, I understood that there will be no profit from here",Barishal 
ধানকেত ফার অইয়েরে এক্কান ডোর ফুকুর,There is a big pond after crossing Dhankhet,Chittagong
ধানখেত পার হইতেই একটা বড় পুকুর,There is a big pond after crossing Dhankhet,Mymensingh
ধানখেত হার অইতেই ওকগা বড্ডা হুইর,There is a big pond after crossing Dhankhet,Noakhali
ধানক্ষেত ফার ওইতেউ একগু বড় পুকরি,There is a big pond after crossing Dhankhet,Sylhet
মুই এউক্কা খারাপ মানু,I am a bad person,Barishal 
আঁর জিবনত হনিক্কাই নাই তুঁই চারা,There is no one in my life except you,Chittagong
আমার জীবনে কেউ নাই তুমি ছাড়া,There is no one in my life except you,Mymensingh
আর জীবনে কেউ নাই তুউই ছাড়া,There is no one in my life except you,Noakhali
আমার জীবনো তুমি ছাড়া খেউ নাই,There is no one in my life except you,Sylhet
হ্যারা এউক্কা দূর পাহাড়ের দিকে যাওয়ার রাস্তায় এউক্কা পুহুইর দেখলো,On their way to a distant hill they saw a pond,Barishal 
আঁর দুচোক কিচু ন তুয়াই তোয়াঁরে চারা,My eyes are looking for nothing but you,Chittagong
আমার দুই চোখ কিসু খুজেনা তোমারে ছাড়া,My eyes are looking for nothing but you,Mymensingh
আর দুই চোক কিচ্ছু খোজেনা তোয়ারে ছাড়া,My eyes are looking for nothing but you,Noakhali
আমাার দুই চউক তুমারে ছাড়া আর কিচ্ছু খুঁজে না,My eyes are looking for nothing but you,Sylhet
খাডাল গুলা মার্বেল পাথর দিয়া বানাইন্যা,The floors are made of marble stone,Barishal 
যে লইয়ে সে হয়তো ফইবেল্লাই লইয়ে,"Whoever took it, may have taken it for reading",Chittagong
"যে নিসে, হেয় হয়তো পড়ার লাইজ্ঞাই নিসে","Whoever took it, may have taken it for reading",Mymensingh
"যে নিছে, হে হয়তো হড়ার লাইয়ে নিছে","Whoever took it, may have taken it for reading",Noakhali
"যে নিছে, হে তো পড়ার লাগিও নিতো ফারে","Whoever took it, may have taken it for reading",Sylhet
বাংলাদেশের জনপ্রিয় ফুটবলারগুলান অনেক উচু মানের খেলোয়াড়,Popular footballers of Bangladesh are very high quality players,Barishal 
আঁত্তুন বউত মাতা হরার,My head hurts a lot,Chittagong
আমার মাথা মেলা ব্যথা করতাসে,My head hurts a lot,Mymensingh
আর মাতা  বহুত বেদনা করের,My head hurts a lot,Noakhali
আমার মাথাত বেশেবা বেদনা করের,My head hurts a lot,Sylhet
এইতে পুলিশের উপরে চাপ আইবে,This will put pressure on the police,Barishal 
না গরি দিও ফোয়া পক্ক রে,Don't give it to the boy,Chittagong
না কইরা দিও ছেড়া পক্ষকে,Don't give it to the boy,Mymensingh
না করি দিও হোলারগোরে,Don't give it to the boy,Noakhali
ছেলে পক্ষর হেরারে না করি দিও,Don't give it to the boy,Sylhet
এইহানে অপেক্ষা করেন,Wait here,Barishal 
কুব সুন্দর হতা হয়্যুন,He spoke very nicely,Chittagong
খুব সুন্দর কথা কইসেন,He spoke very nicely,Mymensingh
খুব সুন্দর কতা কইছেন,He spoke very nicely,Noakhali
বাক্কা সুন্দর মাত মাতলা,He spoke very nicely,Sylhet
হ্যায় ইস্কুলেই যায়নাই কহনো,He never went to school,Barishal 
ইবা দেইক্তে বউত সুন্দর,She looks very beautiful,Chittagong
হেয় দেখতে মেলা সুন্দর,She looks very beautiful,Mymensingh
হেতি দেইখতে মেলা সুন্দর ,She looks very beautiful,Noakhali
হে দেখতে যে সুন্দর,She looks very beautiful,Sylhet
ওজন কমাইন্নার লইজ্ঞা হোয়ার সুপ খাওয়া যাইতে পারে,Cucumber soup can be consumed for weight loss,Barishal 
আঁরা এডে আচি আলোচনা গরিবর লাই,We are here to discuss,Chittagong
আমরা এইহানে আসি আলোচনা করার লাইজ্ঞা,We are here to discuss,Mymensingh
আন্ডা ইয়ানে আছি আলোচনা করার লাই,We are here to discuss,Noakhali
আমরা ওনো আছি ওউ আলোচনা করার লাগি,We are here to discuss,Sylhet
মোর আব্বা বাইচ্চা নাই,My father is not alive,Barishal 
ওনরে হোন ফাডাইয়ে',Who sent you?,Chittagong
আফনেরে কেডা পাঠাইসে?,Who sent you?,Mymensingh
আন্নেরে কে হাডাইছে?,Who sent you?,Noakhali
আফনারে কে পাঠাইছে?,Who sent you?,Sylhet
কি করার উচিত এরহম অবস্থায়,What to do in such situations,Barishal 
আই নিজেই বহুত মানুষরত উফদেস দিয়ি,I myself have advised many people,Chittagong
আমি নিজেই অনেক জনরে উপদেশ দিসি,I myself have advised many people,Mymensingh
আই নিজেই অনেক জনরে উপদেশ দিছি,I myself have advised many people,Noakhali
 মুই নিজেউ বহুত জনরে জ্ঞান দিছি,I myself have advised many people,Sylhet
মুই কি বেশি বিরক্ত করি?,What bothers me the most?,Barishal 
তুই  দুইজ্জা  ভাত হাইয়ো নে?,What did you eat rice with in the afternoon?,Chittagong
তুমি দুপুরে কিতা দিয়া ভাত খাইস ?,What did you eat rice with in the afternoon?,Mymensingh
তুমি দুপুরে কি দি ভাত খাইছো ?,What did you eat rice with in the afternoon?,Noakhali
তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,What did you eat rice with in the afternoon?,Sylhet
মোর দুজ্ঞা চোউখ কিছু খোঁজেনা তোমারে ছাড়া,My eyes are looking for nothing but you,Barishal 
তুরে বুলি যাইবর লাই আঁই বাল ন বাসি,I didn't love you to forget you,Chittagong
তোরে ভুইল্লা যাওয়ার লাইজ্ঞা আমি ভালোবাসি নাই,I didn't love you to forget you,Mymensingh
তোরে ভুলি যাইবার লাই আই ভালোবাসি নো,I didn't love you to forget you,Noakhali
তরে ভুলি যাওয়ার লাগি মুই তরে ভালাপাইছলাম না,I didn't love you to forget you,Sylhet
আইজ জুম্মার দিন,Today is Jumma day,Barishal 
আযিয়া হত তারিক,What date is today?,Chittagong
আইজকে কয় তারিখ?,What date is today?,Mymensingh
আইজগা কত তারিখ ,What date is today?,Noakhali
আইজ কত তারিখ?,What date is today?,Sylhet
পাকনা পোলা ম্যালা কথা কয় হ্যায়,He is a mature boy who talks a lot,Barishal 
বেজ্ঞুন আযি যা গই,Everyone is lost,Chittagong
বেহেই হারায়া যায়,Everyone is lost,Mymensingh
বেকে আরাই যায়,Everyone is lost,Noakhali
হকল ওউ হারাই যায়,Everyone is lost,Sylhet
হ্যার কাম থুইয়া যেইডু সময় থাকতে মোর লগে কথা কইতে,He used to talk to me whenever he had time apart from work,Barishal 
আঁর জামাই বিবিন্ন মাইফোয়ার ফোয়ারে আরা রাইত জাগি হতা হয়,My husband stays up all night talking to different girls,Chittagong
আমার জামাই বিভিন্ন মাইয়ার সাথে সারা রাত জাইজ্ঞা কথা কয়,My husband stays up all night talking to different girls,Mymensingh
আর জামাই রাত জাগি বিভিন্ন মাইয়ার লগে কতা কয়,My husband stays up all night talking to different girls,Noakhali
মোর জাামাই বাক্কা ফুড়িন্তর লগে হারা রাইত জাগিয়া মাতে,My husband stays up all night talking to different girls,Sylhet
মোর এইয়া আর মোডেও ভালো লাগতেয়াছে না,I don't like it at all,Barishal 
আঁই একযন হারাপ মানুষ,I am a bad person,Chittagong
আমি একজন খারাপ মানুষ,I am a bad person,Mymensingh
আই একজন খারাপ মানষ,I am a bad person,Noakhali
আমি একটা বাদ মানুষ,I am a bad person,Sylhet
মোর হাতে ব্যাথা করতেয়াছে,My hand hurts,Barishal 
আঁর এগিন এক্কানাও গম ন লাগের,I don't like it at all,Chittagong
আমার এইসব আর একটুও ভালা লাগতাসে না,I don't like it at all,Mymensingh
আর এগিন আর ভালো লাগের না ,I don't like it at all,Noakhali
মোর ইতা আর থুরাও ভালা লাগের না,I don't like it at all,Sylhet
ভিডিউ বানাইন্নার কি দরকার আল্লেহ?,What was the need to make the video?,Barishal 
গ্রাামর মানুষ তারা লাক্রির চুলো দিয়েরে ফাক গরে,Villagers use wood stoves,Chittagong
গ্রামের মানুষরা লাকড়ির চুলা ব্যবহার করে,Villagers use wood stoves,Mymensingh
গেরামের মানুষঅগল লাকড়ির চুলা ব্যবয়ার করে,Villagers use wood stoves,Noakhali
গাউর মাইনশে লাখড়ির চুলা ব্যবহার খরইন,Villagers use wood stoves,Sylhet
তয় কয়দিন পরেই হ্যাগো মইধ্যে ঝামেলা শুরু হয়,But after a few days trouble started between them,Barishal 
তুই আঁর লাই হনো সুন্দর উফার কিনিত ফারিবি নে?,Can you buy me a nice present?,Chittagong
তুইন আমার লাইজ্ঞা কুনো সুন্দর উফহার কিনতা পারবি?,Can you buy me a nice present?,Mymensingh
তুই আর লাই কোনো সুন্দর উপহার ক্যিনতে হ্যাইরবি?,Can you buy me a nice present?,Noakhali
তুই আমার লাগি কোন সুন্দর উপহার কিনতে ফারবে নি?,Can you buy me a nice present?,Sylhet
হাসপাতালে আইয়াই মোরে কয় লও বাড়ি যাই,"At the hospital, he told me to go home",Barishal 
চলো এক্কান বিরতি লই,Let's not have a break,Chittagong
চল একটা বিরতি নেই,Let's not have a break,Mymensingh
চল ইজ্ঞা বিরতি লই,Let's not have a break,Noakhali
চলো থুরা থামি,Let's not have a break,Sylhet
মোর হউরবাড়ির মানু এইডা এক্কালেই পছন্দ করে না,My in-laws don't like it at all,Barishal 
আঁর বর বইনকে আই বউত বালবাসি,I love my elder sister very much,Chittagong
আমার বড় বোইনরে আমি অনেক ভালবাসি,I love my elder sister very much,Mymensingh
আর বড্ডা বইনরে আই বহুত ভালোবাসি,I love my elder sister very much,Noakhali
আমার বড় বইনরে আমি খুব বালা ফাই,I love my elder sister very much,Sylhet
মুই ধারে বহাইয়া কইছি যে এই কামের লইজ্ঞা মোর খারাপ লাগছে,I'm just saying that I feel bad for this job,Barishal 
বৃষ্টির দিনত কি বারান্দার গাছত ফানি ফরে না?,Is it necessary to water balcony plants on rainy days?,Chittagong
বৃষ্টির দিনে কিতা বারান্দার গাছে পানি দেওনের দরকার আসে?,Is it necessary to water balcony plants on rainy days?,Mymensingh
বৃষ্টির দিনে কি বারিন্দার গাছে হানি দিতে অইব,Is it necessary to water balcony plants on rainy days?,Noakhali
মেগরদিনে কিতা ধারির গাছো পানি দেওয়ার দরখার আছে নি?,Is it necessary to water balcony plants on rainy days?,Sylhet
কেউ আর ভয় পাইতেয়াছে না,No one is afraid anymore,Barishal 
এক্কান মরত ফোয়া তার মা বাফোর দায়িত্ব ফালন গরে ,As a son fulfills the duties of his parents,Chittagong
একটা পোলা যেমন হের বাপ-মার দায়িত্ব পালন করে,As a son fulfills the duties of his parents,Mymensingh
ওকগা হোলা যেরুম হেতার বাপ-মার দায়িত্ব হালন করে,As a son fulfills the duties of his parents,Noakhali
 এখটা ফুয়ায় যেমন তার বাফ মার দায়িত্ব পালন খরে,As a son fulfills the duties of his parents,Sylhet
মোর হাতটা ধরেন,Take my hand,Barishal 
এইল্লে মনভাব লইয়েরে হনোদিন সুখ নো আইবো,Happiness never comes in the world with such an attitude,Chittagong
এমন মনোভাব নিয়া সংসারে কহনো সুখ আয় না,Happiness never comes in the world with such an attitude,Mymensingh
এরুম মনোভাব লই সংসারে কোনোদিন সুখ আইয়ে না,Happiness never comes in the world with such an attitude,Noakhali
 অলা মনোভাব লইয়া সংসারো কুনোদিন সুখ আয় না,Happiness never comes in the world with such an attitude,Sylhet
তোমার সৌন্দর্যে মুই মুগ্ধ,I am fascinated by your beauty,Barishal 
ফোয়া বাংলাদেশেত আইয়েরে বিয়া ঠিক গইজ্জে দে,The son came to Bangladesh and decided to get married,Chittagong
পোলা বাংলাদেশে আয়া বিয়া ঠিক করসে,The son came to Bangladesh and decided to get married,Mymensingh
হোলা বাংলাদেশে আই বিয়া ঠিক কইরছে,The son came to Bangladesh and decided to get married,Noakhali
ফুয়ায় বাংলাদেশো আইয়া বিয়া ঠিক করছে,The son came to Bangladesh and decided to get married,Sylhet
হ্যারে কাজল দেলে ম্যালা ভালো লাগে,It is very nice to give her Kajol,Barishal 
আঁত্তুন ফরিক্কা দিতো এব্বেরেও গম ন লাগে,I don't like taking exams at all,Chittagong
আমার পরীক্ষা দিতে একদমই ভালা লাগে না,I don't like taking exams at all,Mymensingh
আর হরিক্ষা দিতে এক্কেরে বালা লাগে না ,I don't like taking exams at all,Noakhali
আমার পরীক্ষা দিতে একবারেউ বালা লাগে না,I don't like taking exams at all,Sylhet
মুই গনিতে অনার্স করতেয়াছেলাম,I was doing honors in Goni,Barishal 
আর ফোন নাম্বার ব্লক গরি দিয়ি,Block my phone number,Chittagong
আমার ফোন নম্বর ব্লক কইরা দেয় ,Block my phone number,Mymensingh
আর হোন নম্বর ব্লক করি দেয় ,Block my phone number,Noakhali
