Standard_Bangla,English_translation
সে পড়েছে বিপদে,He/She is in trouble.
একটা দিকে তার জন্য অপেক্ষা করছে,Someone is waiting for him/her on one side.
অন্য দিকে বউ রাগ করে আছে,"On the other hand, the wife is angry."
এখন কার কাছে যাওয়া দরকার,I need to go to someone now.
সবকিছু চিন্তা করে দরজা বন্ধ করে,"After thinking everything over, close the door."
এখানে তো থাকা ভাল,It's nice to stay here.
কে বলা যাবে আর ফেলে যাওয়া ঠিক হবে না,"Who can be told, and what should not be left behind?"
আজকে তারা ভয় পেয়েছে অনেক,Today they were very scared.
না জানলে কি দেখেছে,What did you see if you didn't know?
তার অফিস শহরে নিজের বাড়ি ঘর সব,"His office, his house in the city, everything..."
এখানে চলে আসে সব সময়,It always happens here.
তারা জাপান যাওয়ার আগে,Before they go to Japan.
তার মা চলে যায়,His/Her mother passed away.
তখন সে বিদেশে চলে যায়,Then he/she went abroad.
বিদেশে যাওয়ার পিছনে একটা কারণ ছিল,There was a reason behind going abroad.
সেটি তো পরে নেয়া যাবে,That can be taken later.
বাহির হয়ে এসে খাবার খেতে গেল,Went outside to eat.
ভাই আবার যাবে তোরা,"Brother will go again, you all."
না আর যাওয়ার কথা নেই,There is no question of going anymore.
চিন্তা করছি এখানে কিছু একটা করবো,I'm thinking of doing something here.
তাহলে এখন বাড়িতে আসার সময় হয়ে গেছে,"So, it's time to come home now."
মানে ঠিক বুঝলাম না,I didn't quite understand the meaning.
বয়স হয়েছে কিন্তু মাথায় বুদ্ধি হয় না,"Old age has come, but wisdom doesn't follow."
আগে শেষ কর পরে সব বলবো,"Finish it first, I'll tell you everything later."
কোন কথা না বলে খাওয়াতে মনযোগ দেয়,She focuses on feeding him without saying a word.
খাওয়া শেষ করে ঠিক তখন তার দিকে গেল,He went towards her right after finishing his meal.
সুন্দর কোন কিছু হতে পারে,Something beautiful could happen.
সেটি ছিল তার চিন্তার বাহিরে,That was beyond his/her/its thoughts.
সবার বউ সুন্দর সুন্দর আমার বউ কালো,"Everyone's wife is beautiful, my wife is dark-skinned."
পুকুর বাড়ির সামসু মিয়া আমার থেকে ছোট,Samsu Mia from Pokur Bari is younger than me.
কি সুন্দর বিয়ে করেছে আমার ছোট ভাই,My younger brother had such a beautiful wedding.
আমার জন্য রউজানপুর থেকে চুকচুকা কালো,"From Rouzanpur to Chukchuka, black for me."
তোমার বাবাকে বললাম আমাকে বিয়ে করাবা না,I told your father not to get me married.
রাঙ্গুন শহর যাবো আমি তোমার জন্য কি আনবো,I am going to Rangoon (Yangon). What should I bring for you?
সব সময় মনে থাকবে তোমার কথা,I will always remember you.
বার্মার মেয়ে কি করবে আমি যদি ঠিক থাকি,What will the Burmese girl do if I am alright?
বার্মার মেয়ে চিঠি দিব চিন্তা করবে না,"Don't worry, the Burmese girl will think about writing a letter."
কয় দিনের জন্য বিদেশ যাচ্ছি প্রানটা ঘরে রেখে,"I'm going abroad for a few days, leaving my heart at home."
আমাকে বিল্ডিং রঙ করে দিতে পারবি না,I won't be able to paint the building for you.
ঝামেলা কেন করো আমার সাথে,Why are you causing trouble with me?
আপনি এনাম ভাইয়ের ভক্ত না,Are you not a fan of Enam Bhai?
কথা বলুন মুরুব্বি মানুষ,"Speak, elder."
তুমি কোথায় নেই কেন,Why aren't you there?
তোমার নাম কি সামিদ নাকি,Is your name Samid?
তুই খেলবি নাকি আমার মেয়ের সাথে,Will you play with my daughter?
আমার এখন তোমাকে ভাল লাগে না,I don't like you anymore.
সামিদ কার তোমার না আমার,Is Samid yours or mine?
আমার কাছে ভাল লাগছে না,I am not feeling well.
তোমার কাজ নেই ভাই,"You have no work, brother."
কথা ঠিক আছে নাকি,Is everything alright?
মা রে মা যাবো না তাহলে,"Oh mother, oh mother, I won't go then."
তুমি ভাত খেয়েছো,Have you eaten rice?
কলিজার ভিতর গেথে রাখবো না,I won't keep it pierced in my heart.
সিনার সাথে বেধে রাখবো তোমাকে,I will tie you to my chest.
তোমাকে ছাড়া বিদেশ এ আমার মন টিকে না,"Without you, my heart doesn't stay in a foreign land."
আর কোনদিন যাবো না আমি তোমাকে ছেড়ে,I will never leave you again.
তুই আমাদের বাড়িতে কেন,Why did you come to our house?
তুই কথা কম বল এখন,You should speak less now.
এসব কি খাবার,What are these (things) to eat?
আমার কথা বুঝিস না তুই,You don't understand me.
আমার পিছন পিছন কি,What's behind me?
খোদার কসম আমার গায়ে জ্বর,"I swear by God, I have a fever."
তোমাকে আমরা দেখে নেবো ছেলে,"We will take care of you, son."
ওবাবা বিদ্যুৎ চমকাচ্ছে,It's lightning.
কানে কথা যায় নাকি তোর,Can you hear me?
তুই ডাক্তার না কসাই আমি জানি,I don't know if you're a doctor or a butcher.
হঠাৎভয় পেয়েছিলাম আমি,I was suddenly frightened.
অন্ধ গরুর আলাদা বাঁধা দরকার নেই,A blind cow doesn't need separate tying.
আমি তোর বাবাকে চিনি না,I don't know your father.
যেখানে এলাম মরার ভয়ে,"Where I came, out of fear of death."
এখানে মানুষ মরে কি বলবো,"Here people die, what can I say."
তুই রঙ মিস্ত্রি শপন না রঙ করিস যে,"You are not a painter, Shapan, you don't paint."
চট্রগ্রাম রোড সিটি কর্পোরেশন অফিস আছে যে,Is there a Chattogram Road City Corporation office?
এখান দিয়ে বিল্ডিং উঠাবো রঙ করতে পারবি নাকি রে,Can you paint the building that will be constructed here?
কন্ট্রাক্টে কাজ করতাম কিভাবে,How did you work on contracts?
তুই বল তো আমি কি করব,"Tell me, what should I do?"
আমি কিভাবে বলব,How do I say?
তুমি আমাকে চিনো নাকি আমি কোথায় থাকি,"Do you recognize me, or do you know where I live?"
এতো রাতে কি কাজ,What work is there at this late hour?
ভিতরে কালো কাপড় নেই,There is no black cloth inside.
আমি আগে একটা বলি,Let me tell you one thing first.
বসে বসে গল্প না করে আমি যাই,"Instead of sitting and chatting, I'm leaving."
আমি অসুস্থ মানুষ ঘুম ভাঙায়ে,I wake up sick people.
রঙ মিস্ত্রি না আমি রং করা ছেড়ে দিয়েছি,I am no longer a painter; I have given up painting.
দেখে রাখার জন্য তোমাকে,You have to remember this.
আমি তোমাকে বেশি বেশি সরি বলবো,I will apologize to you more and more.
কথা তো এতক্ষণ বলে পাগল করে দিয়েছে,"You've been talking non-stop for so long, you've driven me crazy."
জাত বংশ নাই,No lineage/ancestry.
আপু তোমার ভিডিওর জন্য,"For your video, Apu."
বশির ভাই আজকে বিয়েতে আমার মা সেরা,"Bashir bhai, my mother looked the best at the wedding today."
দেখবো দেখবো কি একবারে দেখাবি আমার মা,"I'll see, I'll see... let's see if you'll show my mother all at once."
আমি ও যাবো বিগ বসে,I will go to Big Boss too.
তোমাকে ভাল লাগে কারণ আমি ও টেইলারিং করি,I like you because I also do tailoring.
কঠিন হয়েছে,It has become difficult.
দাদি জব্দ করেছে তোমাকে,Grandma scolded you.
ভাল করে জব্দ করা দরকার,They need to be dealt with firmly.
মাকে বলে এক কথা দাদিকে বলে আর এক কথা কেন ভাই,"Why do I tell Mom one thing and Grandma another? Why, brother?"
বুড়ো বয়সে আমাকে গুনার ভাগিদার করিস না,Don't make me a partner in your sins in old age.
এলাকায় কি থাকতে দিবে না বুঝলাম না,I didn't understand if they will allow [someone/something] to stay in the area.
এলাকায় একটা মেয়ে তাকে শাসন করতে পারে,There's a girl in the area who can control him.
এই রোজা রমজান মাসে এসব ভাল লাগে না,I don't feel like doing these things during Ramadan.
একটা সুন্দর ছেলে দেখলে ঘুর ঘুর করে আমি দেখি না,I don't go around staring at handsome boys.
প্রিন্স মাহবুবেকে কি এখন ভাল লাগে না,Does Prince Mahbube no longer feel good?
আমি এখন দাদিকে বিচার দিব,I will judge my grandmother now.
তাদের জ্বালায় তো থাকতে না পারি,I can't bear their torment anymore.
ও ছেলে কি বলবো তোদের,"Oh, what should I tell you guys?"
ছেলেকে বিয়ে করিয়ে ছেলের জীবন শেষ নাকি,Is getting my son married the end of his life?
আমার জীবন ও শেষ হয়ে গেছে ও ছেলে,My life is over and so is my son's.
ছোট থাকতে আমার মা আমাকে ধোলাই দিত,"When I was young, my mother used to scold me."
চিন্তা করিস না আছি তো নাকি,"Don't worry, I'm here, right?"
কাপড় সেলাই করার জন্য যোগাযোগ করো না,Do not contact for tailoring/clothing alterations.
তার জন্য কম রাখবো,I will keep less for him/her.
শিল্পী আপু তো চট্টগ্রামের নাকি,"I heard Apu is from Chittagong, right?"
কত করে সেলাই করেন শিল্পী আপু,"How much do you charge for stitching, Artist Apu?"
খুশি মনে যা দিবেন না,Don't give it away happily.
দুই টাকা দিলে চলবে না শিল্পী আপু,"Two taka won't be enough, Artist Apu."
দুঃখের কথা কি বলব আপু বিউটি আপুর কাপড় নিয়ে অনেক ঝামেলায় ছিলাম,"It's hard to say, sister. I was having a lot of trouble with Beauty Apu's clothes."
তাকে টাকা বাড়িয়ে দিতে হবে,He/She needs to be given more money.
টাকা তো বেশি বাড়িয়ে দিতে পারবো না,I won't be able to increase the amount of money.
আমার বোনের ব্যাগ থেকে টাকা চুরি করতে যেয়ে ধরা খাই হাতেনাতে,I was caught red-handed trying to steal money from my sister's bag.
বিউটি তুই একদম শয়তানের শয়তান,"Beauty, you are absolutely a devil, a real devil."
বড় ডিম বড় মাছ,"Big eggs, big fish."
আমি মনে মনে চিন্তা করি খাবো,I think to myself that I will eat.
তাহলে ভাত কম খাবো,Then I will eat less rice.
পকেট আমার গরম আছে,My pocket is warm.
বাবা মাসের খরচ দিয়েছে,Father gave the money for the month's expenses.
মা আলাদা করে টাকা দিয়েছে,Mother gave money separately.
আমি বললাম চাচা আমি খাবো,"I said, ""Uncle, I will eat."""
একটু ডিম দরকার,I need a little bit of egg.
লোক বলল খাবার দাও,"The man said, ""Give me food."""
তখন বেলা কত হবে,What time is it now?
আর কোন লোক নেই,There is no one else.
আমি বলি চাচা নাম লাবণ্য কেন,"I asked my uncle, ""Why is her name Labanya?"""
তোমার চাচির নামে হোটেল,Hotel in your aunt's name
সে মালিক আমি কাজ করি শুধু,"He is the owner, I just work."
চাচির নাম কি চাচা বলেন,What does your aunt's husband call her?
সুন্দর নাম কে দিয়েছে নাম,Who gave the beautiful name?
সে অনেক কাহিনী তুই ছোট মানুষ,"He has many stories, you are just a child."
কিছু বুঝবে না সবাই,Not everyone will understand.
একটু বলেন আমি বুঝতে পারবো,"Please say a little, I will understand."
আমি চাচার সাথে একটু খাতির করার চেষ্টা করি,I try to be friendly with my uncle.
খেতে খেতে বলি আমাকে মাছ দিতে,"While eating, I ask them to give me fish."
তোমার চাচি দৌলতদিয়া থেকে আমার সাথে এসেছে,Your aunt has come with me from Daulatdia.
তার আসল নাম আমি জানি না,I don't know his/her real name.
তোমার চাচি বলে না,Your aunt doesn't say (that).
সর্দারনী নাম দিয়েছে লাবণ্য,The leader named her Labanya.
পঞ্চাশ টাকা নাগেশ্বরীর একটা লোক দিয়ে দিয়েছে,Someone from Nageshwari gave fifty taka.
তখন সে খুব ছোট ছিল,She was very young then.
তুই বলবি না কিন্তু,"You mustn't say anything, okay?"
তোমাকে দেখতে খুব ভদ্র মনে হচ্ছে,You seem very polite.
তাই বললাম তোমাকে আজকে,That's why I told you today.
আপনার খাবার খুব সুন্দর হয়েছে,Your food is very delicious.
তা চাচি করে সবকিছু,"She does everything, Auntie."
তোমার চাচি মনে করে সবকিছু,Your aunt thinks of everything.
খুব ভাল করে তোমার চাচি,Take very good care of your aunt.
আমাকে একটা মাছ দেবার জন্য,Please give me a fish.
চাচা খুব খুশি আমাকে দেখে,Uncle was very happy to see me.
মানুষকে সকালে রেখে সন্ধ্যায় কিনে নিস,"Buy people in the morning, keep them till evening."
আল্লাহ তোকে কি দিয়ে বানিয়েছে,What has God created you with?
আল্লাহ তোকে হায়াত দিক,May Allah grant you life.
ভাই আমি তো তোমার বড়,"Brother, I am older than you."
ও মা আমি সাজেকে যাবো,"Oh mother, I am going to Sajek."
আমাদেরকে মা যেমন করে পড়াতো,The way our mother used to teach us.
মেহমানের সামনে নাস্তা দিয়ে দাও,Serve the breakfast to the guest.
আমার মোবাইলে আসে না,It doesn't come to my phone.
ভাই কাপড় কি এটি ভাল,"Brother, is this fabric good?"
কথা বলার জন্য আমি অন্য ঘরে যাই তখন,Whenever I go to another room to talk...
নিজের মেয়ে দোষ করে না নাকি,Doesn't your own daughter make mistakes?
সালমার মা ঠিক আছে বেশি গেঞ্জাম করে না,"Salma's mother is alright, she doesn't create much trouble."
টুম্পা দজ্জাল মেয়ে না,Tumpa is not a wicked/evil girl.
গোলামের বাচ্চা গোলাম,The child of a slave is a slave.
আমিও মনে মনে চিন্তা করছি এটি,I am also thinking about it in my mind.
শিল্পী আপুর আলাদা সবকিছু,Apu the artist is different in every way.
যারা দেখো নি এখন দেখে আসো,"Those who haven't seen it, come and see it now."
মাথা গরম হলে নাক ফুলিয়ে ফেলে নাকি,Do they puff up their noses when they get angry?
আমি বই নিয়ে আসি,I brought the book.
আষষাঢ় মাসের ঝড়ের,The storms of the month of Asharh.
আমি কি তোর চাচাতো বোন সালমা নাকি,Am I your cousin Salma?
মোরগ অনেক মজা হয়েছে,It was a lot of fun with the rooster.
সমুদ্রে গেছিস তুই,You have gone to the sea.
স্বাদের জন্য ছাড়তে পারি,I can give it up for the taste.
কাঁটার জন্য গিলতে পারি না,I can't swallow because of the thorns.
পাছায় কাপড় নেই মিঠায় দিয়ে ভাত খাওয়া সে,He eats rice with molasses without any clothes on his backside.
পোড়া কপালি ছেলে তোকে,You burnt-faced boy.
রাগ হয় না,I don't get angry.
মাহবুব লুঙ্গি পরে যেন পিলারে না ওঠে,Mahbub shouldn't climb on pillars while wearing a lungi.
বাবার গুনগান গাওয়ার জন্য,For singing praises of my father
নিজের জন্য একটু সময় পাই না,I don't get any time for myself.
আমি বড় বাড়িতে যেয়ে ফুর্তি করবো,I will go to a big house and have fun.
সামনে থাকা যেত,Could have gone ahead.
তাকে দেখে দাদিকে বেশি মনে পরে,"Looking at him, I miss my grandmother a lot."
আল্লাহ আমার দাদিকে যেন জান্নাত নসিব করে,May Allah grant my grandmother Paradise.
ফলোয়ার বাড়ানোর জন্য তোমার ভিডিও তার পেজে,"To increase followers, share your video on their page."
টুম্পামনি ভাল হয়ে যা না হলে মাইর খেতে খেতে মরে যাবি,"Tumpamoni, get well soon or you'll die from being beaten."
বাতাসে আমার চুল পাকে,My hair turns gray in the wind.
গাছের নিচে প্রেম করতে ভাল,It's good to love under a tree.
গাছ লাগাতে বললে গা জ্বালা করে,"When asked to plant trees, it feels irritating/annoying."
তাকে কাজের কথা বললে গায়ে জ্বর ওঠে,He gets a feverish reaction when you talk to him about work.
আষাঢ় মাসের ঝড়ে,In the monsoon rains of Asharh...
মরে যাচ্ছি ভয়ে,I'm dying of fear.
ছেলেমেয়েকে দেই কিল,I hit my children.
এই ঝড়ে কোথায় পাবো গাড়ি ঘোড়া আমি,Where will I find a vehicle in this storm?
বিলের মধ্যে দেখি তাকে,I see him in the bill.
বর্ষা কালে যাবো না,We will not go during the rainy season.
কেমন করে থাকবো,How should I stay?
বউ ছেলেমেয়েকে এই ঝড়ে কোথায় রাখবো,Where will I keep my wife and children during this storm?
পানি ঢোকে আমার ঘরে,Water enters my room.
ঘরে নেই চাল ডাল,There is no rice or lentils at home.
তোমার আছে পাকা ঘর,You have a permanent house.
ঝর হলে খাবো খিচুরি,I will eat khichuri if it rains.
মনে লাগে না ভয়,I don't feel afraid.
আমরা ভাই গরিব মানুষ,We are poor people.
চিন্তা করি কেন বললাম না,I wonder why I didn't say it.
তার সাথে করবি না,Don't do it with him/her.
করলে হাসপাতালে রপ্তানী করে দিব,"If you do it, I will export it to the hospital."
আমার মা মানা করেছে নাকি,Did my mother forbid it?
কি তরকারি দিয়ে ভাত,What vegetable curry with rice?
আমি মনে করেছি মুখ দিয়ে,I thought to myself.
তুই বেশি বান্দর হয়ে গেছিস,You've become too cheeky.
তোমাকে মাইর দেয়া দরকার নেই,There is no need to hit you.
দাও না আমি কি তোমাকে মানা করেছি নাকি,Didn't I forbid you from doing that?
কালকে নাকি তোমার,I heard something about you tomorrow.
বলবেন নাকি আমাকে তুমি,"Will you tell me, or not?"
ভাল করে পড়েছ নাকি,Did you read it properly?
বাংলা ভাল লাগে,I like Bengali.
বেশি নম্বর পাবে না,You won't get high marks.
তুমি অনেক কিছু জানো,You know a lot.
তোমার চোখ টানা টানা,Your eyes are almond-shaped.
সারাদিন দেখি তোমাকে,I see you all day.
যাহ্ আমার শরম লাগছে না,I am not feeling ashamed.
এটি না আরেকটা দাও নেই,"Or, give me another one."
তোমার মতামত কি নেই,Don't you have any opinion?
পরে আর কথা বলবো না,I will not talk anymore.
আজকে থেকে রাখবো না,I won't keep it from today.
ভাল খোদাহাফেজ তাহলে,"Okay, goodbye then."
আমার প্রশ্নের জবাব দিবি,You will answer my question.
বলতে বলতে বার টা খেতে খেতে একটা,"While speaking, around twelve pieces were eaten."
বন্ধু গুলোকে মোবাইল দিবে,Will give mobile phones to friends.
কত বড় মাছ ধরেছি দেখেছে,You've seen how big of a fish I caught.
আপু কিরণ মালা নিবেন না,"Don't take the Kiran Mala, Apu."
ঘুষি মেরে দাঁত ফেলে দিব,I will punch you in the teeth.
সবাই কম্বল নিয়ে ঘুমিয়ে যাবে,Everyone will go to sleep with blankets.
যখন আমি নতুন মোবাইল চেয়েছি,When I wanted a new mobile phone.
ধরবি না কেউ,Don't expect anyone.
আস্তে ছুড়ে মারি,Throw it gently.
লাথি দিয়ে লাথি দিয়ে ব্যবহার করি না,We do not use kicks to fight.
কালকে তোর বিয়ে,Your wedding is tomorrow.
আর একটা বছর পরে করো না,Don't do it again next year.
রাত শেষ কেউ আমাকে বাচাও,"Night is over, someone save me."
তার কথায় লাফ মারবি না,Don't jump to conclusions based on what he says.
ঘরের গরু ঘুলির খড় খায়,The cow at home eats the hay from the barn.
ঘরের ভাত খেয়ে পরের মহিষ চরানো,Eating rice from home and grazing another's buffalo.
ঘরের ইঁদুর বেরা কাটে,House mice gnaw and damage things.
কেউ টের পায় না,No one notices.
ঘাটে নৌকা থাকে,There are boats at the ghat.
মেজ ছেলে হাটে যাবে,The elder son will go to the market.
ঘি কিসে পড়ল এখন,What did the ghee fall into now?
ডালে কিছু পড়ল,Something fell into the lentils.
ঘুষের টাকা নেই আমার তোমাদের মত,I don't have bribe money like you do.
সারারাতে পুড়িয়ে মারে,Burns all night.
জামাই বলেছিল ভূত,My son-in-law said there's a ghost.
তুমি কি ঘরে যেয়ে কাথার ভিতরে থাকিস,"Do you stay inside the house, under the blanket?"
করতে পারে না একটা,Cannot do one.
ঝড়ে কাক বক মরে,Even crows and storks die in a storm.
কাক চিনে কাঁঠাল চিনে না,"A crow knows crows, but doesn't recognize a jackfruit."
কাক বুঝে না দুঃখ,The crow doesn't understand sorrow.
কুকুরের লেজ যে বাঁকা সেই বাঁকা,"A dog's tail is crooked, and that's how it remains."
চুরির জন্য আবার ফাসি হয় নাকি,Is the death penalty still given for theft?
কার ঘরের সোনা কার ঘরে,Whose gold is in whose house?
কারিগর ভাঙ্গা ঘরে থাকে,The artisan lives in a broken house.
চিকিৎসকের বউয়ের রোজ জ্বর,The doctor's wife has a fever every day.
ফালতু কথা কিসের মধ্যে কি,What's the point of pointless chatter?
দুইটি লাথি পড়লে ঘাড়ে,Two kicks landed on the neck.
কি করবে ছেলে কি,What will the boy do?
তার ঘুষির চোটে বিলের মাছ খাবি বুঝেছিস,"You understand now, don't you? You'll eat fish with a punch like that."
ছেলে ছড়ায় দুর্গতি,The boy is causing trouble.
তারা তো গরিব দেখলে থুতু ফেলে,They spit at the sight of the poor.
আমি থাকতে তোর টেনশন কিসের,What do you worry about when I am here?
সে আপনার মেয়ে কি পালন করতে গেছে,Did she go to take care of your daughter?
আমি বললাম আমার এখানে আয়,I said I came here.
আমরা দুই বান্ধবি মিলে একটু গল্প করবো,We two friends are going to chat for a bit.
উনাকে তো রোজা ধরেছে,He/She has started fasting (for Ramadan).
আমরা ঘরে আছি না,We are not at home.
আমরাও দেখিয়ে দিব,We will show too.
আজকে না আসার কথা ছিল তোমাদের,You weren't supposed to come today.
তোমরা বেঈমান সবাই,You are all betrayers.
তোমার অভ্যাস হয়ে গেছে,You've gotten used to it.
তুমি কি সেটা আমার থেকে ভাল করে আর কেউ জানে না,Does anyone else know that better than I do?
এটিকে মার থেকে নেয়া বলে না,Don't take it from the market.
টাকা পয়সা সবকিছু দিয়ে রাখে,"Money and possessions, everything stays (with them/it)."
গরু চোরের ছেলে মুরগি চোর,The son of a cow thief is a chicken thief.
তোমাকে শাসন করতে ভাল লাগে,I enjoy disciplining you.
তোমার দাদি ঘুমে নাকি জেগে তুই যেয়ে দেখে আয়,Go and check if your grandmother is asleep or awake.
মাইর একটা মাটিতে পরবে,The hit will land on the ground.
আমি লাল বানিয়ে ফেলবো,I will make it red.
মেয়ে চালাক জামাইয়ের ঘরে ভাত খেতে পারবে,The daughter-in-law will be able to eat rice at her clever son-in-law's house.
নতুন প্রজন্মের সাথে এই ভাষার কম ঘনিষ্ঠতা,Less familiarity with this language among the new generation.
আমরা এমন মঞ্চ বানাতে চেয়েছি,We wanted to create a platform like this.
যেখানে মানুষ চট্টগ্রামের ভাষায় তাদের মন হৃদয় ঢেলে দিতে পারবে,A place where people can express their hearts in the Chittagonian language.
ভাষা এটি এমনিতেই হতো রসালো,The language was naturally sweet.
যার কারণে আমরা চট্টগ্রামের সবাই আমাদের ভাষায় মজা করতে পারার জন্য,Because of which we all in Chittagong can enjoy in our language.
তার গুন গাইবার জন্য যাবো,I am going to sing His praises.
এই গ্রুপের মাধ্যমে আপনি চট্টগ্রামের সবার ব্যাফারে,"Through this group, you can connect with everyone in Chittagong."
তার ব্যাপারে জানতে পারবেন নাকি,Will you be able to find out about him/her?
এটি তৈরির সাহস দেবার জন্য ধন্যবাদ জানাই,Thank you for the encouragement to create this.
এখন আবার মিষ্টি বাতাস হচ্ছে,Now the air is sweet again.
আর তোমরা এসেছ রসের গল্প মারার জন্য,And you have come to discuss sweet nothings/romantic tales.
পাছায় হালকা বরফ লাগিয়ে দাও,Apply some light ice to the back.
শান্তি লাগে না বাহিরে,I don't find peace outside.
কুসুম কুসুম গরম পানি দিয়ে গোসল করে দেখতে পারো,You could try bathing in lukewarm water.
ভাল লাগবে,I will like it.
অভিনয় করলে গায়ে মরিচ ঢেলে দাও,"If you act, pour chili peppers on your body."
এটি তো ছোট খালুর কথা মনে করিয়ে,This reminds me of little uncle.
বাজারে গেলে ও দেখবে,"If you go to the market, you will see."
বউকে নিয়ে এমন প্রেম,Such love for the wife.
জোড়া কলা এটি খেয়ো না তুমি এখন,Don't eat that pair of bananas right now.
এটি তোমার দাদিকে দিয়ে,Give this to your grandmother.
তোমরা তো রোহিঙ্গা,You are Rohingya.
সাজনা গাছের ফুলের সুগন্ধে ভো ভো করে,The air is filled with the sweet fragrance of the Sajna (Moringa) flowers.
তোর মত এমন বেয়াদপ না,Not like someone as rude as you.
আসার সময় গলা টিপে মেরে ফেলতাম ভাল হত,It would have been better if I had strangled him to death when he came.
অবংশের জাত ইন্ডিয়ার জাত তো ভাল না এর জন্য,"The caste system in India is not good, and that's why..."
আগের আইল যেদিক পিছের আইল ও সেদিক,"The previous aisle, and that way towards the back aisle."
তোর কানে শয়তান ফিলফিল করে কি বলেছিল নারে জন্মের সময়,What did the devil whisper into your ear at the time of your birth?
এটি তো শয়তান আমার ঘরে,This is the devil in my house.
দুই মায়ের ছেলে নারে তোরা,"You are sons of two mothers, aren't you?"
ছেলের মত ছেলে হলে ভাল,It would be good if he were a son like a son.
ভয় পেলে ভুতে কাথা ভরে প্রসাব করবে,"If you get scared, you will wet your pants."
তোকে খেলায় নেবো না,I won't take you to play.
আমার নানি পিঠা বানালে তোর অর্ধেক,My grandmother makes half as many *pitha* as you do.
বুড়ো মহিলার লজ্জা নেই বেহায়ার শরম নেই,"The old woman has no shame, the shameless one has no decency."
বাটা মরিচ লাগিয়ে দিব,I will apply crushed chili.
খালি ঘরের বাহিরে পা রেখে দেখিস,Step outside the empty room and have a look.
যুবক ঘরে চলে যায়,The young man goes home.
একটু পর একটা মহিলা বাহির হয়,"After a while, a woman came out."
শাড়ি পড়া মহিলা,Woman wearing a sari
মাথায় ঘোমটা আছে মহিলার,The woman has a veil on her head.
তার গায়ের রঙ বাদামী,His/Her skin color is brown.
তার কাপড় দেখতে পরিস্কার,His/Her clothes look clean.
দেখতে বেশি সুন্দর না হলে মোটামুটি সুন্দর,"If not very beautiful, then reasonably good-looking."
মুখে একটা মার্জিত ছবি আছে,There is a refined expression on the face.
লোক মহিলার উদ্দেশ্য করে বলেন,He/She said to the woman.
