Standard_Bangla,dialect_speech,English_translation
অখুশি বালো লাগে না,অখুশি বালা লাগে না।,
অতিনদো দা না থাকলে আজো রানু মন্ডল রাস্তাই রাস্তাই ভিক্ষা ই করে বেড়াতে হত,অতিনদো দা না থাইকলে আজো রানু মন্ডল রাস্তাত রাস্তাত ভিক্ষা ই করি বেড়াইত হইত।,
অতিন্ড দাদা ভালো লুক,অতিন্ড দাদা ভালা লোক।,
অতিন্দ্র দাদার কাজ ভালো লাগলে ভিডিওটিতে লাইক দিয়ে দেখতে থাকুন ভালো কাজ করলো কে আর লাইক চায় কে,অতিন্দ্র দাদার কাজ ভালা লাইগলে ভিডিওতে লাইক দি দেইখতে থাকুন ভালা কাজ কইরল কোন আর লাইক চায় কোন।,
অতিন্দ্রদার দাঁ এর জন্য অনেক অনেক ভালোবাসা,অতিন্দ্রদার দাঁ এর লাই অনেক অনেক ভালোবাসা।,
অতিমরায টাকার লোব থাকতে পারলেন না টাকার লোভে যদি থাকতে পার্থ তাহলে এইরাম করে একটা ইন্টারভিউ এর জন্য কত টাকা চাইতো না গরিব হয়ে বড় জায়গায় টাকার অংকটা বেশি হয় জয় এইসব গরিব মানুষের ওসব জায়গায়,অতিমরায টেয়ার লোব থাইকতে হারলেন না টেয়ারর লোভে যদি থাইকতে পার্থ তাহলে এইচ্ছা করি ইগ্গা ইন্টারভিউ এর লাই কত টেয়া  চাইতো না গরিব হই বড় জায়গায় টেয়ার অংকগা বেশি হয় জয় এইসব গরিব মানুষের ওসব জায়গায়।,
অতিরিক্ত পানি পেয়ে গাছগুলো মরে যাবে না তো,অতিরিক্ত হানি হাই গাছগুন মরিযাইতো নো তো,
এখন আমি আমার বাবা দায়িত্ব পালন করব,অন আই আর বাপের দায়িত্ব হালন কইরগুম,
এখন আমি কত বড় হয়ে গেছি,অন আই কত্ত বড্ডা হই গ্যেছি,
এখন আবার একটা মেয়েকে অনেক ভালবাসি,অন আবার ইজ্ঞা মাইয়ারে বহুত ভালোবাসি,
এখন আমরা কি করবো,অন আমরা কি কইরতাম?,
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,অন আর মানুষের ভিত্তে মায়া জিনিষটা নাই,
এখন তাকে আর ছাড় দেওয়া যাবে না,অন আর হেতেরে ছাড় দেওন যাইতো ন,
এখন এটার সমাধান কোথায় পাবো,অন ইয়ানের সমাধান কোনাই হাইয়ুম,
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,অন কতা অইল আই হত্তি মাসে কাবিনের টেয়া দি দিমু,
এখন কোথায় বাংলাদেশের আইন ব্যবস্থা ?কেন এই কুত্তার বাচ্চারে আইনের আওতায় নেয়া হয়না ?,অন কন্ডে বাংলাদেশের আইন ব্যবস্থা ?কিল্লাই  এই কুত্তার বাইচ্চারে আইনের আওতায় নেয়া অয়না ?,
এখন কাদের সাহেব বলবেন এখানে জামায়াত বিএনপির ষড়যন্ত্র জরিত আছে।,অন কাদের সাব ক‌ইবো ইয়ানে জামায়াত বিএনপির ষড়যন্ত্র আছে।,
এখন কাদের সাহেব বলবেন এইগুলো আসল না পাটুয়াটুলির কপি মাল ���।,অন কাদের সাব ক‌ইবো এগিন আসল ন পাটুয়াটুলির কফি মাল ।,
এখন কান্না কর কেন মনু রা সুন্দর নুসরাত আপি টা কে ক্ষুন করার সময় মনে হয় নাই তোমাদের একদিন এমন পরিনতি হতে পারে,"অন কান্দর কা ,মনা রা সোন্দর নুসরাত আফাগারে খুন করার সমে মনে অয় ন তোরগোএকদিন এমন ফরিনতি অইতো হারে?",
এখন কেমন লাগে আপনাদের এমনি লেগেছিল নুসরাতের পরিবারের কাছে,"অন কেইক্কা লাগে ,আমনেরগো এইক্কাই লাইছিল নুসরাতের ফরিবারের কাছে।",
এখন ঘরে ঘরে টেলিভিশন দেখা যায়,অন ঘরে ঘরে টেলিভিশন দেন যায়,
এবার ঠেলা সামলা পাপন সাহেব শালা তুই সব লুটেপুটে খাচ্ছে তাহলে কইয়া দিমু,"অন ঠেলা সামলা পাপন সাব। হালা তুই বেক লুডি খাওরি, তাইলে কই দিমু।",
এখন তুমি গান গাইতে পারবে না,অন তুই গান গাইতে হ্যাইত্যি ন,
এখন তুমি আমার কাছে ক্ষমা চাও,অন তুমি আর কাছে মাফ চাও,
এখন নাটক হবে আর সাধারণ মানুষ শুধু দেখবো,"অন নাটক অইবো ,আর সাধারণ মানষ খালি দেখবো।",
এখন নানার বাসায়ই থাকি,অন নানার বাসাত ই থাই,
এখন নিজেই আর পারছি না,অন নিজেই আর হাইরতেছি না,
এখন নিজেকেই আর বিশ্বাস করতে পারি না,অন নিজেরেই আর বিশ্বাস কইরতে হারি না,
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,অন বিয়ার হর জাইনতে হাইচ্ছি আর জামাই দুগা বিয়া কইচ্ছে,
এখন মিননী কে ও রিফা ফরাজী ও রিশান ফরাজী ও অন্যাখুনীদের কে ফাঁসি দেওয়া উচিত ।খুব দূরত ভাবে।,অন মিননী রে আর রিফাত ফরাজী ও রিশান ফরাজী ও অন্যখুনীগোরে ফাঁসি দেওন উচিত । বহুত দ্রুতভাবে।,
এখন যদি তুমি গান গাও তবে চাষী শুনতে পাবে,অন যদি তুুই গান গাস চাইলে চাইষ্যা হুনত্বে হাইর বো,
এখন পড়তে বসবো,অন হইড়তে বইয়ুম,
এখন সে আমাকে বলে তার লাইফ থেকে চলে যেতে,অন হিগা আরে কয় হিগার লাইফ তুন চলি যাইতে,
এখন এসব এর বিচার হই না,অনগা এগিনের বিচার অয় না।,
এখন ভাই তুমি খেলটা বাংলাদেশের হয়ে ছেড়ে দাও!বহুত খেলছোএই দেশে লিজেন্ড কীভাবে তৈরি হবে কেননা লিজেন্ডদের গুরুত্ব দেওয়া হয় না!বোকাচোদা বাঙালি,অনগা বাই তুই খেলাগা বাংলাদেশের ওই ছাড়ি দে। বহুত খেলছত এইচ্ছা দেশে লেজেন্ড কেন্নে তৈরি ওইবো কারণ হেগুনে লেজেন্ডগোরে গুরুত্ব দে না! বোকাসোদা বাঙালি।,
অনেক বলেছি যে এরকম আর ভুলেও হবেনা কখনো,অনেক কইছি যে এরুম আর ভুলেও অইতোনো কখনো,
অনেক তোমার সংসারে দায়িত্ব পালন করেছি,অনেক তোয়ার সংসারে দায়িত্ব হালন কইরছি,
অনেক দিন বাবার বাসায় ছিলাম,অনেক দিন আব্বার বাসাত আছিলাম,
অনেক দূরের পথ,অনেক দূরের হথ,
অনেক ভালো উদ্যোগ,অনেক ভালা উদ্দ্যোগ।,
অনেক ভালো লাগে,অনেক ভালা লাগে,
অনেক শব্দের উচ্চারণ আলাদা হয়,অনেক শব্দের উচ্চারণ আলাদা অয়,
অনেক পরিচিত লোকজন আছেন,অনেক হরিচিত লোকজন আছেন,
অনেকগুলো নতুন বই দেখে আমি অবাক হয়ে বললাম,অনেকগুলা নতুন বই চাই আই অবাক অই কইলাম,
অনেকবার সবাই কথা বলেছে বোঝাতে চেয়েছে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নি,অনেকবার বেকে কতা কইছে বুঝাইতে চাইছে যে কি সমইস্যা কিন্তু কোনো সমাধান অয়নো,
অনেকবার লালবাগ কেল্লার কথা শুনেছি,অনেকবার লালবাগ কেল্লার কতা হুইনছি,
এখনো ভালো লাগে গানটা,অনো ভালা লাগে গান আন,
এখনো সময় আছে পাপন খানকির পড়ে ক্রিকেট বোর্ড থেকে সরিয়ে ফেলা হোক,অনো সময় আসে পাপইন্না খানকিরহুতেরে ক্রিকেট বোর্ডের তুন সরাই হালন।,
আপনার সাথে দেখা হয়ে আসলেই খুব ভালো লাগলো,অন্নের লগে দ্যেয়া অই আসলেই বহুত বালা  লাগছে,
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,অন্য কোনানো বিয়া করি ভালা থাইকবা হেডা কেন্নে অয়,
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,অন্যদিকে আন্নের স্বামীও লোক হিসাবে ভালা ন,
অন্যদিকে এতো অন্যায় করার পরও আমার বাবা আর ঐ মহিলা অনেক সুখে আছেন,অন্যদিকে এতো অন্যায় করার হরও আর বাবা আর ঐ বেডি অনেক সুখে আছেন,
অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,অন্যায় দাবি কইচ্ছে ক্রিকেটারেরা হেও দোষ বলে বোর্ডের! বাংলাদেশ মাতালের কারখানায় পরিণত হয় গেসে।,
অন্যের দোষ সহজেই খুঁজে পাওয়া যায়,অন্যের দোষ সহজেই খুঁজি হাওন যায়,
অপরাধ করে আবার বিচার চাস নিরপরাধরা কি বললে স্যারের কোন দোষ নাই তোমার সাথে স্যার সেক্স করছেতো তাই কারন উনি তোকে মজার রস দিয়েছে,"অপরাধ করি, আবার বিচার চাস? নিরপরাধরা কি বললে? স্যারের বলে দোষ নাই। তোর সাথে স্যার সেক্স করইতো, তাই হেতে তোরে মজার রস দিছে।",
অপিসের মেয়েদের না চুদে তুর মারে গিয়া চুদ তুর মা খুশি তুই ও খুশি,"অপিসের মাইয়ারদের না হোন্ডাই, তোর মারে যাই চুদ। তোর মা খুশি, তুইও খুশি।",
অপু আপু জয়কে নিয়ে এগিয়ে যাও,অপু আপু জয়কে লই এগিয়ে যা।,
অপু আপু জা করেছ সব কিট করেছে শাকিব ত শুধু আছে বাজে বুবলি কে নিয়ে,অপু আপু জা কইরেছ সব কিট কইরছে শাকিব ত শুধু আছে বাজে বুবলি রে লই।,
অপু আপুও নেক ভাল,অপু আপুও নেক ভালা।,
অপু আবার ও সাকিব বাইয়ার সাথে থাকে ভালো হবে,অপু আবার ও সাকিব বাইয়ার লগে থাকে ভালা হইত।,
অপু একটা খারাপ মেয়ে,অপু ইগা খারাপ মাইয়া।,
অপু খুব ভাল মেযে,অপু খুব ভালা মাইয়া।,
অপু ঠিক বলছেন,অপু ঠিক কইছেন।,
অপু বিশ্বাস তো ও বলতে পারেন না,অপু বিশ্বাস তো ও বলতে পারেন না।,
অপু বিশ্বাস যা বলসে একদম ঠিক,অপু বিশ্বাস যা কইসে একরে ঠিক।,
অপু বিশ্বাস সাথেও সাকিব খান ছবি ভালো হয় আমি ছবিটি হিটা,অপু বিশ্বাস লগেও সাকিব খান ছবি ভালা হয় এই ছবিগা হিটা।,
অপু বিশ্বাস সাকিব খানকে আবার চাই,অপু বিশ্বাস সাকিব খানরে আবার চাই।,
অপু মত খারাফ মেয়ের সাথে সংসার করা যায় না,অপু মত খারাফ মাইয়া লগে সংসার করা যায় না।,
অপু খুবালো,অপু মেলা ভালা।,
অপু কে অবশ্যই চাই,অপু রে অবশ্যই চাই।,
অপুর জন্য অনেক কেঁদেছি আললায় যেন আললায় যেন সাকিব কে ভালো পথে আনে অপু যেন সুখী হয়,অপুর লাই মেলা কানদিছি আললায় যেন আললায় যেন সাকিব কে ভালা হথে আনে অপু যেন সুখী হয়।,
অপেক্ষা করো অপুও বিয়ে করবে ওদের কোন ধর্ম আছে যেমন ভারতীয় নায়িকারা যা করছে আপুও করবে সবাই দেখবে,অপেক্ষা করি অপুও বিয়ে কইরবে ওদের কোন ধর্ম আছে যেইচ্ছা ভারতীয় নায়িকারা যা কইরছে আপুও কইরবে বেকে দেইখবে।,
অপরাধ করার আগে স্মরণ থাকে না �এবার ফাঁসির কাষ্ঠে ঝুলতে হবে।,"অফরাধ ক‌ইবার আগে স্মরণ থায় না, এবার ফাঁসির কাষ্ঠে ঝুইলতে অইবো।",
অফিস রুমের পাশে এমন কক্ষ পৃথিবীর কয়টি দেশের আমলা পায়। চুদার জন্য ব্রিটিশরা এসব করেছিল এবং এ ধারা এখনও আছে।,"অফিস রুমের হাশে এইচ্ছা কক্ষ। পৃথিবীর কগা দেশের আমলা হায়। চুদার লাই ব্রিটিশরা এচ্ছা কইছিল, এবং এ ধারা ওনও আছে।",
অপু আর সাবনু দুজনেই বেশ্যামাগি,অফু আর সাবনুর দোনোগাই বেইশ্যামাগি।,
অপু একটি মাগি,অফু ওগ্গা মাগি।,
অপু নষটা মাগী ডাইনী শয়তানীর সামীর অভাব নাই এই অপু নষটা সংসার ছাইনা পরুষ ছাই,অফু নষ্টা মাগী ডাইনী শতানের জামাইর অভাব নাই এই অফু নষ্টা সংসার চায় না বেডা চায়।,
অপু বড় মাগি আমরা বুবলি চাই,অফু ব মাগি আন্ডা বুবলি চাই।,
অপু পাগল,অফু হাগল।,
অপুতো একটা মাল তার গুধে একটা চুমু চাই,অফুতো ওগ্গা মাল হেতির হেডায় ওগ্গা চুমু চাই।,
অপুর চামচা তুই,অফুর চামচা তুই।,
অপুর দূধ বড বড,অফুর দূধ ব ব।,
অপুকে পতিতার মতো লাগে খানকি মাগি,"অফুরে বেইশ্যার মতন লাগে, খানকি মাগি!",
অপু কে ঝারু পিটা করা উচিত মিথ্যা কথা বলার জন্য সে একজন পতিতা ওবায়দুল এর বেড পার্টনার,"অফুরে হিছাদি হিডন মিছা কতা ক‌ইবার লাই, হেতি ওগ্গা বেইশ্যা ওবায়দুলের বিছনা ফার্টনার।",
অপেক্ষার পর পাইলাম ভাইয়া আপ্নার ভিডিও অস্থির হইছে ভাই ���,অফেক্ষার ফর ফাইছি বাইয়া আমনের ভিডিও অস্থির অইছে বাই,
অপেক্ষায় আছে বাংলাদেশের কোটি মানুষ কবে শুনতে পাবো আমরা আবরার ফাহাদের হত্যাকারিদের ফাঁসির রায়।,"অফেক্ষায় আছে বাংলাদেশের কুটি মানষ, কবে হুইনতে হাইবো আন্ডা আবরার ফাহাদের হত্যা কারিগোর ফাঁসির রায়।",
আবশেষে আওয়ামিলীগের মন্ত্রী বাংলাদেশের সর্ববৃহৎ পাহাড় দুইটা কিনতে সক্ষম হলো��,অবশেষে আমিলীগের মন্ত্রী বাংলাদেশের এক্কেরে ব পাহাড় দুগা কিনতো সক্ষম অইছে।,
অবশেষে বাংলাদেশের মুসলিমদের চাপে ইন্ডিয়ান গানের পরিবর্তন,অবশেষে বাংলাদেশের মুসলিমগোর চাপে ইন্ডিয়ান গানের ফরিবর্তন । ,
অবশ্য ই বলবো,অবশ্য ই কইব।,
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,অবশ্যই আন্নে নিয়মিত নামাজ হড়ি আল্লার কাছে শান্তি চাই দোয়া কইরতে হারেন,
অবশ্যই কাসমির,অবশ্যই কাসমির।,
অবশ্যই জাকির নায়েক নির্দোস,অবশ্যই জাকির নায়েক নির্দোস।,
অবস তাদেখে,অবস তাদেখে।,
"অবাক লাগে দেখতে, এই কমেন্টকারী ছাগুদের জন্ম দেবার নির্দেশইই সেদিন পাক সেনারা পেয়েছিলো তাদের কমান্ডারের কাছ থেকে।","অবাক লাগে দেইখতে, এই কমেন্টকারী ছাগলগোর জন্ম দিবার নির্দেশে হেদিন পাক সেনারা ফাইছিলো হেগুনের কমান্ডারের কাছ তুন।",
অভিনন্দন রাজশাহী রয়েলসের জন্য শুধুমাত্র রাসেলের জন্য রাজশাহীর কাপ পেয়ে গেল।,অবিনন্দন রাজশাই রয়েলসের লাই খালি রাসেলের লাই রাজশাই কাপ হাইসে।,
অভাব থেকে মানুষের প্রকৃতপক্ষে এটাই ধ্যান ধারণা হয়।,অভাব তুন মাইনষের প্রকৃতপক্ষে এটাই ধ্যান ধারণা অয়।,
অমানুষ ছেলে পরে তার জন্য তোলা রইল তার ছেলে তাকে দিবে,অমানষ হোলা ফরে হেতের লাই তোলা রইল হেতির হোলা হেতিরে দিবো।,
অমানুষ একটা কিছু বলার ভাষা নেই কঠিন বিচার হওয়া দরকার,অমানুষ ইগ্গা কিছু কইবার ভাষা নাই কঠিন বিচার হওয়া দরকার।,
অমিত হাশাকে ফাশি চাই মদিকে জুতা মারি,অমিত শাহর ফাঁশি চাই মোদিরে জুতা মারি।,
অমিত সাহা ওর দিলীপ ঘোষ এর কি বাপের দেশ দিলীপ ঘোষের বাপে রাইন্স,অমিত সাহা ওর দিলীপ ঘোষ এর কি বাপের দেশ দিলীপ ঘোষের বাপে রাইন্স।,
অমিতাভ বচ্চনকে নিয়ে এমন আলোচনা ঠিক না,অমিতাভ বচ্চনকে লই হেইচ্ছা আলোচনা ঠিক না।,
অযোধ্যা র রায় সঠিক,অযোধ্যা র রায় সঠিক।,
অর ফাসি চাই,অর হাসি চাই।,
অল্প জলের মাছ বেশি জল পেলেই এই রকম করে তাই জে জার জায়গায় থাকা ভাল,অল্প জলের মাছ বেশি জল হাইলে এই রকম করি হীরলাই জে জার জায়গায় থাকা ভালা।,
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,অল্পবয়সী ওকগা হোলা বাইরে ফুটপাতে দৌড়াইতেছে,
অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি,অল্ফ সময় আছিলো সে তাতেই মায়ায় হড়ি রইছি,
অসংখ্য ধন্যবাদ আপনাকে ভাই আমার অনেক প্রিয় আজহারী হুজুর,অসংখ্য ধন্যবাদ আমনেরে ভাই আয়র অনেক প্রিয় আজহারী হুজুর।,
অসম্ভব ভাল ছবি,অসম্ভব ভালা ছবি,
অসম্ভব ভালো লিখেছেন,অসম্ভব ভালা লেইকছে,
অসাধারণ।ফিছ,অসাদারন।ফিজ।,
অসাধারণ একটা কিস্ছা খুব ভালো লাগলো।,"অসাধারণ ওগ্গা কিস্সা, বহুত বালা লাইগলো।",
অসাধারণ করে লিখেছেন,অসাধারণ করি লেইকছেন,
অসাধারণ সুন্দর ফোন নম্বর দেয়া,অসাধারণ সুন্দর ফোন নম্বর দেয়।,
অসুখে তিনি কয়েক বছর ভুগেছিলেন,অসুখে হেতনে কয়েক বছর ভুইগছিলেন,
অসভ্য জানোয়ার শালা,অস‌ইভ্য জানোয়ার হালা।,
অহাংকার মানুষের পতনের মূল,অহাংকার মানুষের হতনের মূল।,
অাল্লাহর কাছে দোয়া করি ইমরান খানের জন্য অাল্লাহ উনাকে কমতায় রাকেন,অাল্লাহর কাছে দোয়া করি ইমরান খানের লাই অাল্লাহ উনাকে কমতায় রাকেন,
অ্যাজ ইউজুয়াল ছাগু ম্যাতকার শুরু হয়ে গেছে। ছাগু ম্যাতকারের বিনোদন উপভোগ করার জন্য জাফর ইকবাল স্যারের পোষ্ট একটা আদর্শ জায়গা।,অ্যাজ ইউজুয়াল ছাগু ম্যাতকার শুরু অই গেছে। ছাগু ম্যাতকারের বিনোদন উফভোগ করার লাই জাফর ইকবাল স্যারের পোষ্ট ওগ্গা আদর্শ জাগা।,
"আ*দা গর্তযোদ্ধার মুখে এইসব ম্যা ম্যা ডাক আর কেউ শুনতে চায় না,বমি আসতেছে তোর লেখা দেখে। �","আ*দা গর্তযোদ্ধার মুখে এইক্কা ম্যা ম্যা ডাক আর কেউ হুইনতো চায় না,বমি আইয়ের তোর লেখা দেখি।",
আমি হলে বস সাকিব আল হাসানের মত নিজের বাড়াটা দেখায়ে দিতাম,আঁই অইলে বস সাকিব আল হাসানের মতন নিজের কোঁয়াগা দেখাই দিতাম ।,
আমি হলে শালাদের পাছায় বাঁশ ঢুকিয়ে রোদে শুকিয়ে দিতাম,আঁই অইলে হালারগোর হোন্দেরতে বাঁশ ঢুকাই রোইদে শুকাই দিতাম ।,
"আমি অন্তত খুশি । সাব্বির তো অনেক চাপের মধ্যে ছিল, এইজন্য এই রকম উদযাপন করছে সেঞ্চুরি করে । সমালোচনা না করে ওকে আরো সাহস দেয়া দরকার যাতে সামনে বিশ্বকাপেও ভাল করতে পারে ।","আঁই অন্তত খুশি। সাব্বির তো বহুত চাপের মাইদে আসিলো, হেটারলাই এইচ্ছা উদযাফন কইচ্ছে সেঞ্চুরি করি। দোষ ন ধরি হেতেরে আরো সাহস দিবার দরকার যাতে হেতে সামনে বিশ্বকাপে বালা কইরতো হারে।",
আমি অপূর্ব বের নাটক অনেক পছন্দ করি,আঁই অপূর্ববর নাটক বহুত ফছন্দ করি ।,
"আমি হাসতে আসিনি ফাঁসির দাবি নিয়ে এসেছি, যারা এখানে হা হা রিয়েক্ট দেয় :-D :-D :-D","আঁই আইসতে আই ন ফাঁসির দাবি ল‌ই আইছি, যেগুন ইয়ানে হা হা রিয়েক্ট দেয়।",
আমি আছি সাকিব ভায়ের পাসে,আঁই আছি সাকিব বাইর লগে।,
আমি আবারও দেখলাম 05/92019 আর কে কে দেখছেন।তারা লাইক দিয়ে জান,আঁই আবারও দেইখছি আর কনে কনে দেইখছেন।হেগুনে লাইক দি যান।,
আমি আল্লাহর কাছে দোয়া করি । হয় এই নাস্তিক দের হেদায়েত করুন।আর না হয় এদের ধংস করেন,"আঁই আল্লাহর কাছে দোয়া করি । হয় এই নাস্তিকগোর হেদায়েত দক ,আর নয়  এগুনের ধ্বংস করক।",
আমি ইউটিউবে নতুন সবাই আমার চ্যানেল সাবসক্রাইব করেন আমি ও করবো,আঁই ইউটিউবে নোয়া বেকে আঁর চ্যানেলে সাবস্ক্রাইব করেন আঁইও করমু।,
আমিও এক বছরের জন্ন ক্রিকেট খেলা দেখার বিরতি নিলাম।পাপনেরে জুতার বারি দাও।অর পদত্যাগ চাই,আঁই এক বছরের লাই ক্রিকেট খেলা দেখার তুন বিরতি লইলাম। পাপইন্নারে জুতার বাই দেও। হেতের পদত্যাগ চাই।,
আমি একটু ডাষ্টবিনে বমি করতে আসছিলাম এখন দেখি আমার আগে সবাই হর হর বমি করে ডাষ্টবিন ফাটাইয়া লাইছে���,আঁই কদ্দুর  ডাষ্টবিনে বমি ক‌ইরতে আইছি অন সাই আঁর আগে বেকে হর হর বমি করি ডাষ্টবিন বরাই হালাইছে।,
আমি কলকাতা থেকে বলছি এ পর্যন্ত যে কটা শাকিব খানের ছবি দেখেছি সবকটি আমার কাছে অসাধারণ লেগেছে তবে এই প্রথম শাকিব খান এবং নুসরাত ফারিহা কে দেখে মনে হচ্ছে ছবিটি একদম ফাটাফাটি হবে এবং এই গান মনে হচ্ছে কোনো হিন্দি ফিল্মের জাঁকজমক গান আই লাভ শাকিব এবং নুসরাত,আঁই কলকাতা তুন ক‌ইয়ের এ ফর্যন্ত যে কোগা শাকিব খানের ছবি দেইখছি বেগ্গুন আঁর কাছে অসাধারণ লাইগছে তবে এই ফ্রথম শাকিব খান আর নুসরাত ফারিহারে দেখি মনে অইছে ছবিগা এক্কেরে ফাটাফাটি অইবো আর এই গান মনে অইছে কোনো হিন্দি ফিল্মের জাঁকজমক গান আই লাভ শাকিব এন্ড নুসরাত ।,
"আমি কি গুমের গুরে সপ্নে চলে গেছি নাকি,,, ষার এর পোষ্ট পরছি মনে হয়,,,? ব্যাটা এতো দিন কোথায় চিলা,,� যুদ্ধের সময় ত ব্যাংকারে চিলা আর এখন কি ইদুরের গাতে ছিলা নাকি���",আঁই কি ঘুমের গরে সপ্নে চলি গেছি নিকি ষার এর পোষ্ট ফড়ি মনে অয়। ব্যাটা এতো দিন কোনাই আছিলা যুদ্ধের সমে ত ব্যাংকারে আছিলা আর অন কি ইন্দুরের গর্তে আছিলা নিকি।,
আমি খুলনার ছেলে সিলেটের বন্ধুরা তোমাদের দল কিন্তু এবার অনেক দুর্বল এটা তোমাদের মানতে হবে।,আঁই খুলনার হোলা সিলেটের বন্দুরা তোঁনগোর দল কিন্তু এবার বহুত দুর্বল এটা তোঁনগোরে মাইনতে অইবো।,
আমি খেলা করি,আঁই খেলি,
"আমি গাঞ্জাখুর লোক দেখি নাই, কিন্তু আপনাকে দেখেছি,,!��","আঁই গাঞ্জাখোর লোক দেখি ন, কিন্তু আমনেরে দেইখছি,,!",
আমি চাই এই শালারে চরম শাস্তি চাই,আঁই চাই এই হালারে চরম শাস্তি চাই।,
আমি চাই বাংলাদেশি কোচ চাই বিদেশি কোচ দরকার নাই,আঁই চাই বাংলাদেশী কোচ বিদেশী কোচের দরকার নাই,
আমি চাই ওদের কেউ পুরিয়ে মারা হক,"আঁই চাই, এগুনরে ফুরি মারি হালন।",
আমি ছাএলীগ করি তবে এই সব কাজ দেখলে নিজেকে ও গৃন্যা হয় কিসের লীগ লীগ নামে দান্দা বাজি করে কিচু লোকেরা,"আঁই ছাএলীগ করি, তবে এই সব কাজ দেখলে নিজেরেও ঘৃনা অয়, কিয়ের লীগ লীগ নামে দান্দা বাজি করে কিচু মাইনষে।",
আমি তাহারি ভন্ডের বিচার চাই শালা একটা মিথা বাদি,আঁই তাহেরি ভন্ডের বিচার চাই হালা ওগ্গা মিথ্যাবাদি।,
আমি তোমাকে চুদব আমার নাম্বারে ফোন দাও,আঁই তোঁয়ারে হোন্দামু আঁর নম্বরে ফোন দ।,
আমি তোর মাকে পেলে তোর কাঁধে ফেলে কুকুর দিয়ে চোদা দিতাম তোর মায় মজা পাইতো তুই ও পাতি খানকির পোলা,আঁই তোর মারে হাইলে তোর কাঁন্দে তুলি কুত্তা দি হোন্দানি দিতাম তোর মা মজা ফাইতো তুই ও ফাইতি খানকিরহুত।,
আমি থাকলে মেরে ফেলতাম ওকে,আঁই থাইকলে মারি হালাইতাম হেতেরে।,
