Standard_Bangla,dialect_speech,English_translation
"হায়রে শিক্ষার্থী এই স্যারের কাছ থেকে আর কতটুকু ভালবাসা আর সেবা পাবি???
একবার গভীর ভাবে ভেবে দেখো...","""হায়রে শিক্ষার্থী এই স্যারের কাছ থাইক্কা আর কতটুক ভালবাসা আর সেবা পাইবি???একবার গভীর ভাবে চিন্তা কইরা দেইক্ষো...""",
"১২ মাস মাথা টাক রাখবো তেল মাখবো না।আর
 পাংগাস মাছ রান্না করবো কারণ ও মাছে প্রচুর তেল।তেল কেনা লাগবে না।","""১২ মাস মাথা টাক রাখুম—তেল মাখুম না।পাংগাস মাছ রানবাম—ও মাছে তেল অনেক। তাই তেল কেনা লাগবো না আর!""",
"সব জায়গায় শুধু বিএনপির লোক জড়িত থাকে।
আমি ভাবছি ওরা ক্ষমতায় আসলে কী হবে।
বিড়াল থেকে বাঘে রুপান্তর করার জন্য আওয়ামী লীগ একটা ধন্যবাদ পেতেই পারে..",.বেক জায়গাত খালি বিএনপির লুক মিইল্লা থাহে। আমি ভাবছি হেরা ক্ষমতার আইলে কী অইবো। বিড়াল তে বাঘে রুপান্তর করার লাইগ্গা আওয়ামী লীগ একটা ধন্যবাদ পাইতেই পারে.,
"মারহাবা, তবে ওরা তিনজন কারা???",".মারহাবা, তাইলে হেরা তিনজন কারা???",
হকার আর ছাত্ররা পোন মারিমারি করসে তারপর জন্ম দিছে একটা আজব জিনিষ ওর নাম সোনার দেশের সোনার পুলিশ।,.হকার আর ছাত্ররা পোন মারিমারি করসে তারপর জন্ম দিছে একটা আজব জিনিষ ওর নাম সোনার দেশের সোনার পুলিশ।,
ওখানে ছিলো শ্রমিক লীগ+পুলিশ লীগ+ছাত্র লীগ =গেন্জাম,অইনে আছিন শ্রমিক লিক+পুলিশ লিক+ছাত্র লিক = গেঞ্জাম,
সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না,অইহানে ছেড়া মেলা কিপটা আসিল আমি দুইবেলা ভাত খাইতে পারতাম না,"There were so many kips, I couldn't eat rice for two meals"
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকের উপহার গ্রহণ করি না,Do not accept gifts from strangers
এত দেরি হল কেন?,অত দেরি হইলো কে?,
অচছ বিনা দোষে আলেমরা বছরের পর বছর কারা ঘরে,অতচছ বিনা দুষে আলেমরা বছরের পর বছর কারা ঘরে,
অতিরিক্ত পানি পেয়ে গাছগুলো মরে যাবে না তো?,অতিরিক্ত পানি পায়া গাছগুলা মইরা যাইত না তো?,The plants will not die after receiving excess water?
অতিসত্বর ২০০৳ করা হোক,অতিসত্বর ২০০৳ করুন দরকার,
এতো নাটক করার দরকার ছিল কি?,অতো নাটক করুনের দরকার আছিন কি,
অথচ আমার রুহানি আব্বুর জামিন হয় না এদেশে!,অথচ আমার রুহানি আব্বুর জামিন হয় না এদেশে!,
অথচ আমির হামজারা মুক্তি পায় না এটাই বর্তমান বাস্তবতা,অথচ আমির হামজারা মুক্তি পায় না—এইডাই এখনকার বাস্তবতা।,
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,অথচ আসে পাশের সব বাড়ি তেই পানি দিয়া দিতাসে খালি আমারার বাড়িতেই পানি দিতাসে না,"But they are giving water to all the neighboring houses, not only to our house"
অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন কে যেন দেখা গেলো?,অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন রে যেন দেহা গেলো?,
অথচ টিপ কান্ডে কাউকে বলতে শুনা গেলো না যে পুলিশকে ফাঁসানো হয়েছে,অথচ টিপ কান্ডে কাউরে কইতে হুনা গেলো না যে পুলিশরে ফাঁসানো হইছে,
"অথচ যখন মামুনুল হক সাহেবদের ছেলেরা অশ্রুসিক্ত নয়নে বন্দী বাবার দিকে তাকিয়ে থাকে তখন এই নিয়ে তারা রিপোর্ট করে না
যত্তসব কাফির পক্ষ!","অথচ যহন মামুনুল হক সাহেবদের ছেরারা অশ্রুসিক্ত নয়নে বন্দী বাপের দিকে তাকায়া থাহে, তহন এই নিয়া তারা রিপোর্ট করে না, যত্তসব কাফির পক্ষ!",
"অধিকাংশ ছাত্রদের কাজ কলেজে যাবে,রাজনৈতিক বড় ভাইদের ক্যাডার হতে!আর দু পক্ষে র ই সমস্যা রয়েছে।পুলিশের উচিৎ কঠোর ভাবে দু পক্ষ কে ই থামানো","অধিকাংশ ছাত্রগর কাম কলেজে যাইব,রাজনৈতিক বড় ভাইগর ক্যাডার অইতে!আর দু পক্ষে র ই সমস্যা আছে।পুলিশের উচিৎ কঠোর ভাবে দু পক্ষ রে ই থামানি",
অনেক অনেক ধন্যবাদ আপনাদের মনের আশা আল্লাহ পূন করুন আমিন,অনেক অনেক ধন্যবাদ। আম্মেগোর মনের আশা আল্লাহ পূরণ করুক—আমিন।,
আর অনেক আগে বন্ধ করা উচিৎ ছিল। তাহলে এমন বৈষম সৃষ্টি হতো হত না।,অনেক আগেই বন্ধ করা দরকার আছিল—তাহলে এত বৈষম্য হইত না।,
অনেক ইতর মজা পাচ্ছে এই নিউজে।,অনেক ইতর মজা পাইতাছে এই নিউজে।,
অনেক বলেছি যে এরকম আর ভুলেও হবেনা কখনো,অনেক কইসি যে এরকম আর ভুলেও হইবনা কহনো,I have said many times that I will never forget this again
অনেক কিছু বলার ইচ্ছে থাকলেও বলতে পারলাম না,অনেক কিছু কওয়ার ইচ্ছা আছিল থাকলেও কইবার  পাইলাম না,
বেশ কয়েকটি বই কিনেছি,অনেক কয়ডা বই কিনসি,
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে,অনেক ছাত্র ছাত্রী  নতুন ভর্তি হইসে,
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে ,অনেক ছাত্র ছাত্রী  নতুন ভর্তি হইসে ,Many students are newly admitted
অনেক টাইম লেগে গেছে প্রশাসনের সঠিক দলের নাম টা ঘোষনা দেওয়া।ধন্যবাদ উপকমিশনার সাপ,"অনেক টাইম লাইগ্গা গেছে,, প্রশাসনের,, সঠিক দলের নাম ডা ঘোষনা দেওয়া। ধন্যবাদ উপকমিশনার সাপ",
অনেক তোমার সংসারে দায়িত্ব পালন করেছি,অনেক তোমার সংসারে দায়িত্ব পালন করসি,I have done many responsibilities in your family
অনেক দিন বাবার বাসায় ছিলাম,অনেক দিন আব্বার বাসায় আসিলাম,I was at my father's house for many days
অনেক দিন পরে আসল খবর দেখলাম ।,অনেক দিন পরে আসল খবর দেখলাম।,
অনেক দিন পরে একটা সংবাদ দেখে মন খুলে হাসলাম,অনেক দিন পরে একটা সংবাদ দেইক্কা মন খুইল্লা হাসলাম,
অনেক দূরে যেখানে কেউ নেই,অনেক দূরে যেইহানে কেউ নাই,
অনেক দেরি করে ফেলছে পুলিশ!পুলিশকে এর কাফফারা দিতে হবে,অনেক দেরি কইরা ফালাইছে পুলিশ! পুলিশরে এর কাফফারা দিতে অইব,
অসংখ্য ধন্যবাদ জানাই বিদ্যানন্দ ফাউন্ডেশনকে,অনেক ধন্যবাদ বিদ্যানন্দ ফাউন্ডেশনরে।,
অনেক পরিচিত লোকজন আছেন,অনেক পরিচিত লোকজন আসেন,There are many famous people
অনেক ভালো উদ্যোগ,অনেক ভালো উদ্যোগ।,
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এহনো পিসনে লাইনে দাঁড়ায়া আসে,
অনেক সময় শিক্ষকরা ভুল করে। উনি প্রকৃত শিক্ষা পাইলেই হইছে।,অনেক সময় শিক্ষক ভুল করে—উনি আসল শিক্ষা পাইলে হইল।,
সাদুবাদ জানায়,অনেক সাদুবাদ জানাই।,
"অনেক সুন্দর আইন বাংলাদেশ এ
নোবেল দেয়া হোক ওই সব পুলিশ কে",অনেক সুন্দর আইন বাংলাদেশ এ নোবেল দেয়া হোক ওই সব পুলিশ রে,
অনেক হয়েছে আর না উন্নয়ন কম করেও দ্রব্য মৃল্যের দাম কমানসব কিছুর দাম বাড়তি,অনেক হইছে আর না উন্নয়ন কম কইরাও দ্রব্য মৃল্যের দাম কমানসব কিছুর দাম বাড়তি,
অনেকগুলো কবুতর আকাশে উড়ছে,অনেকগুলা কবুতর আকাশে উড়তাসে,Many pigeons are flying in the sky
অনেকগুলো নতুন বই দেখে  আমি অবাক হয়ে বললাম,অনেকগুলা নতুন বই দেইক্ষা  আমি অবাক হয়া কইলাম,I was surprised to see so many new books
অনেকগুলো রাশিয়ান শব্দ শিখেছিলাম,অনেকগুলা রাশিয়ান শব্দ শিখসিলাম,Learned many Russian words
অনেক দিন পর তোমাকে দেখলাম,অনেকদিন বাদে তোমারে দেখলাম,I saw you after a long time
অনেকবার দাম বেড়েছে আর কতবার বাড়বে জানিনা।,অনেকবার দাম বেড়ছে আর কতবার বাড়ব জানিনা।,
অনেকবার সবাই কথা বলেছে বোঝাতে চেয়েছে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নি,অনেকবার বেহেই কথা কইসে বুঝাইতে চাইসে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নাই,Many times everyone has talked to explain what the problem is but there is no solution
অনেকবার লালবাগ কেল্লার কথা শুনেছি,অনেকবার লালবাগ কেল্লার কথা হুনসি,I have heard about Lalbagh Fort many times
অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়,অনেকে আরো কয় যে বিয়া করলে মাইনষে নাকি গাধা হয়,
অনেকে বলে প্রেম করলে মানুষ বোকা হয়,অনেকে কয় প্রেম করলে মাইনষে বেক্কল হয়,
অনেকেই শখের বশে কবুতর পালন করেন,অনেকেই শখের বশে কবুতর পালে,Many keep pigeons as a hobby
অন্তরের অন্তস্তল থেকে ধন্যবাদ জানাই,অন্তরের অন্তস্তল থেইকা ধন্যবাদ জানাই।,
অন্য কলেজ এর ছাত্রছাত্রীরা কোথায়?,অন্য কলেজের ছাত্রছাত্রীরা কোইনো?,
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,অন্য কোনেহানে বিয়া কইরা ভালা থাকবা তা কেমনে হয়,How about getting married somewhere else?
"অন্যকোনো মহল পরিস্থিতি ঘোলাটে করার চেস্টা করছে
এতো পুলিশ থাকতে কি করে এসব হয়","অন্যকোনো মহল পরিস্থিতি ঘোলাটে করার চেস্টা করতাছে   এতো পুলিশ থাকতে কি কইরা এইসব হয়""",
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,অন্যদিকে আফনের জামাইও লোক হিসাবে ভালা না,"On the other hand, your husband is also not good as a person"
অন্যান্য বই পড়েছেন,অন্যান্য বইডিও পড়তাসুইন?,
"অন্যায়কে অন্যায় ধরেই বিচার করতে হবে, কে কোন ধর্মের সেটা বিবেচনার বিষয় নয়।","অন্যায়রে অন্যায় ধইরাই বিচার করুন লাগবো, কেডা  কুন ধর্মের হেইডা বিবেচনার বিষয় নয়।",
অন্যের দোষ সহজেই খুঁজে পাওয়া যায়,অন্যের দোষ সহজেই খুঁইজ্জা পাওয়ন যায়,It is easy to find fault with others
অপমান করে,অপমান করে,
"অপরাধ করার পরও,আমাদের দেশের মুসলমানরাই ফেসবুকে আলোচনা,সমালোচনা করে জামিন পাওয়ার ব্যবস্থা করে দিল।আর ভারতে শুধু মুসলমান হওয়ার অপরাধে কত মুসলমান জেল খাটছে তার ইয়ত্তা নেই",অপরাধ করার পরও—এ দেশের মুসলমানরাই আলোচনা-সমালোচনা কইরা উনার জামিনের পথ খুলা দিছে। আর ভারতে শুধু মুসলমান হওয়ার অপরাধে কত মুসলমান জেল খাটতেছে—হিসাব নাই।,
অপরাধ বাড়ার প্রধান কারণ পুলিশের দুর্নীতি। সকল কাজে রাজনৈতিক রঙ মাখানো এখন ফ্যাশনে পরিণত হয়েছে।,অপরাধ বাড়ার প্রধান কারণ পুলিশের দুর্নীতি। সকল কাজে রাজনৈতিক রঙ মাখানি এহন ফ্যাশনে পরিণত হইছে।,
অপেক্ষা করবো,অপেক্ষা করাম,
অপেক্ষা করুন,অপেক্ষা করুইন,
অবশেষে আসামি পাওয়া গেল!!! হা হা হা,অবশেষে আসামি পাওন গেল!!! হা হা হা,
"হুমমমমম.... তাহলে অবশেষে পাওয়া গেল আসামী, তাহলে তো আর কোন কথাই নাই, এখন বিচার করতেও সুবিধা হবে, আসল ঘটনা আর খুজার দরকার হবেনা ।","অবশেষে পাওয়া গেল আসামী, তাইলে ত আর কুনু কতাই নাই, এহন বিচার করতেও সুবিধা অইব, আসল গডনা আর খুজার দরকার হইবনা",
অবশেষে বিজ্ঞানের জয় হল,অবশেষে বিজ্ঞানের জয় হলো।,
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,অবশ্যই আফনে নিয়মিত নামাজ পইড়া আল্লাহর কাসে শান্তি প্রার্থনা করতে পারেন,Of course you can ask Allah for peace by praying regularly
অবশ্যই একমত।এই কোটা সেই কোটা করতে করতে আমরা কোন সুযোগই পায় না।,অবশ্যই একমত।এই কোটা সেই কোটা—কোনো সুযোগই পাওয়া যায় না।,
অবশ্যই তেলের লিঃ ৫০০ টাকা হওয়া উচিত। গরিব এবং মধ্যোম আয়ের মানুষ গুলো না খেয়ে মরে যাক।এরা মারা গেলে দেশে কিছু ধনী মানুষ সুখে শান্তিতে বসবাস করতে পারবে।কারন আমরা প্রতিবাদ করতে পারিনা।,অবশ্যই তেলের লিঃ ৫০০ টেহা হওয়া উচিত। গরিব এবং মধ্যোম আয়ের মাইন্সে  না খায়া মইরা যাক।এরা মাইরা গেলে দেশে কিছু ধনী মানুষ সুখে শান্তিতে থাকবার   পারব।কারন আমরা প্রতিবাদ করবার পারিনা।,
অবাক হতে হতে আর অবাক হতে মন চায় না,অবাক অইতে অইতে আর অবাক অইবার মন চা-না,
অবাক হয়ে গেছিলাম,অবাক হইয়া গেসিলাম,
"অবাক হওয়ার কিছু নেই,এইটা নতুন কিছু না,আরো প্রমান আছে ৭২ টিভির কাছে প্রকাশ হতে পারে।","অবাক হওয়ার কিছু নাই,এইডা নতুন কিছু না,আরো প্রমান আছে ৭২ টিভির কাছে প্রকাশ হইবার পারে।",
"অবাক হওয়ার কোন কারণ নাই
নিরাপদ মানুষ কে মামলায় জড়া, হয়রানি করা, এগুলো তো আর এদেশের আইনের নতুন সিস্টেম নয়..!","অবাক হওয়ার কোন কারণ নাই নিরাপদ মানুষ রে মামলায় জড়া, হয়রানি করা, এগুলো তো আর এদেশের আইনের নতুন সিস্টেম নয়..!",
অবাক হয়োনা এটা সোনার বাংলা আমরা বিরের জাতি,"অবাক হয়োনা, এটা সোনার বাংলা, আমরা বিরের জাতি",
অবিলম্বে বাতিল করা হোক এই অভিশাপ,অবিলম্বে এই অভিশাপ বাতিল করেন।,
অনতিবিলম্বে কোটা ব্যবস্থা বাতিল করা হোক।,অবিলম্বে কোটা ব্যবস্থা বাতিল করেন।,
অভিনন্দন জাতি গড়ার কারিগর শিক্ষক,অভিনন্দন জাতি গড়ার কারিগর শিক্ষক।,
অভিনন্দন বিদ্যানন্দ ফাউন্ডেশন কে।,অভিনন্দন বিদ্যানন্দ ফাউন্ডেশনকে।,
"অভিনন্দন, স্যার। অফুরন্ত শ্রদ্ধা",অভিনন্দন স্যার—অশেষ শ্রদ্ধা।,
অন্যর ক্ষেত্রে এই সহানুভূতি কই থাকে?,অরেকজনের ক্ষেত্রে এই সহানুভূতি কই থাহে?,
অর্থবান ব্যাক্তিরা এগিয়ে আসা উচিৎ,অর্থওয়ালা মানুষগুলার আগাইয়া আসা খুবই দরকার।,
অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি,অল্প সময় আসিল হেয় তাতেই মায়ায় পইরা আসি,For a short time he was in awe of it
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,অল্পবয়সী একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,A young boy runs outside on the sidewalk
অসংখ্য ধন্যবাদ বিদ্যানন্দ,অসংখ্য ধন্যবাদ বিদ্যানন্দ।,
"অসভ্য , জানুয়ার, চোর বাটপার গুলো দেশটাকে যেই যেদিকে পারে লুটেপুটে খেয়ে পেল। সাধারন মানুষকে স্বাভাবিক দামে জিনিসপএ কিনার সুযোগ না দিয়ে, গলা টিপে মেরে ফেল। তুরা ব্যবসায়ী না, তুরা হলি বিশ্ব বাটপার। তুদের বিচার আল্লাহ করবে।","অসভ্য , জানুয়ার, চোর বাটপার ডি দেশটারে যেই যেদিকে পারে লুটেপুটে খায়া লায়  সাধারন মাইন্সে স্বাভাবিক দামে জিনিসপএ কিনার সুযোগ না দিয়া, গলা টিপ্পা মাইরা লা । তরা ব্যবসায়ী না, তরা হলি বিশ্ব বাটপার। তুদের বিচার আল্লাহ করব।",
"অসম্পূর্ণ রিপোর্ট। মুল ঘটনাই জানতে পারি নি। নিশ্চয়ই তিনি ধর্ম অবমাননাকর কিছু বলেছেন, বেশি পন্ডিতি জাহির করতে গিয়ে, যেমনটি আমাদের দেশের কিছু মাথামোটা বুদ্ধিজীবী (জাফরইকবাল টাইপ) সব সময় করে থাকেন।",অসম্পূর্ণ রিপোর্ট—মূল ঘটনা কিছুই জানলাম না। নিশ্চয়ই উনি ধর্ম অবমাননাকর কিছু কইছে—বেশি পণ্ডিতি দেখাইতে গিয়া—যেমন আমাদের দেশের কিছু মাথাভারি বুদ্ধিজীবী (জাফর ইকবাল টাইপ) করে।,
অসম্ভব ভাল ছবি,অসম্ভব ভালা ছবি,Very good picture
অসম্ভব ভালো লিখেছেন,অসম্ভব ভালা লিখসেন,Very well written
অসম্ভব সুন্দর,অসম্ভব সুন্দর।,
অসহায় বোধ করছি,অসহাই বোধ করতাসি,
অসহায়ত্ব কাকে বলে?!বাংলাদেশের বুকে সংখ্যা লঘুরাই এর প্রকৃত উদাহরন।,অসহায়ত্ব কারে কয়?! বাংলাদেশের বুকে সংখ্যা লঘুরাই এর প্রকৃত উদাহরণ,
অসাধারণ একটি বই পড়েছি,অসাধারণ একটা বই পড়সি,I read a wonderful book
অসাধারণ করে লিখেছেন,অসাধারণ কইরা লেখসেন,Wonderfully written
"অসাধারণ জোকস ছিলো
প্রচুর হেসেছি এই নিউজ দেখার পর",অসাধারণ জোকস আছিন প্রচুর হাসছি এই নিউজ দেহার পর,
অসাধারণ! প্রসংশা করার ভাষা হারিয়ে ফেলেছি।,অসাধারণ! প্রসংশা করার ভাষা হারাইয়া গেছি।,
অসাধারন আল্লাহ আপনাদের সহায় হোন,"অসাধারণ, আল্লাহ আপনাদের সহায় হোন।",
অসুখে তিনি কয়েক বছর ভুগেছিলেন,অসুখে হেয় কয়েক বছর ভুগসিলেন,He suffered from illness for several years
অসুস্থ বাংলাদেশের প্রমান এই কমেন্টগুলো,অসুস্থ বাংলাদেশের প্রমান এই কমেন্টডি,
অসুস্থ হয়ে পড়েছিলাম,অসুস্থ হইয়া পড়সিলাম,
অস্থির লেভেলের চাপাবাজি,অস্থির লেভেলের চাপাবাজি,
অস্থির! ডিএমপি কমিশনার মনে হয় বেনজির পরবর্তী আইজিপি।,অস্থির! ডিএমপি কমিশনার মনে হয় বেনজির পরবর্তী আইজিপি।,
"এখন কেউ যদি বলে দেশ চালায় শেখ হাসিনা আর ক্ষমতা বেগম খালেদা জিয়ার হাতে, তাহলে এটা হবে পাগলের প্রলব।",অহন কেউ যদি কয় দেশ চালায় শেখ হাসিনা আর ক্ষমতা বেগম খালেদা জিয়ার হাতেতাহলে এটা হবে পাগলের প্রলব।,
এখন থেকে তৈল বাদে তরকারি খাওয়া লাগবে।,অহন থাইক্কা তৈল বাদে তরকারি খাওন লাগব,
এখন ফুলের জাতি কোথায় এখন গুলি করে না এখন তো শিপন নাই শিবির থাকেনা গুলি করত,অহন ফুলের জাতি কোইনো অহন গুলি করে না অহন তো শিপন নাই শিবির থাহেনা গুলি করত,
অাগে বলতো পেঁয়াজ ছাড়া রান্না হয় এখন কি তৈল ছাড়া রান্না কি হবে,অাগে কইতো  পেঁয়াজ ছাড়া রান্না হয় এহন কি তৈল ছাড়া রান্না কি হবে,
অাপনি মনে হয় বহুত শিক্ষত?,অাম্নে মনে অয় বহুত শিক্ষত?,
অাহারে বড্ড ভালা মানুষ খুবই সীমিত লাভ করে,অাহারে বড্ড ভালা মানুষ খুবই সীমিত লাভ করে,
হামদুলিল্লাহ উদ্যোগ নেওয়ার জন্য আল্লাহর কাছে দোয়া কর,"আ লহামদুলিল্লাহ, এই উদ্যোগ নেওয়ার লাইগ্যা আল্লাহর কাছে দোয়া করি।",
"আ'লীগ ইচ্ছে করেই এই ঘটনা গুলো করে, বিএনপির নামে মামলা দেওয়ার জন্য","আ'লীগ ইচ্ছা কইরাই এইতা ঘটনা-ডি করে , বিএনপির নামে মামলা দিউনের লাইগ্গা।",
আজ অনেক দিন হয় গেল অথচ মামুল হকের জামিন হয়নি কিন্তু রিদয় মন্ডলের জামিন ঠিকয় হয়েগেল,আইজ অনেক দিন হয়া গেল অথচ মামুল হকের জামিন কইছেনা কিন্তু রিদয় মন্ডলের জামিন ঠিকয় অইয়াগেল,
