Chittagong,Noakhali,Sylhet,Mymenshingh,Target,anger,contempt,disgust,enjoyment,fear,sadness,surprise
পুলিশর তদন্তর কমিটি ইয়ান বুঝাই দিল দে রানা প্লাজা বিএনপির ঠেঁলার চোড়ে ফরি গেইয়ই,পুলিশের তদন্তে কমিটি এটা বুঝার যে রানা প্লাজা বিএনপির ঠেলার লগে হড়ি গেছে,পুলিশের তদন্তে কমিটি ইডা অই বুজাইছে যে রানা প্লাজা বিএনপির ডেক্কায় পরছে।,পুলিশের তদন্তে কমিটি এডা বুঝাইয়া দিসুইন যে রানা প্লাজা বিএনপির ধাক্কায় পইরা গেছে,Political,0,1,0,0,0,0,0
ইয়ান নতুন হঁতা নয়। স্লোগান দিলো জয় বাংলা মামলা অইয়েদে নিরিহ মাইনষর নামে।,এটা কি নতুন কতা নি যে স্লোগান দের জয় বাংলা কিন্তু মামলা দিচে কিছু না করইন্না মাইনষের নামে,ইডা নতুন কথা না স্লোগান দিল জয় বাংলা মামলা অইল নিরীহ লোকের নামে।,এডা নতুন কতা না স্লোগান দিলো জয় বাংলা মামলা অইল নিরিহ মাইনসের নামে,Political,0,1,0,0,0,0,0
"শেষে ফঁঅন গেলো আসামীরে, তইলে তো আর হনো হতা নাই, এহন বিচার গইত্তেও সুবিধা অইবো, আসল ঘটনা আর তোঁইয়া ন ফরিবো।","আসামি হান গেছে , তাইলে আর কোনো কতা নাই, অনগা বিচার কইত্তে সুবিদা অইবো, আসল গডনা কিয়া টোগান লাইগদো নো","সবতার শেষে আসামী পাওয়া গেছে।তাইলে ত আর কোন কথাই নাই,এখন বিচার করতে ও সুবিধা অইব,আসল ঘঠনা আর খুজতে অইব না।","অবশেষে পাওয়া গেল আসামী, তাইলে ত আর কুনু কতাই নাই, এহন বিচার করতেও সুবিধা অইব, আসল গডনা আর খুজার দরকার হইবনা",Political,1,1,0,0,0,0,0
আঁই ন বুঝিলাম এডে জিয়াউর রহমানর নাম ক্যানে বাদ ফইল্লো,অ্যাঁর মাতাত দরে না ইয়ানে জিয়াউর রহমানের নাম বাদ গেছে কেন্নে,আমি বুজতাম পারতাছিনা ইখানও জিয়াউর রহমানের নাম বাদ পড়ল কিলা।,আমি বুঝলাম না এইনে জিয়াউর রহমানের নাম বাদ পড়লো ক্যামনে,Political,0,1,0,0,0,0,0
এহতাল্লাই আঁই বাংলাদেশরে ফছন্দ গরিদে।,এটার লাই বাংলাদেশরে অ্যাঁর এতো হচন্দ,ঔটার লাগি অই আমি বাংলাদেশ পছন্দ করি,এইলাইগাই আমি বাংলাদেশরে পছন্দ করি।,Neutral,0,1,0,0,0,0,0
শাঁক দিয়েরে মাছ ঢাহা অই গেইয়ই। গায়েবি মামলা শুরু গরি দিইয়ে,হাগ দি মাচ ডাকোন ওই গেচে। মানি গাইবি মামলা শুরু ওই গেচে,"শাক দিয়া মাছ ডাকা অইয়া গেছে, মানে গায়েবি মামলা শুরু।",শাক দিয়া মাছ ঢাকন অইয়া গেছে। মানে গায়েবি মামলা শুরু,Political,0,1,0,0,0,0,0
এই দেশর পুলিশে হনোদিন যৌক্তিক কিছু ন গরিবো?,এ দ্যাশের ফুলিস কোনোদিনও যৌক্তিক কিছু কি কইত্ত নো?,এই দেশওর পুলিশ কি কোন দিন যৌক্তিক কাম করত না,এই দেশের পুলিশ কি কুনুদিন যৌক্তিক কিছু করতো না?,Political,0,0,1,0,0,0,0
ইয়ান ই ফমাণ গরে বিচার আচারর উয়দ্দি বেজ্ঞুনর এতো অবিশ্বাস ক্যায়া,এডাই ফমান যে কিল্লাই বিচারের উঁচে ভরসা কা,"ঔটাই প্রমান, বিচার ব্যবস্থার উপরে অনাস্থা কেনে।",এডাই প্রমাণ বিচার ব্যবস্থার প্রতি অনাস্থা কে।,Political,0,0,1,0,0,0,0
ঠাঁডার চোডে কেউ মইল্লেও হইবোদে বিএনপি দায়ী। হ দিন বাদে এন্ডিক্কা নিউজ ও হুনা যাইবো। ঠেকাত ফেলাইবার ও এক্কান সীমা থাকে তো।,ঠাডা হরি কেও মইল্লেও বিএনপির দোষ। কদিন হরে এইক্কা নিউজও হুইনবা। হয়রানি কইরবার এক্কানা সীমা থায়,ঠাডায় কেও মরলেও বিএনপির দুষ।কয়দিন পরে এমন নিউজ ও শুনা জাইব। হয়রানির একটা সীমা থাকন দরকার।,বজ্রপাতে কেউ মইরা গেলেও বিএনপির দূষ। কয়েকদিন পরে এরুম নিউজ ও শুনা যাইববো। হয়রানীর একটা সীমা থাহে।,Political,1,1,0,0,0,0,0
ইন তো ফুরাইন্না হবর। নতুন কিছু হঁন এনা,এটা তো হুরান খবর। নতুন কিছু কন,ঔটা ত পুরান খবর। নতুন কুনতা কও,"এডা তো পুরান খবর,,, নতুন কিছু কইন",Neutral,0,1,0,0,0,0,0
জিয়াউর রহমানরেও আসামী গরিফ ফাইত্তো। কিছু অউক নঅউক বাদীর পদোন্নতি হামাক্কা অইতো,জিয়াউর রহমানরেও আসামি কইত্তো হাইত্তো। কিচু ওক না ওক বাদীর ফমোশান ওইতো,জিয়াউর রহমান রে ও আসামী করন জাইত। কিছু হওক বা না হওক বাদীর পদন্নোতি অইতই অইত,জিয়াউর রহমান‌রে ও আসামী করুন যাইতো। কিছু হউক বা না হউক বাদীর প‌দোন্ন‌তি নি‌শ্চিত।,Political,0,1,0,0,0,0,0
"আইজো যারা বাঁদ্দি ঘুরের, ইতারারে ভিতরে লইবার সুযোগ অইয়ে",অনো যেগুন বারে গুরের হিগুনরেও বিত্রে নিবার সুযোগ আইচে,অখনও যারা বাইরে ঘুরতাছে তারারে ভিতরে নিবার সুযোগ আইছে,"এহনও যারা বাইরেরে ঘুরাঘুরি করতাছে,,হেগরে ভিত্রে নেওনের সুযোগ এইছে।",Neutral,0,1,0,0,0,0,0
"যাক, আঁরা দিন রোজা রাখিবার পর এন্ডিক্কা এক্কান নিউজ দেখিয়েরে গাঁত এক্কান ভাব আইসসে।",বাবুরে হারাদিন রোজা রাইখবার ফরে এইক্কা এক্কান নিউজ দেই শইল্লে বাব চলি আইছে,যাওক সারাদিন রুজা রাখবার পরে এইরকম একটা নিউজ দেইক্কা শরীরে একটা ভাব আইছে,যাক সারাদিন রোজা রাহার পর এরুম একটা নিউজ দেইক্ষা শইল্লে একটা ভাব আইছে,Neutral,0,1,0,0,0,0,0
চাইরো মিক্কা উঁদা মজার মজার হঁবর। হাঁসানি আর ন থামে।,"চাইরোমুই খালি মজার মজার খবর, আঁসি থামের না","চাইরধারে মজার মজার সংবাদ, হাসি অই থামে না","চারিদিকে খালি মজার মজার খবর, হাসি আর থামে না।",Neutral,0,1,0,0,0,0,0
পুলিশ ভাই অক্কলর টেঁয়া হাঁমাইবার নতুন পথ আইসসে।,ফুলিশে গো নোয়া হত তৈয়ার ওইছে,পুলিশ ভাইরার নতুন রুজির পথ তৈরি অইল,পুলিশ ভাইগর নতুন কামানির পত বাইর হইল,Political,0,1,0,0,0,0,0
"তইলে অপরাধী ইতারার দলর, বাংলাদেশর মাইনষরে আঁর হত বেকুব বানাইবো?","মানি অফরাদি হেতাগো দলের , বাংলাদেশের মাইনষেরে কতো বেকুব বানাইবা","এর মানে অপরাধী তাইনওর দলের, বাংলাদেশওর মানুষরে আর কত বেক্কল বানাইবে","এরমানে অপরাধি হেরার দলের,, বাংলাদেশের মানুষরে আর কত বেক্কল বানাইবো?",Political,0,0,1,0,0,0,0
বিচারভালা মতোন নঁঅর। এক নম্বর আসামী গরুক তারেক জিয়ারে। ও ই ফঁইলা দলা মাইরগে।,বিচার ঠিক করি ওর না । এক লম্বর আসামী করন ওক তারেক়জিয়া রে। হেতেই বেকের আগে ইট মাইচ্ছিলো,"বিচার সঠিক অইতাচে না, একনম্বর আসামী করা অওক তারেক জিয়ারে, তাইন অই পয়লা ইট পাটকেল মারছে","বিচার সঠিক হইতাছে না, এক নাম্বার আসামি করা অউক তারেক জিয়ারে। হেইলাই পইলা ইট পাটকেল মারছে",Political,0,1,0,0,0,0,0
তইলে এবার আঁরা নিরপেক্ষ বিচার চাইত ফাইরগম। আর ইয়ান খুব সঁরে অইবো।,তাইলে এবার আমরা নিরপেক্ষ বিচান দেমু। আর এডা মেলা তাত্তাড়ি ওইবো,তাইলে এইবার আমরা নিরপেক্ষ বিচার দেখতাম পারমু। আর ইডা খুব চালায়,তাইলে এইবার আমরা নিরপেক্ষ বিচার দেখবার পাইয়াম।আর এডা মেলা তাত্তারি হইবো ।,Political,0,1,0,0,0,0,0
"কিয়র অঙে কি, পানি ভাতত ঘি","কিয়ের বিত্তে কি, হানি বাতে গি",কিতার সাথে কিতা পানির ভাতও ঘি,কিয়ের লগে কি পান্তা ভাতে ঘি,Neutral,0,1,0,0,0,0,0
"বাহ আঁলাআইন বাহ, কি কাহিনী দেহাইলো",বাহ হালারা বাহ কিয়া নাটক দেখাইলো,বাহ হালারা বাহ কি সিন দেখাইছে।,বাহ হালারা বাহ কিয়া সিন দেহাইলো,Neutral,0,1,0,0,0,0,0
"বিচার মানি। তালগাছ ইবা আঁর, শেষে এই অইলদে অবস্থা।",বিচার মানুম কিন্তু তালগাছগা অ্যাঁর। লাষ্টে এই অইলো অবস্তা,বিচার মানি তালগাছ আমার। দিনশেষও ঔ অইল অবস্থা।,বিচার মানি তালগাছ আমার। দিন শেষে এই হইলো অবস্থা।,Political,1,0,0,0,0,0,0
আওয়ামী পুলিশ বিএনপিরে দিনকে দিন আরো জনপ্রিয় গরি দিইয়ে।,আওয়ামী পুলিশ বিএনফিরে দিন দিন আরো জনফিও করি তুইলছে,আওয়ামী পুলিশ বিএনপিরে দিন দিন আরও জনপ্রিয় কইরা তুলতাছে,আওয়ামী পুলিশ বিএনপিরে দিন দিন আরো জনপ্রিয় কইরালাইতাছে। ,Political,0,1,0,0,0,0,0
আওয়ামীলীগর হেলমেট বাহিনী উজ্ঞা মানুষ ফিঁড়ি মারি ফেলাইলো আর মামলা অইলো দে হাঁর নামে,আওয়াামী লীগের হেলমেট বাইনি অজ্ঞা মানুষ মারি হালাইলো আর মামলা অইছে কার নামে...,আওয়ামী লীগ ওর হেলমেট বাহিনী একটা মানুষরে পিডাইয়া মাইরালাইছে আর মামলা অইছে কার নামে,আওয়ামী লীগের হেলমেট বাহিনী একটা মানুষ পিডাইয়া মাইরা লাইলো আর মামলা হইলো কার নামে....,Political,1,0,1,0,0,0,0
"আর হঁতো গরিবি তোরা গর, একদিন দেহা অইবো অনে……… ইনশাআল্লাহ",আর কত্ত কইরবি তোরা কর একদিন দেয়া অইব...ইনশাআল্লাহ,"আর কত করবে কর তরা, একদিন দেখা অইব,,,,,,ইনশাআল্লাহ","আর কত করবি তরা কর এক দিন দেহা অইবো ,,,,,,,...... ইনশাআল্লাহ",Neutral,1,0,1,0,0,0,0
"হাঁক দিয়েরে মাছ ঢাঁইবার চেষ্টা গরেদ্দে। যাই অইবো অউক, উদা বিএনপি নাকি দায়ী?",হাগ দি মাচ ডাকোনের চ্যাষ্টা করোন ওর!! যিয়ানএ অক হুদা বিএনফি হেটার লাই দায়ী?,"শাক দিয়া মাছ ডাকবার চেষ্টা করা অইতাছে, যত যাই ঔক বিএনপি এর লাইগগা দায়ী?","শাক দিয়া মাছ ডাহুনের চেষ্টা করা হইতাছে!!, যতযাই হোক খালি বিএনপি এর লাইগগা দায়ি?",Political,1,1,1,0,0,0,0
বিএনপি তইলে বাঁচি আছে ? ঠাঁইরগি দে ছাত্রলীগ মাইরফিট গরের বুলি,বিএনফি তাইলে বাচি রইছে??? মনে কইচ্ছি চাত্রলীগ হিডাহিডি লাইগছে,বিএনপি তাইলে বাইচ্ছা আছে।ভাবছিলাম আওয়ামী লীগ মারামারি করছে।,"বি এন পি তাইলে বাইচ্চা আছে ? ভাবছিলা
ছাত্রলীগ মারামারি করছে।",Political,0,1,0,0,0,0,0
দেশত ন বলে দঁরো হনো বিরোধী দল নাই? তইলে এহন বিএনপির নাম হডেত্তুন আইলো?,দ্যাশে বলে হ্যাডমআলা বিরোদী দল নাই? তাইলে বিএনফি ন্যাতার নাম আইছে কতুন????,দেশও কিতা শক্তিশালী বিরোধী দল নাই?তাইলে ওখন বিএনপি নেতার নাম আইল কই থাইক্কা?,দেশে না-কি শক্তিশালী বিরোধী দল নাই?  তাইলে এহন বিএনপি নেতার নাম আইলো কেম্নেএ ?,Political,0,1,0,0,0,0,0
"কি আর হইতাম? ফ্যাসিস্ট হাসিনা সরকাররে যেনগরি ফাঁরি এনগরি সরা ফরিবো, ইনশাআল্লাহ",কিয়া আর কইতাম!! ফ্যাসিস্ট হাসিনা সরকার রে যেম্নেই অক সরাইতো অইবো,কিতা আর কইতাম!! ফ্যাসিস্ট হাসিনা সরকার রে যেকোন মূল্যেই হঠানি লাগব।ইনশাআল্লাহ!,"কি আর কইতাম!! ফ্যাসিস্ট হাসিনা সরকারকরে যেকোন মূল্যে সরানি লাগব, ইনশাআল্লাহ",Political,1,0,1,0,0,0,0
এতন দেরি ক্যাঁয়া অইলো?,এত দেরি ওইছে কা?,অত দেরি অইল কেনে?,অত দেরি হইলো কে?,Neutral,0,1,0,0,0,0,0
আঁই মনে মনে হইদ্দি হাসান মাহমুদ হইবো কিন্তু ফুলিশ যে হইবো ইয়ান আঁই মোটেও ন ভাবি,অ্যাঁই তো মনে কইচ্ছি হাসান মাহমুদ কইবো কিন্তু ফুলিশের যেন কইবো হেডা হুনার লাই রেডি আছিলাম না,আমি মনে মনে ভাবতাছি হাসান মাহমুদ কইব কিন্তু পুলিশ কইব ঔটা হুনার লাইগগা আমি মোটেও প্রস্তুত আসলাম না,আমি মনে মনে ভাবতাছি হাসান মাহমুদ কইবো কিন্তু পুলিশ কইবো যে এডা শুনার লাইগ্গা আমি মোটেও প্রস্তুত আছিলাম না। ,Political,0,0,0,0,0,0,1
"বাহ, মন্ত্রী হঁঅইয়ে আর সৈন্যঅল অই তালত আগাই যার",বাহ মন্ত্রী কইছে আর সৈন্যরা হেটার লাইন করি আগাই যার,বাহ! মন্ত্রী কইল আর সৈন্যরা অই তালে আজ্ঞাইয়া যাইতাছে।,"বাহ, মন্ত্রী কইলো আর সৈন্যরা হেই তালে আগ্গাইয়া যাইতাছে",Political,0,1,0,0,0,0,0
ও… ফুলিশ তইলে বিএনপি নেতা হঁন আছে ইয়ান আগে তোয়াই বাইর গইত্তো ঘটনাস্থলত দেরিত গেইয়েদে। নইলে আবার মামলা আসামী হারে গরিবো?,ও আইচ্ছা...ফুলিশ তাইলে বিএনফি ন্যাতা কে আচে হেটা আগে দি টোগাই বার কইরবার লাই গটনা গইচে যিয়ানে হিয়ানে গেচিলো...ন তো মামলাত আসামী বানাইবো কারে,"ও,,, পুলিশ তাইলে বিএনপি নেতা কেডা আছে ঔটা আগে খুজে বের করবার লাগি ঘটনাস্থলে আগে গেছিলো। ইডা না অইলে মামলার আসামী আবার কেডারে করবে","ও,,,,,পুলিশ তাইলে বি এন পি নেতা যে আছে হেইডা আগে খুইজ্জা বাইর করতেই ঘটনাস্থলে দেরিতে গেছিন । তা নাঅইলে মামলার আসামী আবার কারে করব",Political,0,1,1,0,0,0,0
"গোয়েন্দাঅলর তথ্য বেশি হঁরা। বদ্দারে, এক মাঘত কি শীত যাগই না?",গোয়েন্দাগো তইথ্য মেলা শক্তিশালী। বাইরে এক্কো মাগ মাসে কি শীত যা নি রে বাফু,গোয়েন্দার তথ্য খুভ শক্তিশালী। এক মাঘে কি আর শীত যায় রে বাপ,গোয়েন্দা তথ্য মেলা শক্তিশালী। ভাইরে এক মাঘে কি শীত যায় রে বাপ্পু।,Political,0,1,0,0,0,0,0
ফুঁরাইন্না অইভ্যাস কি এনে ভুলি যাইতগই ফাঁরে?,হুরান খাইচ্ছত কি আর বুলোন যা নি?,পুরানা অভ্যাস কিতা আর ভুলা যায় নি,পুরানা অভ্যাস কি ভুলন যায়?,Neutral,0,1,0,0,0,0,0
