Sentence,English Translation, Labels
সবাই ঠিকঠাক শোনো,"Everyone, listen carefully.",Narail
তুমি কি এমন কিছু হোনছো যা উদ্ভট,Have you heard anything strange?,Barisal
তোমার পড়ার জায়গা পরিষ্কার করো,Clean your study area.,Narail
শফিক স্যার মোরে এটা পড়তে বলেছে,Shafiq sir asked me to read this.,Narail
এটটুহানি ঘুমাইয়া লও,Sleep a little.,Barisal
তুই সত্যিই অনুপ্রেরণাদায়ক,You are truly inspiring.,Rangpur
আইজগো কি দিন হ্যাকি জানো,Do you know what day it is today?,Barisal
আল্লার ওয়াস্তে চোপাডা বন্ধ রাখ,Please don't talk too much.,Barisal
ব্যাডাডা মোরে দুই চোহে দ্যাখতে হারে না,The man cannot see me with both eyes,Barisal
একটু মোরে শোনেন,Listen to me for a bit.,Narail
মুই রোংপুইর্রা ভাষা জানি না,I don't know the language of Rangpur,Barisal
এলা ফির নতুন করি অংপুরিয়া ভাষা শেকপেন নাকি,Are you going to learn the Rangpur language again?,Rangpur
হে এহন কি হরতে আছে,What is he doing now?,Barisal
তুমি কি নতুন কিছু শিখতি চাও,Do you want to learn something new?,Narail
এটে বইস,Sit here.,Rangpur
তুই কি চা পচন্দ করিশ,Do you like tea?,Rangpur
মুই তোমার বন্ধু হইতে চাই,i want to be your friend,Barisal
হ মুই মাছ পছন্দ করোম,"Yes, I like fish.",Rangpur
মোরে লইয়া লয়েন,Take me with you.,Barisal
কাইলক কি পরবাস যাওয়ার,Are you going abroad tomorrow?,Rangpur
কিছু লোক দেখি ক্ষেতে যাচেছ,I saw some people going to the fields.,Narail
দয়া করে একটু মনোযোগ দাও,Please pay attention.,Narail
তোমার ঘরে কি গাড়ি আছে নাকি,Do you have a car at home?,Rangpur
হায় এডা কি হরলাম,Alas! What did it do!,Barisal
দয়া করি একনা সাহাইজ্জ করেন,Please help me.,Rangpur
তোমার চিন্তাচেতনা সেই,Your thinking is amazing.,Barisal
পরকাল নিয়ে ভাবছিলাম,I was thinking about the afterlife.,Narail
তুই কি নতুন কিচু চেষ্টা করবের চাইশ,Do you want to try something new?,Rangpur
এলা কি তোর কোনো হিল্লে হইছে,Has anything happened to you?,Rangpur
তোরা আছ একটু বয়,You are a bit grown up now.,Khulna
বাইরে বাতাসডা বইতাছে দরজা বন্ধ কর,"The wind is blowing outside, close the door.",Khulna
হাট থাকি ত্যাল মইচ ওসুন পিয়াইচ আনেন,"Get oil, chili, garlic, onion from the market.",Rangpur
মুই ফিররা আইলাম,I came back.,Barisal
ইস্যারে দেখলে হৈরানি লাগে,Seeing today is surprising!,Rangpur
তুমি আ্যাকছের যত্নবান মানু,You are a very caring person.,Barisal
আম্মের সহায়তা লাগবে,You need help.,Barisal
এই তথ্যভাণ্ডার আমাকে অবাক করে,This database amazes me.,Narail
ফুলের মালা দেলে দামি দেইক্কা ফুলের মালা দিমু,"Even if I give flower garland, I will give expensive flower garland",Barisal
ওয় প্রতিদিন সকালে করি হাঁটে,He walks every morning.,Rangpur
তুমি কি বিশেষ কিছু ভাবতিছো,Are you thinking about something special?,Narail
তমার উপদেশ হামার জন্য মূল্যবান,Your advice is valuable to me.,Rangpur
কেমনে কাম করতাম,How did I work?,Barisal
তুমি কি খেলতি চাও,Do you want to play?,Khulna
তোমরা কি ছবি দেখতে পছন্দ করেন,Do you like looking at pictures?,Rangpur
আজি মেলা কাজ আছে,there are lots of work today,Rangpur
হাগে মাই তুই কেমন আছিস,how are you?,Rangpur
তোমার কতা হগল সোমায় সয়ত্য,Your words are always true.,Barisal
চন্দ্রবিমান ছিল ভারতের,.The moon mission was India's.,Narail
জানডা ঘরে রাইখখ্যা,Keep the things in the room.,Barisal
মুই এই প্রস্তাবটা গ্রহন করির চাং,I am willing to accept this proposal.,Rangpur
একদিন শুনছিলাম,One day I heard.,Khulna
আহ শান্তি,Ah! Peace!,Rangpur
সবুর করেক সময় পাল্টি যাবে,"Be patient, time will change.",Rangpur
আমার শৈশবের স্মৃতি এর সাথে জড়িত মানুষগুলোর কথাও মনে পড়ে গেল,I also remembered the people involved in my childhood memories.,Narail
সে মেলা ভালো কথা কয়,He speaks very nicely.,Narail
মোগো বাড়ি বড়,Our house is big.,Barisal
তোরে আর বিশ্বাস করা যায় না,I can’t trust you anymore!,Khulna
তোমার কতা হগল সোমায় মজায়,Your words are always funny.,Barisal
মোরে আম্মের মতামত জানাইয়েন,Let me know your opinion.,Barisal
তুই কি ঘুরবের যাবার,Are you planning to go on a trip?,Rangpur
তো এইহানে কোন কামের জন্য আইছো,"So, what work have you come here for?",Narail
এহনো ঘরডা ঝাড়ু দিস নাই,You still haven’t swept the house?,Khulna
আলু ভাতে দিয়ে মাখাও আর খাও,Mix the potato with rice and eat.,Khulna
তোর জন্য অপেক্ষা করিবার লাগছোং,Waiting for you.,Rangpur
তোকে দেখলে কলিজায় শান্তি আসে,Seeing you brings peace to my heart.,Narail
আল্লাহ যে তোর কপালোত ক্যানে এইল্লা দিল,why Allah have given this fate to you.,Rangpur
তুই কোনো সুমাই ঠিক কুরি কুথা বলিস না,You never say the right thing.,Khulna
তুই খুব দায়িত্ব নিয়ে কাজ করিস,You work very responsibly.,Rangpur
তোরে খুঁজতে গেছিলাম কই আছিলি,"I looked for you, where were you?",Khulna
তুমি কি এই বিষয়ে আরো জানো,Do you know more about this topic?,Narail
এহন খেলতে যাইবি নাকি পড়তে বইবি,Will you play now or read a book?,Khulna
এটা সম্ভব নোমায়,This is not possible.,Rangpur
ওয় সোকসময় দেরী করি আইসে,He always comes late.,Rangpur
এমনকরে তাদের পাঁচটি শহর শেষ হয়ে যায়,Thus their five cities came to an end.,Narail
গান উপভোগ করেছিলাম,I enjoyed the song.,Narail
এইডা কয়বার কইলাম,How many times have I told you this?,Khulna
তোর উৎসাহ সোগসমায় কাজত নাগে,Your encouragement is always helpful.,Rangpur
টপ করি আয়,Come quickly.,Rangpur
তুই কি জানিস আজ্গে কি দিন,Do you know what day it is today?,Khulna
মোরে আপনার মতামত জানায়েন,Tell me your opinion.,Narail
কি বিসাল,How big!,Khulna
আপনার উপদেশ মোর জন্য মূল্যবান,Your advice is valuable to me.,Narail
আমাদের গরু আইজকে ঘাস খাচেছ না,Our cows didn’t graze today.,Narail
তুমি এক ঘন্টা জেগে থাকো,You stay awake for an hour.,Narail
ইরতাজউদ্দিনের জন্মের পর আরহো পাঁচ ভাইবোনের পরের জন শাহেদ,"After the birth of Irtajuddin, Arho was the next of five siblings to be martyred.",Narail
কলিজা বাঁচি দেও,Choose the liver.,Rangpur
আওয়ার কালে কিছু লইয়া আইয়ো,Bring something when you arrive.,Barisal
তুমি কি প্রায়ই জিমে যাও,Do you often go to the gym?,Narail
তোমরা হগলডি এত্তো কতা হেকলা কোম্মেইদ্দা,Where did you all learn so much from?,Barisal
আমি সবসময় প্রকৃতই একজন ভাল শিশু ছিলাম বেশ দায়িত্ববানও,"I was always a really good kid, pretty responsible too.",Narail
হামরা একসাথে কাম করি,We work together.,Rangpur
দয়াকুরি ফোনডা দিদেন,Please give me the phone.,Khulna
তুমি অন্যর লইগ্গা সর্বদা সহায়ক,You are always helpful to others.,Barisal
তুমি কি কহোনো বিদেশে যাওয়ার কতা ভাবঝো,Have you ever planned to go abroad?,Barisal
এইহানে ভালোভাবে দাঁড়াও,Stand properly here.,Narail
গতরে বাতাস লেগে খুব আরাম লাগছে,The wind is blowing and it feels very comfortable.,Narail
এখন কাম শুরু করো,Start working now.,Narail
মোর গাড়িডা গতকাইল চুরি হইয়া গেছে,My car got stolen yesterday,Barisal
তুই এত সকাল সকাল উঠস ক্যারে,Why did you wake up so early?,Khulna
গরু বাইন্দা রাখছস কই,Where are you tying the cow?,Khulna
রুমা মোরে তার কাছে বসতে বলল,Ruma asked More to sit near her.,Narail
গরু ছিড়ি ধান খাইছে,The cow is eating rice.,Rangpur
মুই বার্তে তুই কোম্মে,"I'm at home, where are you?",Barisal
বৌদির হাতের পিঠা মজার,Sister-in-law’s rice cakes are tasty!,Rangpur
হে হগল সোমায় হাসিমোহে থাহে,He is always smiling.,Barisal
কি সোন্দর দৃশ্য,What a wonderful view!,Rangpur
যাবার আগে কইয়া যেয়ো,"Before you go, say something.",Narail
হেডা ভুলি যাও,Don’t forget this.,Khulna
কি দারুণ ব্যাপার,What a great thing!,Narail
তাড়াতাড়ি গোছায় নেও,Get ready quickly.,Khulna
জানালাটা খুলো,Open the window.,Narail
অফিসে কহোনো দেরি হইর্রো না,Never be late for office.,Barisal
আল্লাহ তোর ভাল করিবে,May Allah make things good for you.,Rangpur
মোরে আবার বাদ দিল কেন,Why did they drop me out again!,Narail
জানলা খোলো,Open the window.,Narail
তুমি কি হাঁতরাইতে পারো,can you swim,Barisal
এমতোন করি করিস না,Don’t do like this.,Rangpur
তুই কি কোনো নতুন প্রকল্পে কাজ করতি,Are you working on any new project?,Khulna
দেশের বর্তমান অবস্থা মেলা খারাপ,The current situation in the country is quite bad.,Narail
বাহ এই তো জীবন,Wow! This is life!,Narail
আজকে যেন আমার মনটা ভালো না,"Today, I don’t feel good.",Khulna
ওইতি মেলা হাসিখুশি মাইয়ে,She is very cheerful girl,Narail
মা ভাত নিয়ে আসছে,Mom is bringing rice.,Narail
কি অদ্ভুত মাইনশে,What a strange thing!,Narail
সবাক ডাকাও,Call everyone.,Rangpur
তোর হাতে সময় আছে নাকি,Do you even have time?,Khulna
এটি কোনা হামরা হামরায় তো,"Here we are, we are ourselves.",Rangpur
তুমি কি নুতান কিছু হেকছো,Are you learning something new?,Barisal
এই বইটা পড়ছিস,Have you read this book?,Rangpur
যা করতি কই তাই করো,Do whatever I say.,Khulna
ইস্যারে খাইলে পেটে আগুন লাগব,"If you eat this today, your stomach will burn!",Rangpur
তার জন্যে উপহাত কিনেক,Buy a gift for him.,Rangpur
মনের খুশিতে নাচতে ইচ্ছে কুর্তি,I want to dance with joy.,Khulna
আমি বাংলা বই পড়তি,I read Bangla books.,Khulna
মানষির দূন্যাম করিতে খুব ভাল নাগে,Does a person enjoy doing worldly things?,Rangpur
একটু শান্ত থাহুন,Calm down a little.,Narail
এবার দোইড় দেও,Now start running.,Narail
স্কুলির সয়য় মনে রেখো,Remember the school time.,Khulna
এই খাবারটা অনেক সেই মজাদার,This food is very delicious.,Narail
তোমার দরকার হলি এসিয়ানে,"If you need anything, come.",Khulna
সে সবদিন সকালে হাঁটে,He walks every morning.,Narail
মাচার উপরে বসে,Sit on the roof.,Khulna
আরে এতো তরতরি হরছো,Hey! You did it so fast!,Barisal
হ মোর একটা ভাই আছে,"Yes, I have a brother.",Rangpur
মোক অস্কার দেমেন,Give me an Oscar.,Rangpur
মুই বাংলা বই পড়ি,I read Bengali books.,Barisal
তুই মেলা হাত খোলা মানুষ,You are very generous.,Rangpur
মুই বই পড়বের খুব ভালোবাসোং,I love reading books.,Rangpur
কি হইছে ঝগড়া কির লইগ্গা,"What happened, why the fight?",Barisal
উফ কত্ত গরম,"Oh, it’s so hot!",Khulna
মাঠে কৃষেণেরা কাজ করছে,Farmers are working in the field.,Narail
আপনাকে দেখতে পেয়ে খুশি হলাম,I’m happy to see you.,Narail
তুই কি সাঁতার কাটতি পারিস,Do you know how to swim?,Khulna
তুই কুত্তী গেছিস,"Did you go, dog?",Rangpur
জালনাডা খোলো,Open the window.,Khulna
এইডা কই থেইক্কা আনছস,Where did you bring this from?,Khulna
বাহ তোর গলার স্বর কেরাম সুন্দর,"Wow, your voice is so beautiful!",Khulna
গরম পানি আনেক,Bring some warm water.,Rangpur
তুমি কিভাবে এত দ্রুত তাড়াতাড়ি পড়তে পারো,How can you read so fast?,Narail
কোনটি থাকি আইনেন,where did you come from,Rangpur
বাইরডা এক্কেরে গরম হইয়া গেছে,It’s very hot outside.,Khulna
মুলা আলু বাইগোন দিয়া নাবরা আন্দিছে,"They are making dishes with radish, potato, and eggplant.",Rangpur
মাঝে মাঝে আমার সাথে আপনি এট্টু কথা বলিয়েন,Sometimes talk to me a little.,Khulna
তোক না ডাংগেয়া ভাত খাইম না,I won't eat rice until I kill you.,Rangpur
লালনও গগনের গান গগনের সান্নিধ্য খুব পছন্দ করতেন,Lalon also loved Gagan's songs and his closeness.,Narail
আরে এত সুন্দর জায়গা আগে দেহিনি,Hey! I've never seen such a beautiful place before!,Narail
একনা সাহসী হয়া কাজ করেন,Be a little brave and act.,Rangpur
চাইয়া আছো ক্যা,Why are you with him?,Barisal
তুই কি চা খাবু,Would you like some tea?,Rangpur
এইটা কি সত্যি,Is this true?,Rangpur
তোমরা কি ভাবেন জানাইবেন,What is your opinion?,Rangpur
হামার জন্যে দোয়া করেন সবায় বাহে,Everyone prays for me.,Rangpur
আমনের লগে কথা কইয়া ভালা লাগসে,I like talking to you.,Barisal
পেইজডা উল্ডোও,Turn the page.,Khulna
এটে বইসেক আর অপেক্ষা করেক,Sit here and wait.,Rangpur
ওয় খুউব ভালো ছবি আঁকপের পায়,He draws very well.,Rangpur
কম্ফিউটার বন্দ অরো,Shut down the computer.,Narail
এই খাবারকোনটা ভাল না,This food is not good.,Rangpur
দরকার হলি আমার কাছে শুনিসক্যানে,"If needed, listen to me.",Khulna
তুই কি বাড়ী গেছিস,Have you gone home?,Rangpur
তুমি কি বাইরি বেড়াতি যাও,Do you go out for trips?,Narail
এই ছবিডা কে আঁকছে,Who drew this picture?,Khulna
মজা ফিটনেস জন্য নাচ,Dance for fun fitness,Narail
ওহ এতো মজা,Oh! So much fun!,Narail
তুই কই থাকিস,Where do you live?,Khulna
ভিডিওডা দেখ,Watch the video.,Khulna
নতুন ফোন কিনছিলাম,I was buying a new phone.,Narail
তুই কি কোনো পুরুষ্কার জিতছিশ,Have you won any awards?,Rangpur
বাসায় হগলডি কেমনতারা আছে,How is everyone at home?,Barisal
তুমি কি কোনও নতুন প্রকল্পে কাম করছো,Are you start working in new project,Narail
মোর প্রশ্নের উত্তর দেন,Answer my question.,Barisal
আজকে বার্ষিকী উদযাপন করো,Celebrate the anniversary today.,Narail
এইহানে বসো,Sit here.,Narail
জমি বেঁচে তোর লেখাপড়া করাইলাম,I sold land for your education.,Khulna
রাসেল কি ভাবতাস,"What do you think, Russell?",Narail
হেইডা আমার কাম না,That’s not my work!,Khulna
অয় খুব ভাল মানুষ,He is a good person.,Rangpur
এতো বড় কাম,Such a big deal!,Rangpur
তুমি কি মোর লগে আবা,will you come with me,Barisal
তুমি কি ব্যায়ান্নে কালে উঠে ব্যায়াম করো,Do you exercise early in the morning?,Narail
একাই একাই এই রহম করে লুকায় গিয়ে দাওয়াত খাইতেছেন,"Alone, quietly, they came and ate the invitation meal!",Narail
তুমি সবসময় হাছা কথা কং,I always tell the truth.,Rangpur
দেকা করিস তো বন্দোরোত,Try to meet at the port.,Rangpur
ওহ এতডা সোম্ভাব,Oh! So possible!,Barisal
ইশকুলের সময়সূচি দেক,Check the school schedule.,Rangpur
কলিজা বেইচ্চা দে,Choose the liver,Barisal
তুমি কি এমন কিছু শুনিছো যেইডে অদ্ভুত,Have you heard something strange?,Narail
তোর লগে বেশি কথা কইলেই দেহি সমস্যা,Talking too much with you always causes problems!,Khulna
আরে এতো সুন্দার জায়গা আগে দেহি নাই,Hey! Never seen such a beautiful place before!,Barisal
রুমি ম্যাডাম এটা পায়ছি,"I got this, Madam Roomi.",Narail
তোর মাইয়ারে স্কুলে দিছিলি,Did you send your daughter to school?,Khulna
তুমি দ্যাখতে মাশাল্লাহ,you are very smart,Barisal
না খেলাং মুই,"No, I didn’t play.",Rangpur
তোর লগে ঝগড়া কইরা লাভ নাই,There’s no use in arguing with you!,Khulna
অয় সব সময় ভালো চিন্তা করে,You always think positively.,Rangpur
আমনে এই কলমদা নেন,Take this pen.,Barisal
সে একজন ভালো মানুষ,He’s a good person.,Khulna
সেদিনকা কুকরের নাখান ন্যাদাই খায়া মোরও কমর খ্যান গেছলো ভাংগি তারপরে ডাকতোর আসিয়া পট্টি নাগাছলো,"That day, I got chased by a crazy dog and ended up breaking my back. Then the doctor came and put a bandage on it.",Rangpur
ওফ কতো গরম,Ugh! So hot!,Narail
আপনার স্বযত্ন রুটিন লাইক মন্তব্য করুন,Like and comment on your self-care routine.,Narail
দরহার হইলে মুই হাইট্টা হাইট্টা রোংপুর যামু হেরপরো এই বাসে উঠমু না,"If necessary, I will walk to Rangpur but I will not take this bus.",Barisal
মুই মাফ চাই,I apologize.,Barisal
আমরা আগামীকালকে সমুদ্রে যাচ্ছি,We are going to the sea tomorrow.,Narail
হে মোরে সাহায্য হরছে,He helped me.,Barisal
মুই এটা বুঝে সারাজীবন রংপুরের ভাষায় কথা বলি,"I understand this, so I speak in Rangpuri all my life.",Narail
হ মুই ছবি দেখতে ভালবাসোম,"Yes, I love looking at pictures.",Rangpur
তুই হোমওয়ার্ক কেম্মা করে করলির,How did you do your homework?,Narail
আর্থ সামাজিক শিক্ষা শিক্ষার্থীদের সামগ্রিক সুস্থতা বাড়ায়,Socioeconomic education enhances students' overall well-being,Narail
মোরে কি সেই তথ্যটি পাঠাবেন,Will you send me that information?,Narail
তোর কাছ থেকে মেলা কিছু শিখছোং,I learned a lot from you.,Rangpur
তোমার ব্যক্তিত্বের জোর ব্যামালা,Your personality is very strong.,Barisal
এইরহম করতেয়াছে কির লইগ্গা বইয়া বইয়া,I’m in trouble.,Barisal
সালমান কি জানো এইডা কি,"Salman, do you know what this is?",Narail
আমি চা বানাই দিচ্ছি,I am making tea.,Khulna
তুমার স্মৃতি খুব ভালো,Your memory is very sharp.,Khulna
ঠাটা রৌদ্র পড়ছে আজ,It's sunny today.,Narail
আমি পারুম না এই কাজটা করতে,I can't do this.,Narail
তুই কি ভাল করি খাওয়া দাওয়া করিছিস,Have you eaten properly?,Rangpur
এডা কি সয়ত্য,Is it true?,Barisal
তোমরা কি ফির পরিদর্শন করবেন,Will you visit again?,Rangpur
এতো ধুলো ক্যান,Why so much dust?,Narail
দুইটা কুও পাশ দিয়ে চলে গেলো,Two wells. Passed by.,Narail
মুঁই অংপুরের ছাওয়া,I am a boy from Rangpur.,Rangpur
একটু আগে আইছি,I just arrived.,Khulna
সবার সামনোত তোর বাপ কতল্যা কতা কইচে,"In front of everyone, your dad is saying so many things",Rangpur
এই হগল ভাষায় কতা কমু মোরা,We will speak these languages,Barisal
আইজক্যার ক্লাস কেমন হইল,How was class today?,Rangpur
তোমরা গুলা ফির গেইছেন,You are gone again.,Rangpur
ক্যারিয়ারে আগোয় যাচিছলাম,I'm moving forward in my career.,Narail
হ মুই নরমালি বাইরোত থাকোম,"Yes, normally I stay outside.",Rangpur
ক্যামনে হরলাম,how did i do,Barisal
কি চমৎকার ব্যাপার,What a wonderful thing!,Barisal
মোর লইগ্গা একটু সহানুভূতি দ্যাহান,Have some sympathy for me.,Barisal
তুই কোটে যাইস,Where did you go?,Rangpur
গরুর খাবার ঠিকমতো দিছস,Did you give the cow proper food?,Khulna
মুই আর তর সবার পাংছে না,I can't wait any longer.,Rangpur
তাড়াতাড়ি আইতনে পরিষ্কার করো,Clean the area quickly.,Narail
ঠান্ডা পানি লইয়া আইয়ো,Bring cold water.,Barisal
মোর জন্য কিছু ফল নিয়ে আসবেন,Will you bring me some fruit?,Narail
আমার সাহায্য করলে তোমার সমস্যা আছে নাই,"If you help me, you won’t have any problem.",Khulna
তুই কি বই পরতি পছন্দ করিস,Do you like reading books?,Khulna
মা বলেছে আজ বিরিয়ানি রান্না হবে,Mom said biryani will be cooked today.,Narail
দয়া হইর্রা এউক্কা ভালো বই সুপারিশ হরেন,Please suggest a good book.,Barisal
ব্যাবাকটির সামনে তোর বহে কত্তো গুলা হুনাইছে,How much your father is talking in front of everyone,Barisal
ওমা মোর আগোত ঘুম থাকি উঠি মোর গাও ধোঁয়ার ব্যাবস্থা করিতো,"Oh my! Before I even woke up from sleep, arrangements were being made to bathe me.",Rangpur
মোর কতা বোজোছ তুই,Do you understand what I’m saying?,Barisal
হামার বাড়িতে সাগাই আইছে,A guest is coming to our house.,Rangpur
জ্যা কই হেইয়া মোনে রাইক্কো,Remember what I say.,Barisal
মোর সাথে আয়,Come with me.,Rangpur
ফুল গন্ধ ছড়ালো,The flowers spread their fragrance.,Narail
আহা শায়েন্তি,Ah! Peace!,Barisal
আইতে গাড়ি,Car at night,Rangpur
দয়া হইর্রা এই প্রোজেক্টে সাহায্য হরেন,Please help this project.,Barisal
আচ্ছা এটা কি ঠিক শুনেছি,Did I hear this right?,Khulna
এইডা খুব কষ্টের কাম,This is very hard work!,Khulna
তুমি আ্যাকছের ধৈর্যশীল এউক্কা মানু,You are a very patient person.,Barisal
হাইসপার পারোছোন না,You couldn't laugh.,Rangpur
তুমি কি ছবির পাইন্নে আগ্রহী,Are you interested in pictures?,Barisal
এখন কি কুরতিবে কও,What will you do now? Tell me.,Khulna
আল্লাহ আমায় সবগুলির মাফ করে দে,Allah forgive me for everything.,Khulna
আমাদের ক্ষেতে আজইকে কাজ মেলা,There’s a lot of work in our field today.,Narail
আপনি কেমন আছেন,How are you?,Narail
আড্ডি আসবি নাকি আজকে,Will you come for a chat today?,Rangpur
তুই খুব ভাল মনের,You are really sincere.,Rangpur
এইহানে আহো তো একটু,Come here for a while.,Narail
তোমার ছোডোকাইল্লা সেরা স্মৃতি কোনডা,What is your best childhood memory?,Barisal
নারকোলের পিটা আর চিতেই পিটা বানবার কইসতো,Tell them to make coconut pitha and chitoi pitha.,Rangpur
তোর কি অইল,What's wrong with you?,Narail
দরজাটা বন্ধ করো,Close the door.,Narail
একটু সাবধানী হও,Be a little careful.,Narail
তুমি কও কি করতে হইবে,"You say, what to do?",Barisal
তুমি ক্যামমে এত্তো হওয়ালে পড়ো,How can you read so fast?,Barisal
খুব ভালো লাগছে,It was very nice.,Barisal
এলা অ্যালা কি করা লাগবে ক,Tell me what to do now.,Rangpur
আচ্ছা এইডা কি ঠিক শুনলাম,Okay! Did I hear that right?,Narail
মুই না যাং,I will not go.,Rangpur
মোরে এউক্কা সাহায্য করবেন,They will help me.,Barisal
বইডা কোম্মেইদ্দা আনছো,Who are you getting the book from?,Barisal
চউক কান খোলা রাহিস,be careful,Barisal
মুই রাজুক খেলির কছিনু,I played with Raju.,Rangpur
অয় খুব নরম,He has a very calm personality.,Rangpur
তোমরা ভালই পারেন,You are good at it.,Rangpur
তোমরা কি বিয়ানার নাস্তা কইরবার চান,Do you like having breakfast?,Rangpur
মুই তোমার কথা কং নাই,I am not talking about you.,Rangpur
টাকা জমা করে মোবাইল কিনিছিলাম,I bought a mobile phone by depositing money.,Narail
তোমার কামগুলা আ্যাকছের ভালো হয়,Your works are very beautiful.,Barisal
তোমরা আছেন কেমুন,How are you?,Rangpur
সে এক্কালেই ভেটকাই না,I feel like I don’t even have a place of my own; Imtiaz’s house feels like home to me.,Barisal
ক্যালায়য়ে থাকো,Stay healthy.,Narail
আস্তে কথা ক,Speak slowly.,Rangpur
তুমার কি কোন পুরস্কার জিতিছে,Have you ever won any awards?,Narail
কলেজে অবস্থান করলাম,I stayed in college.,Narail
টেবিলডা পরিষ্কার অরো,Clean the table.,Narail
তুমি কির লইগ্গা তাড়াহুরা হরো তুমি কির পাইন্নে তাড়াহুরা হরো,Why are you in such a hurry?,Barisal
গিন্নি রান্না করতাছে সাহায্য কর,The wife is cooking; help her.,Rangpur
তোর দাদা কোই আছে,Where is your grandfather?,Narail
মন দিয়া শুনেক কি কছে,Listen carefully to what is being said.,Rangpur
তিনি খুব ভালো শিক্ষক,He is a very good teacher.,Khulna
একটু খোলাখুলি বাইলে আলোচনা হরতে পারি,Can we discuss a little openly?,Barisal
আর কবে এইখানে আইবি,When will you come here again?,Narail
সাগাই আসছে,The guest is coming.,Rangpur
আজি একনা দম নেম,Today I have some rest.,Rangpur
আইজ কয় তারিখ,What’s the date today?,Barisal
রনি রানাকে বেড়াইতে যেতে বলল,Roni asked Rana to go for a trip,Narail
কতদিন পর দেখা হইলো,Meeting you after so long!,Khulna
এট্টুসক্যান হাসো,Smile a little.,Khulna
আমার মা মেলা ভালো রান্না করেন,My mother cooks very well.,Narail
এই খাবারডা অনেক সুস্বাদু,This food is very delicious.,Khulna
আমার জন্য কিছুটা সহানুভূতি দেখাও,Show me some sympathy.,Khulna
আমনেরে পাডাইছে,Did someone send you?,Barisal
পোলারে স্কুলে দেইখো যাও,Take the kids to school.,Rangpur
তুমি জীবনে অনেক দূট আউগাইয়্যা যাবা,You will go far in life.,Barisal
কনতে তোগি লেখাগুলো পড়তি,Come and read these writings.,Khulna
দয়া হইর্রা তড়তড়ি আইবেন,Please come soon.,Barisal
মোগো সরম না লাগে,We don't need serum,Barisal
এবার খাবার খাও,Eat now.,Narail
তোমার প্রিয় ছুটি কোনটি,Which is your favorite holiday?,Narail
এইডা খুব দরকারি জিনিস,This is a very useful thing!,Khulna
এডা মোর পছন্দ না,It's not my choice.,Barisal
আপনার কি কিছু লাগবে নাই,Do you need anything?,Khulna
একটু হাইস্সো,smile a little,Barisal
মাথাডা ঠিক আছে তোর,Are you in your senses?,Khulna
দেখি কইবে এটা ফির কোন চ্যাংড়া,"We will see, she will say which child this is.",Rangpur
এখনা জিরবার দেন,Let it rest a little.,Rangpur
কিরে মধু তোর কোনো কাম নাই আজ,"Hey, honey, you don't have any work today.",Narail
মোগো ভাষা মোগো গর্ব,Our language is our pride,Barisal
