Standard_Bangla,dialect_speech,English_translation
"দুই দিনের জন্য পুলিশ বাহিনিকে ছুটি দেওয়া হোক।

মারামারি কত করতে পারে জাতি দেখতে চাই।","""দুই দিনের লাইগগা পুলিশ বাহিনিরে ছুটি দেওয়া হোক। মারামারি কত করবার পারে জাতি দেখতে চাই।""","Let the police force be given leave for two days.

The nation wants to see how much fighting can be done."
"বাঁচলে বড় বড় মানুষ গুলোই বাঁচুক
 আর মরলে গরীব মানুষ গুলোই মরুক,,,,আপনাদের তো কিছু যা আসে না,,,,জুলুম চালানো হচ্চে সাধারণ মানুষের ওপর...","""বাঁচলে বড় বড় মানুষ টি বাঁচুক আর মরলে গরীব মানুষ টি মরুক,,,,আমনেগর তো কিছু যায় আয় না,,,,জুলুম চালানি হইতাছে সাধারণ মাইনসের ওপর...""","Let the big, important people survive, and let the poor people die... You don't care about anything, do you? Oppression is being carried out on ordinary people."
"ভালো মন্দের বিচার না করা , হুজুগে বাঙ্গালী মুসলমান আর কতদিন ভাই?
পরিবার,সমাজ,রাষ্ট্র ধ্বংষ হওযার পর আপনার মস্তিষ্ক কাজ করবে।","""ভালামন্দের বিচার না করা , হুজুগে বাঙ্গালী মুসলমান আর কতদিন ভাই?পরিবার,সমাজ,রাষ্ট্র ধ্বংষ হওযার পর আপনার মস্তিষ্ক কাম করব।""","How long will the Bengali Muslims blindly follow the crowd without discerning right from wrong, brothers? Your brain will start functioning only after your family, society, and state are destroyed."
"হায়রে অবস্থা দেশের!!!
 কে রক্ষা করবে আমাদের?","""হায়রে দেশের অবস্থা… কে রক্ষা করবো আমাদের?""","Oh, what a state the country is in!!! Who will save us?"
"হায়রে শিক্ষার্থী এই স্যারের কাছ থেকে আর কতটুকু ভালবাসা আর সেবা পাবি???
একবার গভীর ভাবে ভেবে দেখো...","""হায়রে শিক্ষার্থী এই স্যারের কাছ থাইক্কা আর কতটুক ভালবাসা আর সেবা পাইবি???একবার গভীর ভাবে চিন্তা কইরা দেইক্ষো...""","Oh student, how much more love and care will you receive from this sir??? Think about it deeply once..."
"১২ মাস মাথা টাক রাখবো তেল মাখবো না।আর
 পাংগাস মাছ রান্না করবো কারণ ও মাছে প্রচুর তেল।তেল কেনা লাগবে না।","""১২ মাস মাথা টাক রাখুম—তেল মাখুম না।পাংগাস মাছ রানবাম—ও মাছে তেল অনেক। তাই তেল কেনা লাগবো না আর!""","I will keep my head shaved for 12 months and won't apply any oil. And I will cook Pangasius fish because it contains a lot of oil, so I won't need to buy any oil."
"সব জায়গায় শুধু বিএনপির লোক জড়িত থাকে।
আমি ভাবছি ওরা ক্ষমতায় আসলে কী হবে।
বিড়াল থেকে বাঘে রুপান্তর করার জন্য আওয়ামী লীগ একটা ধন্যবাদ পেতেই পারে..",.বেক জায়গাত খালি বিএনপির লুক মিইল্লা থাহে। আমি ভাবছি হেরা ক্ষমতার আইলে কী অইবো। বিড়াল তে বাঘে রুপান্তর করার লাইগ্গা আওয়ামী লীগ একটা ধন্যবাদ পাইতেই পারে.,"Everywhere, only people associated with the BNP are involved. I'm wondering what will happen if they come to power. The Awami League deserves some credit for transforming from a 'cat' to a 'tiger'..."
"মারহাবা, তবে ওরা তিনজন কারা???",".মারহাবা, তাইলে হেরা তিনজন কারা???","Hello/Greetings, but who are those three???"
হকার আর ছাত্ররা পোন মারিমারি করসে তারপর জন্ম দিছে একটা আজব জিনিষ ওর নাম সোনার দেশের সোনার পুলিশ।,.হকার আর ছাত্ররা পোন মারিমারি করসে তারপর জন্ম দিছে একটা আজব জিনিষ ওর নাম সোনার দেশের সোনার পুলিশ।,"The hawkers and students had a fierce fight, and from that fight was born something strange, named 'The Golden Police of the Golden Country'."
ওখানে ছিলো শ্রমিক লীগ+পুলিশ লীগ+ছাত্র লীগ =গেন্জাম,অইনে আছিন শ্রমিক লিক+পুলিশ লিক+ছাত্র লিক = গেঞ্জাম,There were the Workers League + Police League + Students League = Ganjam
সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না,অইহানে ছেড়া মেলা কিপটা আসিল আমি দুইবেলা ভাত খাইতে পারতাম না,"There were so many kips, I couldn't eat rice for two meals"
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকের উপহার গ্রহণ করি না,Do not accept gifts from strangers
এত দেরি হল কেন?,অত দেরি হইলো কে?,Why was it so late?
অচছ বিনা দোষে আলেমরা বছরের পর বছর কারা ঘরে,অতচছ বিনা দুষে আলেমরা বছরের পর বছর কারা ঘরে,"For years, religious scholars have been imprisoned without any fault."
অতিরিক্ত পানি পেয়ে গাছগুলো মরে যাবে না তো?,অতিরিক্ত পানি পায়া গাছগুলা মইরা যাইত না তো?,The plants will not die after receiving excess water?
অতিসত্বর ২০০৳ করা হোক,অতিসত্বর ২০০৳ করুন দরকার,Please deposit/transfer 200৳ urgently.
এতো নাটক করার দরকার ছিল কি?,অতো নাটক করুনের দরকার আছিন কি,Was all this drama really necessary?
অথচ আমার রুহানি আব্বুর জামিন হয় না এদেশে!,অথচ আমার রুহানি আব্বুর জামিন হয় না এদেশে!,"Yet, my spiritual father doesn't get bail in this country!"
অথচ আমির হামজারা মুক্তি পায় না এটাই বর্তমান বাস্তবতা,অথচ আমির হামজারা মুক্তি পায় না—এইডাই এখনকার বাস্তবতা।,"However, the reality is that Amir Hamza and others are not being released."
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,অথচ আসে পাশের সব বাড়ি তেই পানি দিয়া দিতাসে খালি আমারার বাড়িতেই পানি দিতাসে না,"But they are giving water to all the neighboring houses, not only to our house"
অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন কে যেন দেখা গেলো?,অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন রে যেন দেহা গেলো?,"However, due to the sequence of events, three people from which group were seen on the CCTV footage?"
অথচ টিপ কান্ডে কাউকে বলতে শুনা গেলো না যে পুলিশকে ফাঁসানো হয়েছে,অথচ টিপ কান্ডে কাউরে কইতে হুনা গেলো না যে পুলিশরে ফাঁসানো হইছে,"Yet, in the Tipu case, no one was heard saying that the police were framed."
"অথচ যখন মামুনুল হক সাহেবদের ছেলেরা অশ্রুসিক্ত নয়নে বন্দী বাবার দিকে তাকিয়ে থাকে তখন এই নিয়ে তারা রিপোর্ট করে না
যত্তসব কাফির পক্ষ!","অথচ যহন মামুনুল হক সাহেবদের ছেরারা অশ্রুসিক্ত নয়নে বন্দী বাপের দিকে তাকায়া থাহে, তহন এই নিয়া তারা রিপোর্ট করে না, যত্তসব কাফির পক্ষ!","Yet, when the sons of Mamunul Haque look at their imprisoned father with tearful eyes, they don't report on that. What a bunch of supporters of the disbelievers!"
"অধিকাংশ ছাত্রদের কাজ কলেজে যাবে,রাজনৈতিক বড় ভাইদের ক্যাডার হতে!আর দু পক্ষে র ই সমস্যা রয়েছে।পুলিশের উচিৎ কঠোর ভাবে দু পক্ষ কে ই থামানো","অধিকাংশ ছাত্রগর কাম কলেজে যাইব,রাজনৈতিক বড় ভাইগর ক্যাডার অইতে!আর দু পক্ষে র ই সমস্যা আছে।পুলিশের উচিৎ কঠোর ভাবে দু পক্ষ রে ই থামানি",Most students are going to colleges to become cadres for political big brothers! And there is a problem on both sides. The police should stop both sides strictly.
অনেক অনেক ধন্যবাদ আপনাদের মনের আশা আল্লাহ পূন করুন আমিন,অনেক অনেক ধন্যবাদ। আম্মেগোর মনের আশা আল্লাহ পূরণ করুক—আমিন।,"Thank you very much. May Allah fulfill your heart's desires, Amen."
আর অনেক আগে বন্ধ করা উচিৎ ছিল। তাহলে এমন বৈষম সৃষ্টি হতো হত না।,অনেক আগেই বন্ধ করা দরকার আছিল—তাহলে এত বৈষম্য হইত না।,It should have been closed a long time ago. Then this discrimination wouldn't have happened.
অনেক ইতর মজা পাচ্ছে এই নিউজে।,অনেক ইতর মজা পাইতাছে এই নিউজে।,Many people are finding this news very amusing.
অনেক বলেছি যে এরকম আর ভুলেও হবেনা কখনো,অনেক কইসি যে এরকম আর ভুলেও হইবনা কহনো,I have said many times that I will never forget this again
অনেক কিছু বলার ইচ্ছে থাকলেও বলতে পারলাম না,অনেক কিছু কওয়ার ইচ্ছা আছিল থাকলেও কইবার  পাইলাম না,"I wanted to say a lot of things, but I couldn't."
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে,অনেক ছাত্র ছাত্রী  নতুন ভর্তি হইসে,Many students are newly admitted
অনেক টাইম লেগে গেছে প্রশাসনের সঠিক দলের নাম টা ঘোষনা দেওয়া।ধন্যবাদ উপকমিশনার সাপ,"অনেক টাইম লাইগ্গা গেছে,, প্রশাসনের,, সঠিক দলের নাম ডা ঘোষনা দেওয়া। ধন্যবাদ উপকমিশনার সাপ","It took a long time for the administration to announce the correct team name. Thank you, Deputy Commissioner, Support."
অনেক তোমার সংসারে দায়িত্ব পালন করেছি,অনেক তোমার সংসারে দায়িত্ব পালন করসি,I have done many responsibilities in your family
অনেক দিন বাবার বাসায় ছিলাম,অনেক দিন আব্বার বাসায় আসিলাম,I was at my father's house for many days
অনেক দিন পরে আসল খবর দেখলাম ।,অনেক দিন পরে আসল খবর দেখলাম।,I saw real news after a long time.
অনেক দিন পরে একটা সংবাদ দেখে মন খুলে হাসলাম,অনেক দিন পরে একটা সংবাদ দেইক্কা মন খুইল্লা হাসলাম,"After a long time, I laughed wholeheartedly at a piece of news."
অনেক দূরে যেখানে কেউ নেই,অনেক দূরে যেইহানে কেউ নাই,"Very far away, where no one is."
অনেক দেরি করে ফেলছে পুলিশ!পুলিশকে এর কাফফারা দিতে হবে,অনেক দেরি কইরা ফালাইছে পুলিশ! পুলিশরে এর কাফফারা দিতে অইব,The police are taking too long! The police will have to pay for this.
অসংখ্য ধন্যবাদ জানাই বিদ্যানন্দ ফাউন্ডেশনকে,অনেক ধন্যবাদ বিদ্যানন্দ ফাউন্ডেশনরে।,Thank you very much to Vidyananda Foundation.
অনেক পরিচিত লোকজন আছেন,অনেক পরিচিত লোকজন আসেন,There are many famous people
অনেক ভালো উদ্যোগ,অনেক ভালো উদ্যোগ।,Very good initiative.
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এহনো পিসনে লাইনে দাঁড়ায়া আসে,Many people are still standing in line behind.
অনেক সময় শিক্ষকরা ভুল করে। উনি প্রকৃত শিক্ষা পাইলেই হইছে।,অনেক সময় শিক্ষক ভুল করে—উনি আসল শিক্ষা পাইলে হইল।,Teachers sometimes make mistakes. It's alright as long as they receive proper education themselves.
সাদুবাদ জানায়,অনেক সাদুবাদ জানাই।,Congratulations.
"অনেক সুন্দর আইন বাংলাদেশ এ
নোবেল দেয়া হোক ওই সব পুলিশ কে",অনেক সুন্দর আইন বাংলাদেশ এ নোবেল দেয়া হোক ওই সব পুলিশ রে,Very good law in Bangladesh. The Nobel Prize should be given to those police officers.
অনেক হয়েছে আর না উন্নয়ন কম করেও দ্রব্য মৃল্যের দাম কমানসব কিছুর দাম বাড়তি,অনেক হইছে আর না উন্নয়ন কম কইরাও দ্রব্য মৃল্যের দাম কমানসব কিছুর দাম বাড়তি,"Enough is enough, there's been no development, and at the very least, the prices of essential commodities need to be reduced. Everything is too expensive."
অনেকগুলো কবুতর আকাশে উড়ছে,অনেকগুলা কবুতর আকাশে উড়তাসে,Many pigeons are flying in the sky
অনেকগুলো নতুন বই দেখে  আমি অবাক হয়ে বললাম,অনেকগুলা নতুন বই দেইক্ষা  আমি অবাক হয়া কইলাম,I was surprised to see so many new books
অনেকগুলো রাশিয়ান শব্দ শিখেছিলাম,অনেকগুলা রাশিয়ান শব্দ শিখসিলাম,Learned many Russian words
অনেক দিন পর তোমাকে দেখলাম,অনেকদিন বাদে তোমারে দেখলাম,I saw you after a long time
অনেকবার দাম বেড়েছে আর কতবার বাড়বে জানিনা।,অনেকবার দাম বেড়ছে আর কতবার বাড়ব জানিনা।,"The price has increased many times, and I don't know how many more times it will increase."
অনেকবার সবাই কথা বলেছে বোঝাতে চেয়েছে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নি,অনেকবার বেহেই কথা কইসে বুঝাইতে চাইসে যে কি সমস্যা কিন্তু কোনো সমাধান হয়নাই,Many times everyone has talked to explain what the problem is but there is no solution
অনেকবার লালবাগ কেল্লার কথা শুনেছি,অনেকবার লালবাগ কেল্লার কথা হুনসি,I have heard about Lalbagh Fort many times
অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়,অনেকে আরো কয় যে বিয়া করলে মাইনষে নাকি গাধা হয়,Many people also say that getting married makes a person an idiot.
অনেকে বলে প্রেম করলে মানুষ বোকা হয়,অনেকে কয় প্রেম করলে মাইনষে বেক্কল হয়,Many people say that people become foolish when they fall in love.
অনেকেই শখের বশে কবুতর পালন করেন,অনেকেই শখের বশে কবুতর পালে,Many keep pigeons as a hobby
অন্তরের অন্তস্তল থেকে ধন্যবাদ জানাই,অন্তরের অন্তস্তল থেইকা ধন্যবাদ জানাই।,I offer my heartfelt thanks.
অন্য কলেজ এর ছাত্রছাত্রীরা কোথায়?,অন্য কলেজের ছাত্রছাত্রীরা কোইনো?,Where are the students from other colleges?
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,অন্য কোনেহানে বিয়া কইরা ভালা থাকবা তা কেমনে হয়,How about getting married somewhere else?
"অন্যকোনো মহল পরিস্থিতি ঘোলাটে করার চেস্টা করছে
এতো পুলিশ থাকতে কি করে এসব হয়","অন্যকোনো মহল পরিস্থিতি ঘোলাটে করার চেস্টা করতাছে   এতো পুলিশ থাকতে কি কইরা এইসব হয়""","Someone else is trying to create a confusing situation.
How can these things happen with so much police presence?"
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,অন্যদিকে আফনের জামাইও লোক হিসাবে ভালা না,"On the other hand, your husband is also not good as a person"
অন্যান্য বই পড়েছেন,অন্যান্য বইডিও পড়তাসুইন?,Have you read other books?
"অন্যায়কে অন্যায় ধরেই বিচার করতে হবে, কে কোন ধর্মের সেটা বিবেচনার বিষয় নয়।","অন্যায়রে অন্যায় ধইরাই বিচার করুন লাগবো, কেডা  কুন ধর্মের হেইডা বিবেচনার বিষয় নয়।","Injustice must be judged as injustice, regardless of who commits it or what religion they belong to."
অন্যের দোষ সহজেই খুঁজে পাওয়া যায়,অন্যের দোষ সহজেই খুঁইজ্জা পাওয়ন যায়,It is easy to find fault with others
"অপরাধ করার পরও,আমাদের দেশের মুসলমানরাই ফেসবুকে আলোচনা,সমালোচনা করে জামিন পাওয়ার ব্যবস্থা করে দিল।আর ভারতে শুধু মুসলমান হওয়ার অপরাধে কত মুসলমান জেল খাটছে তার ইয়ত্তা নেই",অপরাধ করার পরও—এ দেশের মুসলমানরাই আলোচনা-সমালোচনা কইরা উনার জামিনের পথ খুলা দিছে। আর ভারতে শুধু মুসলমান হওয়ার অপরাধে কত মুসলমান জেল খাটতেছে—হিসাব নাই।,"Even after committing crimes, Muslims in our country arranged for bail through discussions and criticism on Facebook. And the number of Muslims in India who are imprisoned simply for the crime of being Muslim is countless."
অপরাধ বাড়ার প্রধান কারণ পুলিশের দুর্নীতি। সকল কাজে রাজনৈতিক রঙ মাখানো এখন ফ্যাশনে পরিণত হয়েছে।,অপরাধ বাড়ার প্রধান কারণ পুলিশের দুর্নীতি। সকল কাজে রাজনৈতিক রঙ মাখানি এহন ফ্যাশনে পরিণত হইছে।,The main reason for the increase in crime is police corruption. Adding a political color to all activities has now become fashionable.
অবশেষে আসামি পাওয়া গেল!!! হা হা হা,অবশেষে আসামি পাওন গেল!!! হা হা হা,"Finally, the accused has been found!!! Ha ha ha"
"হুমমমমম.... তাহলে অবশেষে পাওয়া গেল আসামী, তাহলে তো আর কোন কথাই নাই, এখন বিচার করতেও সুবিধা হবে, আসল ঘটনা আর খুজার দরকার হবেনা ।","অবশেষে পাওয়া গেল আসামী, তাইলে ত আর কুনু কতাই নাই, এহন বিচার করতেও সুবিধা অইব, আসল গডনা আর খুজার দরকার হইবনা","Hmmmm... So, the culprit has finally been found. In that case, there's no question about it anymore. It will be easy to proceed with the trial now, and there won't be a need to investigate the actual events further."
অবশেষে বিজ্ঞানের জয় হল,অবশেষে বিজ্ঞানের জয় হলো।,"Finally, science has triumphed."
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,অবশ্যই আফনে নিয়মিত নামাজ পইড়া আল্লাহর কাসে শান্তি প্রার্থনা করতে পারেন,Of course you can ask Allah for peace by praying regularly
অবশ্যই একমত।এই কোটা সেই কোটা করতে করতে আমরা কোন সুযোগই পায় না।,অবশ্যই একমত।এই কোটা সেই কোটা—কোনো সুযোগই পাওয়া যায় না।,Absolutely agree. We don't get any opportunities at all while constantly dealing with this quota system.
অবশ্যই তেলের লিঃ ৫০০ টাকা হওয়া উচিত। গরিব এবং মধ্যোম আয়ের মানুষ গুলো না খেয়ে মরে যাক।এরা মারা গেলে দেশে কিছু ধনী মানুষ সুখে শান্তিতে বসবাস করতে পারবে।কারন আমরা প্রতিবাদ করতে পারিনা।,অবশ্যই তেলের লিঃ ৫০০ টেহা হওয়া উচিত। গরিব এবং মধ্যোম আয়ের মাইন্সে  না খায়া মইরা যাক।এরা মাইরা গেলে দেশে কিছু ধনী মানুষ সুখে শান্তিতে থাকবার   পারব।কারন আমরা প্রতিবাদ করবার পারিনা।,"Of course, the price of oil should be 500 taka. Let the poor and middle-income people die of starvation. If they die, some wealthy people in the country will be able to live happily and peacefully. Because we cannot protest."
অবাক হতে হতে আর অবাক হতে মন চায় না,অবাক অইতে অইতে আর অবাক অইবার মন চা-না,I'm so astonished that I no longer feel the desire to be surprised.
"অবাক হওয়ার কিছু নেই,এইটা নতুন কিছু না,আরো প্রমান আছে ৭২ টিভির কাছে প্রকাশ হতে পারে।","অবাক হওয়ার কিছু নাই,এইডা নতুন কিছু না,আরো প্রমান আছে ৭২ টিভির কাছে প্রকাশ হইবার পারে।","There's nothing to be surprised about, this isn't new. There is more evidence that may be revealed by 72 TV."
"অবাক হওয়ার কোন কারণ নাই
নিরাপদ মানুষ কে মামলায় জড়া, হয়রানি করা, এগুলো তো আর এদেশের আইনের নতুন সিস্টেম নয়..!","অবাক হওয়ার কোন কারণ নাই নিরাপদ মানুষ রে মামলায় জড়া, হয়রানি করা, এগুলো তো আর এদেশের আইনের নতুন সিস্টেম নয়..!","There is no reason to be surprised.
Innocent people getting involved in cases, harassment – these aren't new systems within the country's legal framework…"
অবাক হয়োনা এটা সোনার বাংলা আমরা বিরের জাতি,"অবাক হয়োনা, এটা সোনার বাংলা, আমরা বিরের জাতি","Don't be surprised, this is the Golden Bengal, we are a heroic nation."
অবিলম্বে বাতিল করা হোক এই অভিশাপ,অবিলম্বে এই অভিশাপ বাতিল করেন।,This curse must be revoked immediately.
অনতিবিলম্বে কোটা ব্যবস্থা বাতিল করা হোক।,অবিলম্বে কোটা ব্যবস্থা বাতিল করেন।,The quota system should be abolished immediately.
অভিনন্দন জাতি গড়ার কারিগর শিক্ষক,অভিনন্দন জাতি গড়ার কারিগর শিক্ষক।,"Congratulations to the nation-builders, the teachers!"
অভিনন্দন বিদ্যানন্দ ফাউন্ডেশন কে।,অভিনন্দন বিদ্যানন্দ ফাউন্ডেশনকে।,Congratulations to Vidyananda Foundation.
"অভিনন্দন, স্যার। অফুরন্ত শ্রদ্ধা",অভিনন্দন স্যার—অশেষ শ্রদ্ধা।,"Congratulations, sir. With utmost respect."
অন্যর ক্ষেত্রে এই সহানুভূতি কই থাকে?,অরেকজনের ক্ষেত্রে এই সহানুভূতি কই থাহে?,Where is this sympathy for others?
অর্থবান ব্যাক্তিরা এগিয়ে আসা উচিৎ,অর্থওয়ালা মানুষগুলার আগাইয়া আসা খুবই দরকার।,Wealthy people should come forward.
অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি,অল্প সময় আসিল হেয় তাতেই মায়ায় পইরা আসি,For a short time he was in awe of it
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,অল্পবয়সী একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,A young boy runs outside on the sidewalk
অসংখ্য ধন্যবাদ বিদ্যানন্দ,অসংখ্য ধন্যবাদ বিদ্যানন্দ।,"Thank you very much, Bidyananda."
"অসভ্য , জানুয়ার, চোর বাটপার গুলো দেশটাকে যেই যেদিকে পারে লুটেপুটে খেয়ে পেল। সাধারন মানুষকে স্বাভাবিক দামে জিনিসপএ কিনার সুযোগ না দিয়ে, গলা টিপে মেরে ফেল। তুরা ব্যবসায়ী না, তুরা হলি বিশ্ব বাটপার। তুদের বিচার আল্লাহ করবে।","অসভ্য , জানুয়ার, চোর বাটপার ডি দেশটারে যেই যেদিকে পারে লুটেপুটে খায়া লায়  সাধারন মাইন্সে স্বাভাবিক দামে জিনিসপএ কিনার সুযোগ না দিয়া, গলা টিপ্পা মাইরা লা । তরা ব্যবসায়ী না, তরা হলি বিশ্ব বাটপার। তুদের বিচার আল্লাহ করব।","Ruffians, in January, thieves and swindlers looted the country however they could. They didn't allow common people to buy essential goods at fair prices, and instead squeezed the life out of them. You are not businessmen, you are global swindlers. Allah will judge you."
