Standard_Bangla,dialect_speech,English_translation
"একটা রাষ্ট্রের দায়িত্ব ধর্ম বর্ন নির্বিশেষে সকলের নিরাপত্তা নিশ্চিত করা।
এসব কি হচ্ছে দেশে??",ধর্ম-বর্ণ নির্বিশেষে সবার নিরাপত্তা নিশ্চিত করা রাষ্ট্রের দায়িত্ব।”,"A state's responsibility is to ensure the safety and security of all its citizens, regardless of religion or caste. Is this what is happening in the country??"
"নির্বোধ কি করে ভিসি হয়!
তাও আবার ঢাবি'র!",নির্বোধ মানুষ কেমনে ভিসি হয়! তাও আবার ঢাবির!”,"How can an idiot become a VC! And of Dhaka University, no less!"
"মুসলিম নামদ্বারি ধর্ম নিয়ে অজ্ঞতাপূর্ণ অনেকের কমেন্ট দেখে অবাক হচ্ছি এই জন্যে যে, এরা ইসলাম ধর্মের কিছুই জানেনা৷
আর তাওহিদের বেলায় এদের অবস্থা খুবই খারাপ",মুসলিম নামধারীদের অজ্ঞ কমেন্ট দেইখা অবাক; ইসলাম আর তাওহিদ নিয়া অবস্থা খারাপ।”,I am surprised to see so many ignorant comments about Muslim naming conventions and religion. It's astonishing that they know nothing about Islam. And their understanding of Tawhid (the concept of oneness of God) is particularly poor.
"ষার কে নোবেল প্রাইজ
দেওয়ার আহ্বান জানাচ্ছি।",ষ্যারকে নোবেল প্রাইজ দেওয়ার আহ্বান।”,I am calling for Shar to be awarded the Nobel Prize.
"হাইরে মানুষ, রঙ্গিন ফানুশ;
দম ফুরালেই ফুস।","হাইরে মানুষ, রঙিন ফানুস দম ফুরাইলেই ফুস।”","Oh people, colorful balloons;
Once the air is gone, they just fizzle out."
"হায়রে অবস্থা দেশের!!!
 কে রক্ষা করবে আমাদের?",হায় রে দেশের অবস্থা! কে বাঁচাইবো?”,"Oh, what a state the country is in!!! Who will save us?"
অথচ আমির হামজারা মুক্তি পায় না এটাই বর্তমান বাস্তবতা,অথচ আমির হামজারা মুক্তি পায় না এইটাই বাস্তবতা।,"However, the reality is that Amir Hamza and others are not being released."
অনেক কিছু বলার ইচ্ছে থাকলেও বলতে পারলাম না,"অনেক কিছু কইবার মন আছিল, কইতে পারলাম না।","I wanted to say a lot of things, but I couldn't."
অনেক দিন পরে আসল খবর দেখলাম ।,অনেক দিন পর আসল খবর দেখলাম।,I saw real news after a long time.
অনেক সময় শিক্ষকরা ভুল করে। উনি প্রকৃত শিক্ষা পাইলেই হইছে।,অনেক সময় শিক্ষক ভুল করে; উনি ঠিক শিক্ষা পাইলেই অইছে।,Teachers sometimes make mistakes. It's alright as long as they receive proper education themselves.
অন্তরের অন্তস্তল থেকে ধন্যবাদ জানাই,অন্তরের একদম ভিতর থেইকা ধন্যবাদ জানাই।,I offer my heartfelt thanks.
বিস্মিত!!!!!!!,অবাক!!!!!!!,Amazed!!!!!!!/Astonished!!!!!!!/Stunned!!!!!!!
"অভিনন্দন, স্যার। অফুরন্ত শ্রদ্ধা","অভিনন্দন, স্যার অফুরন্ত সম্মান।","Congratulations, sir. With utmost respect."
অর্থবান ব্যাক্তিরা এগিয়ে আসা উচিৎ,অর্থবান মানুষগুলার এগাইয়া আসা উচিত।,Wealthy people should come forward.
অসাধারণ! প্রসংশা করার ভাষা হারিয়ে ফেলেছি।,অসাধারণ! প্রশংসা করার ভাষাই খুঁজে পাইতেছি না।,Amazing! I'm lost for words to praise it.
এখন থেকে তৈল বাদে তরকারি খাওয়া লাগবে।,অহন থেইকা তেল বাদ দিয়া তরকারি খাইতে হইবো।,"From now on, we will have to eat curries without oil."
আগে আপনাকে আইনের আওতায় আনা দরকার মনে হয়,আগে আপনাকেই আইনের আওতায় আনা দরকার।,It seems you need to be brought to justice first.
আচ্ছা এরা কিভাবে এসব পদ পায়??,"আচ্ছা, এরা কেমনে এইসব পদ পায়??","Wow, how do these people get these positions?"
আজ যদি কোনো মুসলিম হত হয়তো তার যাবজ্জীবন বা জেল হয়ে যেতো,"আজ যদি মুসলমান অইতো, তাইলে হয়তো যাবজ্জীবন জেলই অইয়া যাইতো।","If he were a Muslim today, he would likely have received a life sentence or imprisonment."
অাজব দেশে অাছি !!!,আজব দেশে আছি!!!,I am in a strange country!!!
আদালতের এই সিদ্ধান্ত কে সাধুবাদ জানাই।,আদালতের এই সিদ্ধান্তরে সাধুবাদ জানাই।,I welcome the court's decision.
আদালত এর এই সিদ্ধান্ত কে স্বাগত জানাই।,আদালতের এই সিদ্ধান্তরে স্বাগত জানাই।,We welcome the court's decision.
আপনাদেরকে অসংক্ষ দন্যবাধ। ক্ষুটি ক্ষুটি সুখরিয়া,আপনাদের অগণিত ধন্যবাদ। ছোট ছোট সুখরিয়া।,Thank you very much. Please accept my apologies for any mistakes.
আপনাদেরকে ধন্যবাদ,আপনাদের ধন্যবাদ।,Thank you.
"আপনার কথায় আমরা লজ্জিত, জনাব উপচার্য।","আপনার কথায় আমরা লজ্জিত, জনাব উপাচার্য।","We are ashamed of your words, Mr. Vice-Chancellor."
আপনার ভাষার ব্যবহার দেখে বোঝা যাচ্ছে আপনি কোন ধরনের পরিবেশে অবস্থান করেন।,আপনার ভাষা দেইখা বোঝা যায় আপনে কোন পরিবেশে আছেন।,"Based on your language use, it appears I can understand the environment you are in."
আপনারা আছেন বলেই মানুষ বেঁচে আছে এখনো।,আপনারা আছেন বলেই মানুষ এখনো বাঁচতেছে।,You are the reason people are still alive.
আপনি না মানলেও এটাই বাস্তবতা।,আপনি না মানলেও এইটাই বাস্তবতা।,"Whether you like it or not, this is the reality."
"আপনি কি ভাবে জানেন মিথ্যা, না সঠিক?",আপনে কেমনে জানেন কোনটা মিছা আর কোনটা ঠিক?,"How do you know what is false, or what is true?"
", তা আপনি বলদ না গবাদি??",আপনে বলদ নাকি গবাদি?,"Are you an ox or just livestock? (This is a rhetorical, somewhat insulting question implying someone is stubborn or unintelligent.)"
আপনি মুসলমানই না।,আপনে মুসলমানই না।,You are not a Muslim at all.
আপনি মুসলিম?,আপনে মুসলিম?,Are you Muslim?
আপনার চিন্তা ও চেতনা ভুল। আপনারা ভালো চিন্তা করবেন ভালো মুসলমান হবেন এই আশায়।,"আপনের চিন্তা আর চেতনা ভুল। ভালো চিন্তা করেন, ভালো মুসলমান অইবেন এই আশা।",Your thoughts and consciousness are incorrect. We hope you will become good Muslims if you think good thoughts.
আপনাকে প্রশ্ন করতে শিখতে হবে,আপনের প্রশ্ন করা শিখন দরকার।,You need to learn how to ask questions.
আফগানিস্তান তোমাকে কি করেছে।,আফগানিস্তান তোমারে কী করছে।,What has Afghanistan done to you?
তাদের আবার টাকাদিয়ে দেখতে যেতে হবেনে।এত দরকার কি ফ্রীতে তাদের দেখাযাক।,আবার টাকাদিয়া দেইখতে যাইতে অইবো না ফ্রিতেই দেইখা যাক।,"We will have to go see them again, paying them a visit. What's the big hurry to see them for free?"
"আমরা দিন দিন ইউরোপ, কানাডার মত উন্নত হচ্ছি। তেলের দাম ২০০ করলে সমস্যা কী","আমরা ইউরোপ-কানাডা হইতেছি, ২০০ টাকা হইলে সমস্যা কী!",We are developing more and more like Europe and Canada every day. What's the problem if the price of oil goes up to 200?
কোথায় নেমে আসছি আমরা !!!,আমরা কই নামি আসতেছি!!!,Where are we landing/getting off?!
আমারা কি আমাদের জীবনকে আদৌ ভালবাসি!,আমরা কি আদৌ আমাদের জীবনরে ভালোবাসি!,Do we even love our lives?
কোন দেশে থাকি আমরা!!!,আমরা কোন দেশে থাকতেছি!!!,In which country do we live?!
"আমরা চাইনা দিল্লি ওয়ালারা জিতে যাক, মি. ভীনদেশী।","আমরা চাই না দিল্লিওয়ালারা জিতুক, মি. ভিনদেশী।","We don't want the Delhi team to win, Mr. Outsider."
"আমরা দেখছি দনি আর গরীব, মধ্যে চরে মানুষ কথা কেউ ভাবিনা, আসলে তারা বুবা বলতে পারে না তাই।","আমরা দেখি ধনী আর গরিবের মাঝে চরম ফারাক, গরিব মানুষ কথা কইতে পারে না।","We see that no one thinks about the people who graze between Dani and the poor; actually, they can't speak, that's why."
আমরা ২০০৳ এর অপেক্ষায় আছি..,আমরা ২০০ টাকার অপেক্ষায় আছি।,We are waiting for 200৳.
আমাদের ইনকাম বাড়ছে সমস্যা কি?,"আমরার ইনকাম বাড়তেছে, সমস্যা কী?",What's the problem if our income is increasing?
আমাদের ইনকামও ৮ টাকা করে বাড়িয়ে দিন।,আমরার ইনকামও ৮ টাকা কইরা বাড়ান।,Please increase our income by 8 taka as well.
"আমাদের কথা নাই বললাম, বাড়ানোর আগে একবারও ঐ লোকগুলোর কথা মাথায় আসলো না যারা দিন এনে দিন খায় তারা কি করে ব্যবস্থা করবে","আমরার কথা বাদই দিলাম, দাম বাড়ানোর আগে একবারও কি ওই দিন আনা দিন খাওয়া মানুষগুলার কথা মাথায় আইছিল না? ওরা কেমনে চলবো?","We didn't say anything, it didn't even cross our minds once to think about those people who earn day to day – how will they manage?"
আমাদের তো কিনে খেতে হয় দাম বাড়লে ভোগান্তি বাড়ে যারা দাম বাড়ায় তাদের তো কিনে খেতে হয় না,"আমরার তো কিনা খাইতে হয়, দাম বাড়লে কষ্ট বাড়ে, যারা দাম বাড়ায় তাদের কিনা খাইতে হয় না।","We have to buy things, so when prices increase, we suffer. Those who raise the prices don't have to buy them."
আমাদের দেশের সামনে শিক্ষা নিয়ে কিছু বলা যাবে না,আমাগো দ্যাশে শিক্ষা নিয়া কিছু কইতে গেলেই ঝামেলা।,There's not much that can be said about education in our country.
আমাদের চট্টগ্রাম কখন দিবেন এরকম,আমাদের চাটগাঁয়ে কবে দিবেন এমন?,When will you deliver to Chattogram?
আমাদেরকে জারা নিরাপদে রাখবে তারা নিরাপদ কি,"আমাদেররে যারা নিরাপদে রাখবো, তারাই কি নিরাপদ?","Are those who will keep us safe, safe themselves?"
আমার সন্দেহ হচ্ছে হয়ত এই আন্দোলন কোটা আন্দোলনের ন্যায় দমে যাবে।,আমার সন্দেহ অইতেছে হয়তো এই আন্দোলন কোটা আন্দোলনের মতো দমে যাইবো।,I suspect this movement might fizzle out like the quota movement did.
"আমার ও ইচ্ছে আছে এ রকম একটি দোকান করে,গরিব মানুষের হাতে পন্য তুলে দিবার।",আমারও ইচ্ছা আছে এমন একখান দোকান কইরা গরিব মানুষের হাতে পণ্য তুলে দেওয়ার।,"I also have a desire to open a shop like this, to provide goods to the hands of poor people."
আমি আপনাদের কথা বলছিনা দাদু ভাই এখানে বলছি জয় মা কালির বাংলাদেশ,"আমি আপনাগোর কথা কইতেছি না, এখানে কইতেছি জয় মা কালি বাংলাদেশ।","I am not speaking to you all, grandfather. Here, I am saying, Victory to Mother Kali, Victory to Bangladesh."
আমি ভাবছি ঐ ছাত্র গুলো আবার কিভাবে হৃদয় মন্ডলের নিকট লেখাপড়া করবে ?,আমি ভাবতেছি ওই ছাত্ররা আবার কেমনে উনার কাছে পড়বো?,I am wondering how those students will study under Hriday Mandal again?
বলতে পারেন মানুশকে আর কতো কস্টোদিবেন। আল্লাহর কাছে জবাব দিতে পারবেন না।,"আর কত কষ্ট দিবেন মানুষরে, আল্লাহর কাছে জবাব দিতে পারবো না।",How much more suffering will you inflict on people? You won't be able to answer to Allah.
আর কতো বাড়বে ২৫০ করে ফেলেন,"আর কত বাড়াইবো, ২৫০ কইরা ফেলেন।",How much more will it increase? Just make it 250.
আর কতো টাকা বাড়িতে হলে জনগণের খুশি হবে,আর কত বাড়াইলে জনগন খুশি হইবো?,How much more money needs to be added to households for the people to be happy?
কি আর হবে?? তার বাড়ীতে পুলিশ বসিয়ে তাকে প্রেসিডেন্টের সম্মান দেয়া হচ্ছে,আর কী অইবো? বাড়িতে পুলিশ বসাইয়া সম্মান দিতেছে।,What else can happen?? Police are stationed at his house and he is being treated with presidential honors.
আর কোন বেধর্মীরা যেন সাহস না পায় ইসলাম নিয়া ফাইজলামি করার।,আর কোনো বেধর্মী যেন ইসলাম নিয়া ফাইজলামি করার সাহস না পায়।,Let no more non-believers dare to disrespect or make fun of Islam.
আর ৩ টাকা বাড়ালে কি এমন ক্ষতি হতো?,আর ৩ টাকা বাড়াইলে কী হতো?,What harm would it have done to increase it by 3 more rupees?
আবাল্রা ভিডিও করছস যে ডিভাইস দিয়া সেটাও বিজ্ঞানেরই।,"আরে আবালগো, যে ডিভাইস দিয়া ভিডিও করতাছোস, ওইডাও তো বিজ্ঞানেরই জিনিস।",The device you're using to record the video is also a product of science.
আরও বেশি করে বাড়িয়ে দে,আরেকটু বেশি কইরা বাড়াও।,Increase it further.
হামদুলিল্লাহ উদ্যোগ নেওয়ার জন্য আল্লাহর কাছে দোয়া কর,"আলহামদুলিল্লাহ, উদ্যোগ নেওয়ার লাইগ্যা আল্লাহর কাছে দোয়া করি।","Praise be to Allah, pray to Allah for the strength to take initiative."
আলহামদুলিল্লাহ দেশটা যদি এমন হতো তাহলে খেটে খাওয়া মানুষ নিশ্চিন্তে ঘুমাতে পারতো,"আলহামদুলিল্লাহ, দেশটা যদি এমন হইতো তাইলে খেটে খাওয়া মানুষ নিশ্চিন্তে ঘুমাইতো।","Praise be to God, if the country were like this, hardworking people could sleep peacefully."
আলহামদুলিল্লাহ। আল্লাহ য়েন আরো তৌফিক দান করুণ,আলহামদুলিল্লাহ। আল্লাহ যেন আরো তৌফিক দান করেন।,Alhamdulillah. May Allah grant us more success (or tawfiq).
আলহামদুলিল্লাহ। এভাবেই একদিন পরিবর্তন হবে সবার মানষিকতা। পাড়ায় পাড়ায় যুব সমাজ এমন উদ্যোগে এগিয়ে আসবে।,আলহামদুলিল্লাহ। এইভাবেই একদিন সবার মানসিকতা বদলাইবো। পাড়ায় পাড়ায় যুব সমাজ এমন উদ্যোগে আগাইয়া আসবো।,"Alhamdulillah. One day, everyone's mindset will change like this. The youth in every neighborhood will come forward with such initiatives."
আলোচনার বিষয়বস্তু না বুঝেই এই শিক্ষককে হ্যানস্হা করা হয়েছে। ধর্ম ও বিজ্ঞানের তূলনমূলক আলোচনা খারাপ কিছু নয়। ভিডিও করার যন্ত্রটি কিন্তু বিজ্ঞানের অবদান।,আলোচনা কী আছিল না বুঝেই এই শিক্ষকরেগো হেনস্তা করা অইছে। ধর্ম আর বিজ্ঞানের তুলনামূলক আলোচনা খারাপ কিছু না। ভিডিও করার যন্ত্রডাও বিজ্ঞানেরই অবদান।,"This teacher has been harassed without understanding the subject of the discussion. A comparative discussion of religion and science is not necessarily a bad thing. The device used to record the video is, in fact, an achievement of science."
আল্লাহ আপনাদের অবশ্যই উত্তম কিছু দিবেন।,আল্লাহ আপনাদের অবশ্যই ভালো কিছুর বদলা দিবেন।,Allah will surely grant you something good.
আল্লাহ আপনাদের কে আরো বেশি বেশি করে ভালো কাজের জন্য কবুল করুন,আল্লাহ আপনাদের আরো বেশি ভালো কাজ করার তৌফিক দিক।,May Allah accept your good deeds more and more.
আল্লাহ আপনাদেরকে নেক হায়াত দান করেন,আল্লাহ আপনাদের নেক হায়াত দান করুক।,May Allah grant you a good life.
আল্লাহ আপনাদের মঙ্গল করুন।,আল্লাহ আপনাদের মঙ্গল করুক।,May Allah bless you all.
আল্লাহ আপনার ভালো করুক আপনি গরীবদেরকে কম টাকায় জিনিসপাতি দিতাছেন,"আল্লাহ আপনার ভালো করুক, আপনি গরিব মানুষেরে কম দামে জিনিস দিতেছেন।",May Allah bless you for providing goods to the poor at low prices.
"আল্লাহ আমাদের সবাইকে হেফাজত করুন,,",আল্লাহ আমাগো সবাইরে হেফাজত করুন।,May Allah protect us all.
আল্লাহ এই ভাইদের মনের উদ্দেশ্য পূরণ করুক,আল্লাহ এই ভাইগুলার মনের আশা পূরণ করুক।,May Allah fulfill the intentions of these brothers.
আল্লাহ কবুল করুন,আল্লাহ কবুল করুক।,May Allah accept it.
আল্লাহ তায়ালা তাকে যেন ভাল রাখে,আল্লাহ তায়ালা উনাকে ভালো রাখুক।,May Allah keep him/her well.
আল্লাহ নিশ্চয়ই আপনাদের ভালো করবেন,আল্লাহ নিশ্চয়ই আপনাদের ভালো করবোই।,Allah will surely be good to you.
আল্লাহো পাক মহা উদ্যোগ এগিয়ে নিতে সাহায্য করে ইনশাআল্লাহ,আল্লাহ পাক এই মহা উদ্যোগ আগাইয়া নিতে সাহায্য করুক।,"May Allah Almighty help in advancing this great initiative, InshaAllah."
অলান যদি বাংলাদেশ হইতে। তাহলে কোনো মানুষ গরীব তাহলে না ওনে,আল্লাহ যদি বাংলাদেশ হইতো তাইলে কেউ গরিব থাকতো না।,"If Allan is from Bangladesh, then if a person is poor, they shouldn't be like that."
আল্লাহ যেন উনাদের তোপিক আরো বাড়িয়ে দেন,আল্লাহ যেন ওনাদের তৌফিক আরো বাড়াইয়া দেন।,May Allah increase their topics (or subjects/areas of discussion).
আল্লাহ জেনো ওনাদেকে সঁপল করেন আমিন,"আল্লাহ যেন ওনাদের সফল করেন, আমিন।",May Allah grant them success. Amen.
আল্লাহ তাআ'লা যেন আরো রিযিক বারিয়ে দেন,আল্লাহ রিজিক বাড়াইয়া দেন।,May Allah Almighty increase our sustenance.
আল্লাহ তুমি এই রকম উদ্যোক্তাদের সহায়ক হও,"আল্লাহ, এমন উদ্যোক্তাদের সহায় হও।","O Allah, be the helper of such entrepreneurs."
আল্লাহতালা আপনাদের ব্যবসায় বরকত দান করুক আমিন,আল্লাহতালা আপনাদের ব্যবসায় বরকত দান করুক।,"May Allah SWT bless your business with abundance, Amen."
মূল চক্রান্তকারী আর উক্ত শিক্ষার্থীদেরকে তদন্তের আওতায় নিয়ে আসা হোক।,আসল চক্রান্তকারী আর ওই শিক্ষার্থীগোর তদন্তের আওতায় আনন অউক।,The main conspirators and the aforementioned students should be brought under investigation.
প্রকৃত শিক্ষক কখনো কোন ধর্মকে ছোট করে না। সে শিক্ষক এটা আমি মানতে নারাজ। তাে কাছ থেকে শিক্ষার্থীরা কি শিখবে? আর কিই বা শিখাবে সে?,আসল শিক্ষক কখোনো কোনো ধর্মরে ছোট করে না। এইডা শিক্ষক আমি মানি না। তাইলে উনার কাছ থাইকা ছাত্ররা কী শিখবো? আর উনিই বা কী শিখাইবো?,"A true teacher never belittles any religion. I refuse to accept him as a teacher. What will students learn from him, and what will he even teach?"
আসলে সহ্য হয়ে গেছে যাক ভালো,আসলে সহ্য অইয়া গেছে যাক ভালো।,"Well, I guess I've gotten used to it. Let it be."
"আহারে!!!!!কিছুদিন আগেও যাহা ১০০ ছিলো, এখন সেটা ২০০ ছুই ছুই।","আহারে! কিছুদিন আগেও যেটা ১০০ আছিল, অহন ২০০ ছুই ছুই।",Oh my! Something that was just 100 a few days ago is now nearing 200.
"আহরে, দেশ কখনো মারে ভাতে আবার কখনো বা হাতে।মাঝে মধ্যে পিয়াজে এখন আবার সয়াবিনে।আহ","আহারে, দেশ কখনে ভাতে মারে কখনে হাতে, মাঝে মাঝে পিয়াজে, অহন সয়াবিনে।","Oh dear, sometimes the country feeds us rice, and other times it offers hardship. In between, it's onions now, and then soybeans. Oh!"
"আহ্ আপসেট হয়ে গেলাম, বছর তিনেক আগেও মাত্র১০০ টাকা লিটার তেল কিনতাম।","আহ্ খুব আপসেট, তিন বছর আগেও ১০০ টাকায় লিটার তেল কিনতাম।","Oh, I'm so upset! Just three years ago, I was buying fuel for only 100 rupees a liter."
উগ্র কম জ্ঞ্যানী শিক্ষক ও লজ্জার কারন।,উগ্র আর কম জ্ঞানী শিক্ষক এইডাও লজ্জার কারণ।,"Arrogant, ignorant teachers are a source of shame."
উগ্র কম জ্ঞ্যানী শিক্ষক ও লজ্জার কারন।,উগ্র আর কম জ্ঞানী শিক্ষক লজ্জার কারণ।,"Arrogant, ignorant teachers are a source of shame."
উগ্রপন্থী হিন্দু সাম্প্রদায়িক একে রিমান্ডে নিয়ে যাওয়া উচিত ছিলো,উগ্রপন্থী সাম্প্রদায়িকটারে রিমান্ডে নেওয়া উচিত আছিল।,This extremist Hindu communalist should have been taken into remand.
উচিত শিক্ষা সালাকে ফাসিতে ঝুলানো উচিৎ ছিল অন্য কোন মুসলিম দেশ হলে তাই করত,উচিত শিক্ষা অন্য দেশে অইলে ফাঁসি দিত।,The teacher should have been hanged; that's what another Muslim country would have done.
তাকে এখন #নাসায় পাঠানো হোক। এত বড় মাপের বিজ্ঞানীকে দেশে রাখা ঠিক হবে না।,উনাকে এখন #নাসায় পাঠানো অউক; এত বড় বিজ্ঞানী দেশে রাখা ঠিক না।,He should be sent to #NASA now. It is not right to keep a scientist of this magnitude in the country.
তাকে বিজ্ঞানের ৩ বিষয়েই ত্রিপল নোবেল দেয়া হোক!,উনাকে বিজ্ঞানের তিনটা বিষয়েই ট্রিপল নোবেল দেওয়া অউক!,He deserves a triple Nobel Prize in the three sciences!
উনাদের সবাইকে খাদ্য মন্ত্রণালয়ের দায়িত্ব দিলে ঠিক হত,উনাদের সবাইরে খাদ্য মন্ত্রণালয়ের দায়িত্ব দিলে ঠিক হইতো,It would have been right to entrust the responsibility of the Food Ministry to them all.
তাঁর এখন নিরাপত্তা দরকার জরুরি।,উনার এখন জরুরি নিরাপত্তা দরকার।,He urgently needs security now.
ওনার কাছে প্রায়ভেট না পড়লে নাকি সেই ছাত্র কে ফেল করিয়ে দেওয়া হত,উনার কাছে প্রাইভেট না পড়লে নাকি ছাত্রডারে ফেল করাইতো।,"It was said that if a student didn't take private lessons from him, he would fail them."
উনার নিরাপত্তা নিশ্চিত করতে হবে। মৌলবাদীরা চাপাতি নিয়ে আসবে,উনার নিরাপত্তা নিশ্চিত করা দরকার; মৌলবাদীরা চাপাতি নিয়া আইবো।,His/Her safety must be ensured. The fundamentalists will bring machetes.
শিক্ষকতার স্বাদ মিটে গেছে উনার।,উনার শিক্ষকতার শখ মিটা গেছে।,He has lost his taste for teaching.
তিনি কি বাংলাদেশের ইমরান হতে পারবেন?,উনি কি বাংলাদেশের ইমরান অইতে পারবো?,Can he be the Imran of Bangladesh?
উন্নয়ন ও মাথাপিছু আয় হিসাবে ২০০টাকা লিটার হলে ভালো হয়,উন্নয়ন আর মাথাপিছু আয়ের হিসাবে ২০০ টাকা লিটার ভালো।,It would be good if the development and per capita income were equivalent to 200 taka per liter.
"উন্নয়নের গুলি মেরে যাচ্ছে,,এমন সময় দাম বাড়লো আমারও তৈল শেষ।","উন্নয়নের গুলি মারতেছে, এই সময় তেলের দাম বাড়লো, আমরার তেলও শেষ।","The development projects are being killed off, and just then the price went up and my oil also ran out."
উন্নয়নের ধারা অব্যহত রাখতেই কি এই সিদ্ধান্ত?,উন্নয়নের ধারা চালু রাখতেই নাকি এই সিদ্ধান্ত?,Is this decision being made simply to continue the pace of development?
"উন্নয়নের মানদন্ড দ্রব্যমূল্যের উর্ধগতি, বাহ!বাহ!",উন্নয়নের মাপকাঠি দ্রব্যমূল্যের দাম বাড়া বাহ বাহ!,"The standard of development is rising prices, wow! wow!"
উপহার সামগ্রী সানন্দে গ্রহণ করা হবে,উপহার সামগ্রী খুশি মনে গ্রহণ করা হইবো।,Gifts will be gratefully received.
